energy_ev,total_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.63439487,0.00931289,0.00000000,0.93563555,0.35344428,0.00477495,0.23750951,0.01398789,0.90267194
-5.99399700,1.65701331,0.00941627,0.00000000,0.97080241,0.35707596,0.00493880,0.24337333,0.01364637,0.91170363
-5.98799400,1.68380270,0.00957015,0.00000000,1.01104055,0.36162402,0.00510767,0.25023650,0.01325608,0.92259662
-5.98199100,1.71446188,0.00977062,0.00000000,1.05594207,0.36702797,0.00527981,0.25804315,0.01282300,0.93519829
-5.97598799,1.74854757,0.01001247,0.00000000,1.10495663,0.37319439,0.00545357,0.26670531,0.01235375,0.94928997
-5.96998499,1.78549008,0.01028934,0.00000000,1.15740722,0.38000043,0.00562751,0.27610576,0.01185549,0.96459494
-5.96398199,1.82461313,0.01059397,0.00000000,1.21251000,0.38729817,0.00580051,0.28610197,0.01133567,0.98078860
-5.95797899,1.86515711,0.01091844,0.00000000,1.26939722,0.39491983,0.00597186,0.29653066,0.01080192,0.99751013
-5.95197599,1.90630491,0.01125443,0.00000000,1.32714242,0.40268354,0.00614135,0.30721297,0.01026180,1.01437541
-5.94597299,1.94720933,0.01159350,0.00000000,1.38478673,0.41039940,0.00630944,0.31795993,0.00972269,1.03099077
-5.93996998,1.98702105,0.01192731,0.00000000,1.44136544,0.41787570,0.00647731,0.32857803,0.00919160,1.04696690
-5.93396698,2.02491604,0.01224791,0.00000000,1.49593377,0.42492506,0.00664699,0.33887469,0.00867506,1.06193254
-5.92796398,2.06012152,0.01254795,0.00000000,1.54759086,0.43137014,0.00682145,0.34866345,0.00817900,1.07554733
-5.92196098,2.09193939,0.01282087,0.00000000,1.59550140,0.43704891,0.00700463,0.35776873,0.00770868,1.08751343
-5.91595798,2.11976645,0.01306106,0.00000000,1.63891409,0.44181917,0.00720151,0.36602994,0.00726865,1.09758536
-5.90995498,2.14311068,0.01326399,0.00000000,1.67717665,0.44556222,0.00741808,0.37330497,0.00686271,1.10557772
-5.90395198,2.16160320,0.01342629,0.00000000,1.70974711,0.44818569,0.00766130,0.37947299,0.00649391,1.11137058
-5.89794897,2.17500561,0.01354576,0.00000000,1.73620136,0.44962532,0.00793896,0.38443645,0.00616461,1.11491228
-5.89194597,2.18321266,0.01362142,0.00000000,1.75623712,0.44984582,0.00825958,0.38812247,0.00587649,1.11621966
-5.88594297,2.18625052,0.01365339,0.00000000,1.76967459,0.44884085,0.00863214,0.39048352,0.00563062,1.11537566
-5.87993997,2.18427078,0.01364288,0.00000000,1.77645428,0.44663209,0.00906583,0.39149760,0.00542751,1.11252455
-5.87393697,2.17754090,0.01359205,0.00000000,1.77663238,0.44326762,0.00956973,0.39116791,0.00526716,1.10786502
