energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.47024852,-2.47024852,0.78661003,-0.78661004,0.78993300,-0.78993301,0.00166184,-0.00166184,0.74385374,-0.74385374,0.27762779,-0.27762779,0.30177137,-0.30177137,0.62509359,-0.62509359,0.00000000,-0.00000000
-5.99399700,2.51218426,-2.51218426,0.77261013,-0.77261013,0.79502516,-0.79502517,0.00183447,-0.00183447,0.73460331,-0.73460331,0.28915136,-0.28915136,0.32351201,-0.32351201,0.65848430,-0.65848430,0.00000000,-0.00000000
-5.98799400,2.55152454,-2.55152454,0.75844414,-0.75844414,0.79825885,-0.79825885,0.00202166,-0.00202166,0.72378324,-0.72378324,0.30092565,-0.30092565,0.34548302,-0.34548302,0.69209758,-0.69209758,0.00000000,-0.00000000
-5.98199100,2.58750199,-2.58750199,0.74421097,-0.74421098,0.79953915,-0.79953915,0.00222132,-0.00222132,0.71143960,-0.71143960,0.31275300,-0.31275300,0.36740789,-0.36740789,0.72546060,-0.72546059,0.00000000,-0.00000000
-5.97598799,2.61941420,-2.61941421,0.73003677,-0.73003678,0.79881439,-0.79881440,0.00243102,-0.00243102,0.69766849,-0.69766849,0.32442315,-0.32442315,0.38899422,-0.38899422,0.75808137,-0.75808137,0.00000000,-0.00000000
-5.96998499,2.64663850,-2.64663851,0.71606679,-0.71606680,0.79607672,-0.79607672,0.00264793,-0.00264793,0.68261120,-0.68261120,0.33571892,-0.33571892,0.40994053,-0.40994053,0.78946209,-0.78946209,0.00000000,-0.00000000
-5.96398199,2.66864475,-2.66864475,0.70245661,-0.70245662,0.79136130,-0.79136131,0.00286892,-0.00286892,0.66644778,-0.66644778,0.34642236,-0.34642236,0.42994368,-0.42994368,0.81911310,-0.81911310,0.00000000,-0.00000000
-5.95797899,2.68500580,-2.68500581,0.68936293,-0.68936294,0.78474427,-0.78474427,0.00309056,-0.00309056,0.64938931,-0.64938932,0.35632102,-0.35632102,0.44870670,-0.44870670,0.84656702,-0.84656702,0.00000000,-0.00000000
-5.95197599,2.69540520,-2.69540520,0.67693452,-0.67693452,0.77633934,-0.77633935,0.00330922,-0.00330922,0.63166921,-0.63166922,0.36521416,-0.36521416,0.46594680,-0.46594680,0.87139233,-0.87139233,0.00000000,-0.00000000
-5.94597299,2.69964175,-2.69964176,0.66530364,-0.66530364,0.76629339,-0.76629339,0.00352115,-0.00352115,0.61353399,-0.61353400,0.37291860,-0.37291860,0.48140316,-0.48140316,0.89320591,-0.89320590,0.00000000,-0.00000000
-5.93996998,2.69763091,-2.69763091,0.65457842,-0.65457842,0.75478085,-0.75478086,0.00372253,-0.00372253,0.59523375,-0.59523376,0.37927402,-0.37927402,0.49484435,-0.49484435,0.91168400,-0.91168400,0.00000000,-0.00000000
-5.93396698,2.68940264,-2.68940265,0.64483643,-0.64483643,0.74199744,-0.74199744,0.00390962,-0.00390962,0.57701293,-0.57701293,0.38414745,-0.38414745,0.50607498,-0.50607498,0.92657112,-0.92657112,0.00000000,-0.00000000
-5.92796398,2.67509610,-2.67509611,0.63611972,-0.63611972,0.72815311,-0.72815311,0.00407889,-0.00407889,0.55910145,-0.55910145,0.38743683,-0.38743683,0.51494144,-0.51494144,0.93768653,-0.93768653,0.00000000,-0.00000000
-5.92196098,2.65495102,-2.65495102,0.62843163,-0.62843163,0.71346471,-0.71346471,0.00422704,-0.00422704,0.54170679,-0.54170679,0.38907345,-0.38907345,0.52133639,-0.52133639,0.94492817,-0.94492817,0.00000000,-0.00000000
-5.91595798,2.62929644,-2.62929645,0.62173525,-0.62173525,0.69814847,-0.69814848,0.00435123,-0.00435123,0.52500714,-0.52500714,0.38902333,-0.38902333,0.52520192,-0.52520192,0.94827379,-0.94827379,0.00000000,-0.00000000
-5.90995498,2.59853707,-2.59853708,0.61595381,-0.61595381,0.68241273,-0.68241273,0.00444910,-0.00444910,0.50914589,-0.50914590,0.38728742,-0.38728742,0.52653126,-0.52653126,0.94777942,-0.94777942,0.00000000,-0.00000000
-5.90395198,2.56313801,-2.56313802,0.61097277,-0.61097277,0.66645106,-0.66645106,0.00451888,-0.00451888,0.49422771,-0.49422771,0.38390070,-0.38390070,0.52536891,-0.52536891,0.94357530,-0.94357530,0.00000000,-0.00000000
-5.89794897,2.52360851,-2.52360851,0.60664364,-0.60664364,0.65043624,-0.65043624,0.00455951,-0.00455951,0.48031624,-0.48031625,0.37893030,-0.37893030,0.52180929,-0.52180929,0.93585949,-0.93585950,0.00000000,-0.00000000
-5.89194597,2.48048555,-2.48048556,0.60278926,-0.60278926,0.63451524,-0.63451524,0.00457064,-0.00457064,0.46743360,-0.46743360,0.37247274,-0.37247274,0.51599385,-0.51599385,0.92488965,-0.92488965,0.00000000,-0.00000000
-5.88594297,2.43431803,-2.43431804,0.59921041,-0.59921041,0.61880549,-0.61880549,0.00455267,-0.00455267,0.45556156,-0.45556156,0.36465045,-0.36465045,0.50810691,-0.50810691,0.91097322,-0.91097322,0.00000000,-0.00000000
-5.87993997,2.38565224,-2.38565224,0.59569336,-0.59569336,0.60339256,-0.60339256,0.00450683,-0.00450683,0.44464442,-0.44464442,0.35560781,-0.35560781,0.49837031,-0.49837031,0.89445674,-0.89445674,0.00000000,-0.00000000
-5.87393697,2.33501932,-2.33501933,0.59201828,-0.59201828,0.58832946,-0.58832946,0.00443508,-0.00443508,0.43459342,-0.43459342,0.34550687,-0.34550687,0.48703704,-0.48703704,0.87571461,-0.87571461,0.00000000,-0.00000000
-5.86793397,2.28292522,-2.28292523,0.58796795,-0.58796795,0.57363751,-0.57363751,0.00434013,-0.00434013,0.42529247,-0.42529247,0.33452294,-0.33452294,0.47438428,-0.47438428,0.85513788,-0.85513789,0.00000000,-0.00000000
-5.86193097,2.22984342,-2.22984342,0.58333660,-0.58333660,0.55930870,-0.55930870,0.00422539,-0.00422539,0.41660489,-0.41660489,0.32284030,-0.32284030,0.46070589,-0.46070589,0.83312355,-0.83312355,0.00000000,-0.00000000
-5.85592796,2.17621060,-2.17621061,0.57793850,-0.57793850,0.54530954,-0.54530954,0.00409487,-0.00409487,0.40838098,-0.40838098,0.31064809,-0.31064809,0.44630484,-0.44630484,0.81006469,-0.81006469,0.00000000,-0.00000000
-5.84992496,2.12242534,-2.12242535,0.57161590,-0.57161590,0.53158598,-0.53158599,0.00395314,-0.00395314,0.40046593,-0.40046594,0.29813667,-0.29813667,0.43148564,-0.43148564,0.78634185,-0.78634185,0.00000000,-0.00000000
-5.84392196,2.06884935,-2.06884936,0.56424615,-0.56424615,0.51806939,-0.51806939,0.00380519,-0.00380519,0.39270777,-0.39270777,0.28549436,-0.28549436,0.41654729,-0.41654729,0.76231585,-0.76231585,0.00000000,-0.00000000
-5.83791896,2.01581110,-2.01581110,0.55574755,-0.55574755,0.50468294,-0.50468294,0.00365637,-0.00365637,0.38496497,-0.38496497,0.27290479,-0.27290479,0.40177666,-0.40177666,0.73832221,-0.73832221,0.00000000,-0.00000000
-5.83191596,1.96361108,-1.96361109,0.54608385,-0.54608386,0.49134834,-0.49134834,0.00351227,-0.00351227,0.37711336,-0.37711336,0.26054483,-0.26054483,0.38744281,-0.38744281,0.71466721,-0.71466722,0.00000000,-0.00000000
-5.82591296,1.91252828,-1.91252829,0.53526705,-0.53526705,0.47799236,-0.47799236,0.00337863,-0.00337863,0.36905207,-0.36905207,0.24858294,-0.24858294,0.37379210,-0.37379210,0.69162552,-0.69162552,0.00000000,-0.00000000
-5.81990995,1.86282694,-1.86282694,0.52335844,-0.52335845,0.46455284,-0.46455284,0.00326126,-0.00326126,0.36070812,-0.36070812,0.23717815,-0.23717815,0.36104444,-0.36104444,0.66943928,-0.66943928,0.00000000,-0.00000000
-5.81390695,1.81476307,-1.81476308,0.51046794,-0.51046794,0.45098387,-0.45098387,0.00316592,-0.00316592,0.35203960,-0.35203961,0.22647931,-0.22647931,0.34939057,-0.34939057,0.64831849,-0.64831849,0.00000000,-0.00000000
-5.80790395,1.76859013,-1.76859013,0.49675140,-0.49675140,0.43725992,-0.43725992,0.00309826,-0.00309826,0.34303727,-0.34303727,0.21662469,-0.21662469,0.33899037,-0.33899037,0.62844236,-0.62844236,0.00000000,-0.00000000
-5.80190095,1.72456307,-1.72456307,0.48240635,-0.48240635,0.42337858,-0.42337858,0.00306373,-0.00306373,0.33372445,-0.33372445,0.20774171,-0.20774171,0.32997222,-0.32997222,0.60996142,-0.60996143,0.00000000,-0.00000000
-5.79589795,1.68294065,-1.68294065,0.46766603,-0.46766603,0.40936195,-0.40936195,0.00306751,-0.00306751,0.32415544,-0.32415544,0.19994668,-0.19994668,0.32243330,-0.32243330,0.59300005,-0.59300005,0.00000000,-0.00000000
-5.78989495,1.64398549,-1.64398549,0.45279204,-0.45279204,0.39525662,-0.39525662,0.00311445,-0.00311445,0.31441241,-0.31441241,0.19334448,-0.19334448,0.31644060,-0.31644060,0.57765917,-0.57765917,0.00000000,-0.00000000
