energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.50297445,0.32752172,0.00364201,0.29683510,0.75410239,0.00000000,0.47541495,0.33340225
-5.99399700,1.58353721,0.34981169,0.00387111,0.31152506,0.79635080,0.00000000,0.50372426,0.35006232
-5.98799400,1.66255211,0.37209282,0.00408932,0.32620288,0.83746077,0.00000000,0.53169622,0.36638279
-5.98199100,1.73924211,0.39403937,0.00429293,0.34091175,0.87680077,0.00000000,0.55913070,0.38229188
-5.97598799,1.81294477,0.41532494,0.00447831,0.35573753,0.91376999,0.00000000,0.58586122,0.39775451
-5.96998499,1.88312479,0.43562865,0.00464208,0.37080586,0.94781118,0.00000000,0.61175896,0.41277219
-5.96398199,1.94938197,0.45464142,0.00478116,0.38627729,0.97842271,0.00000000,0.63673540,0.42738129
-5.95797899,2.01145433,0.47207222,0.00489284,0.40234037,1.00516939,0.00000000,0.66074314,0.44164970
-5.95197599,2.06921609,0.48765420,0.00497490,0.41920302,1.02769187,0.00000000,0.68377502,0.45567188
-5.94597299,2.12267063,0.50115036,0.00502566,0.43708236,1.04571412,0.00000000,0.70586132,0.46956260
-5.93996998,2.17193866,0.51235865,0.00504404,0.45619351,1.05904876,0.00000000,0.72706535,0.48344959
-5.93396698,2.21724199,0.52111630,0.00502960,0.47673759,1.06760012,0.00000000,0.74747738,0.49746525
-5.92796398,2.25888381,0.52730316,0.00498251,0.49888973,1.07136475,0.00000000,0.76720739,0.51173805
-5.92196098,2.29722602,0.53084399,0.00490363,0.52278746,1.07042943,0.00000000,0.78637672,0.52638390
-5.91595798,2.33266498,0.53170969,0.00479440,0.54852003,1.06496662,0.00000000,0.80510924,0.54149782
-5.90995498,2.36560644,0.52991716,0.00465684,0.57611937,1.05522762,0.00000000,0.82352237,0.55714656
-5.90395198,2.39644095,0.52552815,0.00449349,0.60555298,1.04153346,0.00000000,0.84171834,0.57336234
-5.89794897,2.42552081,0.51864690,0.00430731,0.63671920,1.02426409,0.00000000,0.85977625,0.59013812
-5.89194597,2.45313951,0.50941675,0.00410158,0.66944526,1.00384599,0.00000000,0.87774522,0.60742468
-5.88594297,2.47951467,0.49801585,0.00387986,0.70348804,0.98073886,0.00000000,0.89563910,0.62512957
-5.87993997,2.50477505,0.48465222,0.00364583,0.73853776,0.95542172,0.00000000,0.91343287,0.64311812
-5.87393697,2.52895233,0.46955819,0.00340321,0.77422439,0.92837912,0.00000000,0.93106111,0.66121635
-5.86793397,2.55197776,0.45298460,0.00315566,0.81012656,0.90008779,0.00000000,0.94841845,0.67921566
-5.86193097,2.57368394,0.43519487,0.00290672,0.84578261,0.87100430,0.00000000,0.96536209,0.69687918
-5.85592796,2.59381145,0.41645913,0.00265968,0.88070323,0.84155426,0.00000000,0.98171640,0.71394928
-5.84992496,2.61202002,0.39704879,0.00241755,0.91438533,0.81212327,0.00000000,0.99727911,0.73015606
-5.84392196,2.62790364,0.37723138,0.00218300,0.94632646,0.78305011,0.00000000,1.01182918,0.74522633
-5.83791896,2.64100897,0.35726624,0.00195833,0.97603911,0.75462216,0.00000000,1.02513568,0.75889264
-5.83191596,2.65085613,0.33740071,0.00174542,1.00306460,0.72707334,0.00000000,1.03696760,0.77090206
-5.82591296,2.65696097,0.31786727,0.00154577,1.02698571,0.70058438,0.00000000,1.04710389,0.78102424
-5.81990995,2.65885799,0.29888141,0.00136050,1.04743791,0.67528541,0.00000000,1.05534357,0.78905859
-5.81390695,2.65612275,0.28064029,0.00119031,1.06411859,0.65126046,0.00000000,1.06151526,0.79484012
-5.80790395,2.64839303,0.26332220,0.00103560,1.07679427,0.62855376,0.00000000,1.06548594,0.79824394
-5.80190095,2.63538790,0.24708653,0.00089643,1.08530537,0.60717718,0.00000000,1.06716849,0.79918826
-5.79589795,2.61692386,0.23207440,0.00077262,1.08956879,0.58711862,0.00000000,1.06652764,0.79763586
-5.78989495,2.59292747,0.21840952,0.00066375,1.08957809,0.56835052,0.00000000,1.06358428,0.79359413
-5.78389195,2.56344412,0.20619936,0.00056923,1.08540155,0.55083836,0.00000000,1.05841779,0.78711366
-5.77788894,2.52864244,0.19553624,0.00048833,1.07717829,0.53454837,0.00000000,1.05116629,0.77828569
-5.77188594,2.48881432,0.18649840,0.00042024,1.06511265,0.51945422,0.00000000,1.04202490,0.76723853
-5.76588294,2.44437047,0.17915069,0.00036409,1.04946714,0.50554231,0.00000000,1.03124192,0.75413311
-5.75987994,2.39583174,0.17354495,0.00031897,1.03055434,0.49281527,0.00000000,1.01911310,0.73915797
-5.75387694,2.34381642,0.16971988,0.00028400,1.00872789,0.48129376,0.00000000,1.00597419,0.72252385
-5.74787394,2.28902418,0.16770038,0.00025830,0.98437310,0.47101626,0.00000000,0.99219199,0.70445799
-5.74187094,2.23221701,0.16749642,0.00024103,0.95789726,0.46203717,0.00000000,0.97815429,0.68519849
-5.73586793,2.17419814,0.16910147,0.00023143,0.92972009,0.45442325,0.00000000,0.96425904,0.66498878
-5.72986493,2.11578952,0.17249053,0.00022877,0.90026445,0.44824874,0.00000000,0.95090309,0.64407228
-5.72386193,2.05780901,0.17761810,0.00023237,0.86994763,0.44358956,0.00000000,0.93847118,0.62268748
-5.71785893,2.00104801,0.18441604,0.00024165,0.83917341,0.44051696,0.00000000,0.92732539,0.60106353
-5.71185593,1.94625055,0.19279176,0.00025607,0.80832497,0.43909113,0.00000000,0.91779569,0.57941627
-5.70585293,1.89409474,0.20262677,0.00027514,0.77775895,0.43935520,0.00000000,0.91017200,0.55794497
-5.69984992,1.84517734,0.21377600,0.00029847,0.74780062,0.44133009,0.00000000,0.90469807,0.53682971
-5.69384692,1.80000212,0.22606788,0.00032569,0.71874039,0.44501057,0.00000000,0.90156753,0.51622947
-5.68784392,1.75897244,0.23930560,0.00035653,0.69083157,0.45036284,0.00000000,0.90092225,0.49628094
-5.68184092,1.72238843,0.25326932,0.00039076,0.66428944,0.45732382,0.00000000,0.90285319,0.47709810
-5.67583792,1.69044865,0.26771970,0.00042824,0.63929162,0.46580220,0.00000000,0.90740342,0.45877253
-5.66983492,1.66325604,0.28240254,0.00046890,0.61597958,0.47568124,0.00000000,0.91457332,0.44137441
-5.66383192,1.64082770,0.29705439,0.00051277,0.59446113,0.48682306,0.00000000,0.92432749,0.42495412
-5.65782891,1.62310768,0.31140901,0.00055995,0.57481373,0.49907421,0.00000000,0.93660271,0.40954439
-5.65182591,1.60998188,0.32520452,0.00061065,0.55708839,0.51227211,0.00000000,0.95131663,0.39516285
-5.64582291,1.60129402,0.33819066,0.00066516,0.54131383,0.52625180,0.00000000,0.96837620,0.38181480
-5.63981991,1.59686140,0.35013606,0.00072389,0.52750062,0.54085263,0.00000000,0.98768535,0.36949613
-5.63381691,1.59648929,0.36083512,0.00078732,0.51564503,0.55592431,0.00000000,1.00915103,0.35819605
-5.62781391,1.59998297,0.37011399,0.00085603,0.50573230,0.57133188,0.00000000,1.03268726,0.34789965
-5.62181091,1.60715630,0.37783553,0.00093064,0.49773903,0.58695913,0.00000000,1.05821640,0.33858990
-5.61580790,1.61783626,0.38390283,0.00101182,0.49163462,0.60271034,0.00000000,1.08566761,0.33024923
-5.60980490,1.63186295,0.38826124,0.00110026,0.48738155,0.61850995,0.00000000,1.11497225,0.32286027
-5.60380190,1.64908508,0.39089860,0.00119660,0.48493452,0.63430038,0.00000000,1.14605643,0.31640600
-5.59779890,1.66935119,0.39184395,0.00130142,0.48423849,0.65003797,0.00000000,1.17883116,0.31086907
-5.59179590,1.69249730,0.39116447,0.00141517,0.48522584,0.66568737,0.00000000,1.21318055,0.30623056
-5.58579290,1.71833189,0.38896117,0.00153815,0.48781287,0.68121483,0.00000000,1.24894915,0.30246807
-5.57978989,1.74661967,0.38536329,0.00167044,0.49189597,0.69658090,0.00000000,1.28592917,0.29955347
-5.57378689,1.77706525,0.38052200,0.00181184,0.49734779,0.71173307,0.00000000,1.32384879,0.29745052
-5.56778389,1.80929857,0.37460354,0.00196189,0.50401396,0.72659899,0.00000000,1.36236263,0.29611244
-5.56178089,1.84286323,0.36778232,0.00211975,0.51171063,0.74108099,0.00000000,1.40104534,0.29547983
-5.55577789,1.87720938,0.36023434,0.00228425,0.52022320,0.75505215,0.00000000,1.43938927,0.29547902
-5.54977489,1.91169205,0.35213118,0.00245388,0.52930668,0.76835462,0.00000000,1.47680683,0.29602124
-5.54377189,1.94557566,0.34363492,0.00262674,0.53868779,0.78080031,0.00000000,1.51263797,0.29700260
-5.53776888,1.97804528,0.33489417,0.00280063,0.54806883,0.79217414,0.00000000,1.54616279,0.29830500
-5.53176588,2.00822421,0.32604130,0.00297308,0.55713358,0.80223969,0.00000000,1.57661913,0.29979816
