energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.78061548,0.94923530,0.63363539,0.00112367,0.02454411,0.00718047,0.98279062,0.31683714,0.07610158
-5.99399700,1.77603592,0.94225133,0.63932021,0.00113524,0.02325433,0.00702799,0.97922629,0.31404253,0.07518487
-5.98799400,1.77182334,0.93386559,0.64655310,0.00114860,0.02194624,0.00686146,0.97513920,0.31094516,0.07418736
-5.98199100,1.76843794,0.92418750,0.65557804,0.00116291,0.02064196,0.00668189,0.97070824,0.30756902,0.07313567
-5.97598799,1.76628300,0.91330055,0.66661773,0.00117730,0.01936194,0.00649053,0.96608369,0.30392387,0.07205513
-5.96998499,1.76570097,0.90126416,0.67986931,0.00119091,0.01812448,0.00628873,0.96138740,0.30000661,0.07096947
-5.96398199,1.76697444,0.88811805,0.69550154,0.00120289,0.01694549,0.00607802,0.95671565,0.29580358,0.06990072
-5.95797899,1.77033155,0.87388901,0.71365334,0.00121243,0.01583829,0.00586003,0.95214450,0.29129388,0.06886935
-5.95197599,1.77595524,0.85859939,0.73443368,0.00121876,0.01481348,0.00563655,0.94773715,0.28645322,0.06789446
-5.94597299,1.78399540,0.84227688,0.75792244,0.00122120,0.01387904,0.00540950,0.94355273,0.28125826,0.06699423
-5.93996998,1.79458299,0.82496484,0.78417222,0.00121917,0.01304035,0.00518094,0.93965598,0.27569118,0.06618639
-5.93396698,1.80784500,0.80673260,0.81321064,0.00121219,0.01230049,0.00495313,0.93612706,0.26974404,0.06548878
-5.92796398,1.82391913,0.78768493,0.84504316,0.00119994,0.01166038,0.00472850,0.93307083,0.26342284,0.06491994
-5.92196098,1.84296731,0.76797015,0.87965583,0.00118222,0.01111917,0.00450969,0.93062500,0.25675100,0.06449963
-5.91595798,1.86518699,0.74778626,0.91701815,0.00115901,0.01067453,0.00429960,0.92896667,0.24977202,0.06424935
-5.90995498,1.89081956,0.72738477,0.95708558,0.00113043,0.01032295,0.00410133,0.92831657,0.24255120,0.06419267
-5.90395198,1.92015537,0.70707170,0.99980178,0.00109676,0.01006014,0.00391828,0.92894097,0.23517633,0.06435552
-5.89794897,1.95353485,0.68720588,1.04510037,0.00105843,0.00988130,0.00375407,0.93115085,0.22775724,0.06476623
-5.89194597,1.99134572,0.66819427,1.09290617,0.00101599,0.00978141,0.00361259,0.93529830,0.22042434,0.06545540
-5.88594297,2.03401622,0.65048462,1.14313594,0.00097012,0.00975549,0.00349796,0.94177025,0.21332607,0.06645560
-5.87993997,2.08200446,0.63455548,1.19569850,0.00092159,0.00979879,0.00341448,0.95097961,0.20662541,0.06780082
-5.87393697,2.13578425,0.62090420,1.25049420,0.00087122,0.00990695,0.00336663,0.96335415,0.20049570,0.06952576
-5.86793397,2.19582783,0.61003308,1.30741377,0.00081987,0.01007613,0.00335897,0.97932336,0.19511568,0.07166486
-5.86193097,2.26258581,0.60243434,1.36633644,0.00076844,0.01030303,0.00339610,0.99930378,0.19066422,0.07425122
-5.85592796,2.33646508,0.59857432,1.42712733,0.00071777,0.01058493,0.00348253,1.02368315,0.18731471,0.07731532
-5.84992496,2.41780507,0.59887752,1.48963405,0.00066869,0.01091964,0.00362266,1.05280388,0.18522935,0.08088365
-5.84392196,2.50685321,0.60371103,1.55368260,0.00062195,0.01130544,0.00382058,1.08694636,0.18455363,0.08497723
-5.83791896,2.60374013,0.61336977,1.61907260,0.00057824,0.01174096,0.00408001,1.12631263,0.18541102,0.08961015
-5.83191596,2.70845553,0.62806315,1.68557195,0.00053810,0.01222506,0.00440417,1.17101084,0.18789807,0.09478810
-5.82591296,2.82082555,0.64790350,1.75291112,0.00050202,0.01275664,0.00479564,1.22104123,0.19208014,0.10050697
-5.81990995,2.94049243,0.67289678,1.82077743,0.00047032,0.01333454,0.00525622,1.27628398,0.19798781,0.10675166
-5.81390695,3.06689758,0.70293579,1.88880960,0.00044321,0.01395731,0.00578685,1.33648964,0.20561407,0.11349502
-5.80790395,3.19926906,0.73779624,1.95659306,0.00042080,0.01462306,0.00638746,1.40127245,0.21491245,0.12069715
-5.80190095,3.33661422,0.77713597,2.02365644,0.00040304,0.01532933,0.00705687,1.47010731,0.22579614,0.12830495
-5.79589795,3.47771877,0.82049735,2.08946983,0.00038980,0.01607291,0.00779277,1.54233050,0.23813808,0.13625210
-5.78989495,3.62115271,0.86731293,2.15344522,0.00038082,0.01684978,0.00859158,1.61714480,0.25177226,0.14445948
-5.78389195,3.76528400,0.91691452,2.21493959,0.00037575,0.01765500,0.00944849,1.69362886,0.26649599,0.15283598
-5.77788894,3.90830010,0.96854527,2.27326098,0.00037419,0.01848264,0.01035745,1.77075127,0.28207333,0.16127982
-5.77188594,4.04823750,1.02137477,2.32767773,0.00037564,0.01932581,0.01131120,1.84738882,0.29823959,0.16968027
-5.76588294,4.18301892,1.07451678,2.37743089,0.00037956,0.02017670,0.01230133,1.92234901,0.31470673,0.17791983
-5.75987994,4.31049728,1.12704898,2.42174968,0.00038540,0.02102657,0.01331843,1.99439607,0.33116962,0.18587672
-5.75387694,4.42850549,1.17803449,2.45986956,0.00039257,0.02186595,0.01435221,2.06227983,0.34731312,0.19342769
-5.74787394,4.53491040,1.22654424,2.49105242,0.00040048,0.02268470,0.01539167,2.12476669,0.36281951,0.20045101
-5.74187094,4.62766913,1.27167969,2.51460806,0.00040856,0.02347222,0.01642529,2.18067156,0.37737636,0.20682952
-5.73586793,4.70488566,1.31259501,2.52991608,0.00041630,0.02421760,0.01744128,2.22888956,0.39068438,0.21245375
-5.72986493,4.76486550,1.34851806,2.53644730,0.00042318,0.02490988,0.01842776,2.26842651,0.40246512,0.21722477
-5.72386193,4.80616612,1.37876937,2.53378356,0.00042877,0.02553826,0.01937304,2.29842681,0.41246813,0.22105691
-5.71785893,4.82764095,1.40277849,2.52163489,0.00043269,0.02609228,0.02026584,2.31819762,0.42047748,0.22388002
-5.71185593,4.82847512,1.42009701,2.49985336,0.00043464,0.02656214,0.02109547,2.32722847,0.42631724,0.22564135
-5.70585293,4.80821117,1.43040795,2.46844256,0.00043438,0.02693885,0.02185210,2.32520525,0.42985582,0.22630687
-5.69984992,4.76676372,1.43353111,2.42756239,0.00043177,0.02721449,0.02252687,2.31201824,0.43100892,0.22586202
-5.69384692,4.70442231,1.42942416,2.37752867,0.00042672,0.02738238,0.02311211,2.28776366,0.42974112,0.22431184
-5.68784392,4.62184237,1.41817968,2.31880763,0.00041923,0.02743730,0.02360138,2.25273883,0.42606588,0.22168057
-5.68184092,4.52002475,1.40001822,2.25200544,0.00040937,0.02737557,0.02398959,2.20743116,0.42004405,0.21801061
-5.67583792,4.40028480,1.37527781,2.17785317,0.00039727,0.02719523,0.02427307,2.15250147,0.41178104,0.21336102
-5.66983492,4.26421245,1.34440045,2.09718796,0.00038312,0.02689606,0.02444953,2.08876255,0.40142266,0.20780552
-5.66383192,4.11362512,1.30791620,2.01093118,0.00036716,0.02647968,0.02451806,2.01715375,0.38914987,0.20143024
-5.65782891,3.95051565,1.26642553,1.92006459,0.00034965,0.02594949,0.02447911,1.93871295,0.37517271,0.19433114
-5.65182591,3.77699743,1.22058085,1.82560558,0.00033090,0.02531065,0.02433437,1.85454692,0.35972361,0.18661131
-5.64582291,3.59524915,1.17106783,1.72858246,0.00031121,0.02457000,0.02408673,1.76580144,0.34305045,0.17837828
-5.63981991,3.40746120,1.11858725,1.63001092,0.00029091,0.02373591,0.02374014,1.67363229,0.32540948,0.16974139
-5.63381691,3.21578600,1.06383807,1.53087249,0.00027030,0.02281816,0.02329953,1.57917815,0.30705858,0.16080932
-5.62781391,3.02229358,1.00750233,1.43209574,0.00024969,0.02182770,0.02277069,1.48353639,0.28825093,0.15168783
-5.62181091,2.82893406,0.95023206,1.33454089,0.00022936,0.02077643,0.02216015,1.38774243,0.26922938,0.14247790
-5.61580790,2.63750769,0.89263875,1.23898798,0.00020958,0.01967700,0.02147507,1.29275307,0.25022166,0.13327411
-5.60980490,2.44964304,0.83528537,1.14612906,0.00019056,0.01854253,0.02072315,1.19943425,0.23143646,0.12416349
-5.60380190,2.26678328,0.77868097,1.05656402,0.00017253,0.01738635,0.01991249,1.10855309,0.21306064,0.11522467
-5.59779890,2.09018022,0.72327772,0.97080017,0.00015564,0.01622176,0.01905155,1.02077410,0.19525731,0.10652739
-5.59179590,1.92089543,0.66947023,0.88925486,0.00014006,0.01506180,0.01814898,0.93665926,0.17816494,0.09813244
-5.58579290,1.75980746,0.61759674,0.81226094,0.00012589,0.01391903,0.01721358,0.85667138,0.16189737,0.09009173
-5.57978989,1.60762391,0.56794196,0.74007428,0.00011324,0.01280532,0.01625420,0.78118030,0.14654454,0.08244876
-5.57378689,1.46489730,0.52074096,0.67288271,0.00010218,0.01173173,0.01527960,0.71047100,0.13217394,0.07523918
-5.56778389,1.33204320,0.47618394,0.61081597,0.00009277,0.01070834,0.01429842,0.64475323,0.11883244,0.06849148
-5.56178089,1.20935947,0.43442132,0.55395571,0.00008508,0.00974420,0.01331902,0.58417181,0.10654860,0.06222783
-5.55577789,1.09704544,0.39556890,0.50234531,0.00007914,0.00884724,0.01234945,0.52881695,0.09533506,0.05646486
-5.54977489,0.99521996,0.35971271,0.45599880,0.00007501,0.00802425,0.01139729,0.47873418,0.08519105,0.05121448
-5.54377189,0.90393745,0.32691343,0.41490859,0.00007271,0.00728091,0.01046963,0.43393330,0.07610486,0.04648454
-5.53776888,0.82320138,0.29721008,0.37905162,0.00007231,0.00662175,0.00957291,0.39439601,0.06805602,0.04227954
-5.53176588,0.75297456,0.27062292,0.34839390,0.00007383,0.00605024,0.00871292,0.36008201,0.06101741,0.03860106
-5.52576288,0.69318615,0.24715552,0.32289308,0.00007733,0.00556881,0.00789466,0.33093330,0.05495691,0.03544816
-5.51975988,0.64373520,0.22679590,0.30249926,0.00008286,0.00517891,0.00712237,0.30687681,0.04983881,0.03281760
-5.51375688,0.60449097,0.20951701,0.28715403,0.00009045,0.00488103,0.00639943,0.28782524,0.04562485,0.03070390
-5.50775388,0.57529014,0.19527637,0.27678796,0.00010015,0.00467476,0.00572836,0.27367633,0.04227488,0.02909930
-5.50175088,0.55593161,0.18401517,0.27131665,0.00011198,0.00455880,0.00511083,0.26431080,0.03974727,0.02799357
-5.49574787,0.54616912,0.17565697,0.27063584,0.00012594,0.00453099,0.00454766,0.25958909,0.03799901,0.02737378
-5.48974487,0.54570266,0.17010612,0.27461579,0.00014202,0.00458832,0.00403888,0.25934748,0.03698553,0.02722389
-5.48374187,0.55416919,0.16724614,0.28309540,0.00016017,0.00472688,0.00358374,0.26339369,0.03666049,0.02752448
-5.47773887,0.57113354,0.16693815,0.29587639,0.00018031,0.00494192,0.00318080,0.27150254,0.03697531,0.02825232
