energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.13716843,0.09641750,0.00280518,0.13445854,0.62528581,0.30616159,0.01502090,0.48041589
-5.99399700,1.16726977,0.09944951,0.00317449,0.13677025,0.62953716,0.31852386,0.01604976,0.49540320
-5.98799400,1.20863405,0.10312070,0.00357598,0.14044026,0.63819978,0.33452049,0.01723528,0.51483655
-5.98199100,1.26025923,0.10732321,0.00400735,0.14534785,0.65064252,0.35392930,0.01856375,0.53828293
-5.97598799,1.32098856,0.11194103,0.00446558,0.15135427,0.66619196,0.37647272,0.02001859,0.56524795
-5.96998499,1.38954003,0.11685314,0.00494687,0.15830652,0.68415576,0.40182373,0.02158047,0.59518836
-5.96398199,1.46453791,0.12193692,0.00544663,0.16604140,0.70384535,0.42961322,0.02322755,0.62752531
-5.95797899,1.54454602,0.12707148,0.00595951,0.17438964,0.72459696,0.45943852,0.02493580,0.66165830
-5.95197599,1.62810198,0.13214094,0.00647945,0.18318021,0.74579065,0.49087314,0.02667935,0.69697935
-5.94597299,1.71375196,0.13703765,0.00699979,0.19224459,0.76686638,0.52347762,0.02843098,0.73288725
-5.93996998,1.80008513,0.14166500,0.00751335,0.20142094,0.78733700,0.55681133,0.03016262,0.76880156
-5.93396698,1.88576727,0.14593996,0.00801265,0.21055815,0.80679758,0.59044490,0.03184593,0.80417599
-5.92796398,1.96957263,0.14979523,0.00849001,0.21951967,0.82493107,0.62397305,0.03345291,0.83851094
-5.92196098,2.05041334,0.15318077,0.00893781,0.22818689,0.84151021,0.65702738,0.03495656,0.87136487
-5.91595798,2.12736552,0.15606495,0.00934869,0.23646215,0.85639597,0.68928872,0.03633153,0.90236425
-5.90995498,2.19969141,0.15843507,0.00971573,0.24427118,0.86953274,0.72049841,0.03755472,0.93121174
-5.90395198,2.26685669,0.16029735,0.01003270,0.25156484,0.88094076,0.75046823,0.03860591,0.95769256
-5.89794897,2.32854243,0.16167639,0.01029425,0.25832020,0.89070652,0.77908821,0.03946826,0.98167870
-5.89194597,2.38465116,0.16261422,0.01049609,0.26454073,0.89897154,0.80633214,0.04012877,1.00313097
-5.88594297,2.43530669,0.16316883,0.01063511,0.27025575,0.90592044,0.83226010,0.04057866,1.02209876
-5.87993997,2.48084755,0.16341239,0.01070950,0.27551897,0.91176888,0.85701792,0.04081352,1.03871753
-5.87393697,2.52181392,0.16342921,0.01071883,0.28040611,0.91675198,0.88083332,0.04083349,1.05320406
-5.86793397,2.55892855,0.16331341,0.01066405,0.28501188,0.92111382,0.90400863,0.04064321,1.06584961
-5.86193097,2.59307178,0.16316654,0.01054747,0.28944610,0.92509831,0.92691035,0.04025164,1.07701108
