energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.59121284,0.11246224,0.09511208,0.01284781,0.33850413,0.82695609,1.13268188,0.02260781,1.16243549
-5.99399700,2.53234154,0.10894223,0.09488679,0.01258986,0.33429792,0.81413539,1.10294408,0.02243055,1.13050628
-5.98799400,2.48271187,0.10649781,0.09566633,0.01238070,0.33132588,0.80483175,1.07641117,0.02227083,1.10308879
-5.98199100,2.44271379,0.10516644,0.09748816,0.01222582,0.32961337,0.79908759,1.05326788,0.02212624,1.08041281
-5.97598799,2.41260468,0.10497912,0.10038579,0.01213007,0.32917382,0.79692328,1.03362823,0.02199480,1.06263990
-5.96998499,2.39249874,0.10595980,0.10438790,0.01209752,0.33000769,0.79833396,1.01753143,0.02187491,1.04985743
-5.96398199,2.38236181,0.10812509,0.10951737,0.01213138,0.33210195,0.80328722,1.00494087,0.02176527,1.04207546
-5.95797899,2.38201159,0.11148394,0.11579000,0.01223397,0.33543001,0.81172189,0.99574626,0.02166481,1.03922683
-5.95197599,2.39112287,0.11603739,0.12321314,0.01240669,0.33995210,0.82354762,0.98976862,0.02157264,1.04116986
-5.94597299,2.40923738,0.12177831,0.13178407,0.01265009,0.34561600,0.83864533,0.98676791,0.02148803,1.04769383
-5.93996998,2.43577729,0.12869094,0.14148834,0.01296389,0.35235807,0.85686810,0.98645286,0.02141032,1.05852633
-5.93396698,2.47006158,0.13675034,0.15229795,0.01334712,0.36010435,0.87804253,0.98849237,0.02133897,1.07334236
-5.92796398,2.51132433,0.14592171,0.16416966,0.01379821,0.36877187,0.90197017,0.99252789,0.02127348,1.09177435
-5.92196098,2.55873371,0.15615953,0.17704337,0.01431509,0.37826984,0.92842897,0.99818630,0.02121349,1.11342256
-5.91595798,2.61141099,0.16740661,0.19084068,0.01489535,0.38850074,0.95717445,1.00509243,0.02115871,1.13786536
-5.90995498,2.66844838,0.17959308,0.20546386,0.01553633,0.39936134,0.98794067,1.01288078,0.02110898,1.16466877
-5.90395198,2.72892530,0.19263550,0.22079527,0.01623520,0.41074337,1.02044076,1.02120593,0.02106427,1.19339491
-5.89794897,2.79192233,0.20643603,0.23669727,0.01698907,0.42253415,1.05436726,1.02975118,0.02102472,1.22360905
-5.89194597,2.85653262,0.22088196,0.25301283,0.01779501,0.43461687,1.08939226,1.03823514,0.02099062,1.25488500
-5.88594297,2.92187085,0.23584550,0.26956687,0.01865000,0.44687090,1.12516755,1.04641610,0.02096239,1.28680892
-5.87993997,2.98707961,0.25118420,0.28616836,0.01955099,0.45917196,1.16132506,1.05409420,0.02094062,1.31898157
-5.87393697,3.05133389,0.26674189,0.30261315,0.02049472,0.47139236,1.19747787,1.06111149,0.02092594,1.35101918
-5.86793397,3.11384394,0.28235028,0.31868766,0.02147765,0.48340145,1.23322197,1.06734998,0.02091902,1.38255341
-5.86193097,3.17385728,0.29783134,0.33417315,0.02249582,0.49506627,1.26813925,1.07272822,0.02092047,1.41323052
-5.85592796,3.23066057,0.31300032,0.34885070,0.02354464,0.50625273,1.30180168,1.07719661,0.02093079,1.44271049
-5.84992496,3.28358180,0.32766950,0.36250653,0.02461875,0.51682707,1.33377704,1.08073194,0.02095020,1.47066626
-5.84392196,3.33199364,0.34165253,0.37493770,0.02571182,0.52665800,1.36363617,1.08333163,0.02097864,1.49678361
-5.83791896,3.37531813,0.35476919,0.38595779,0.02681641,0.53561924,1.39096166,1.08500812,0.02101561,1.52076201
-5.83191596,3.41303326,0.36685049,0.39540252,0.02792383,0.54359256,1.41535782,1.08578364,0.02106012,1.54231656
-5.82591296,3.44468113,0.37774382,0.40313491,0.02902409,0.55047124,1.43646167,1.08568596,0.02111068,1.56118137
-5.81990995,3.46987788,0.38731795,0.40904990,0.03010590,0.55616369,1.45395449,1.08474508,0.02116520,1.57711412
-5.81390695,3.48832472,0.39546762,0.41307810,0.03115672,0.56059717,1.46757344,1.08299117,0.02122106,1.58990194
-5.80790395,3.49981968,0.40211753,0.41518854,0.03216292,0.56372140,1.47712282,1.08045372,0.02127516,1.59936812
-5.80190095,3.50426929,0.40722545,0.41539029,0.03311004,0.56551167,1.48248423,1.07716199,0.02132398,1.60537961
-5.79589795,3.50169937,0.41078430,0.41373275,0.03398309,0.56597153,1.48362519,1.07314637,0.02136373,1.60785460
-5.78989495,3.49226420,0.41282303,0.41030475,0.03476697,0.56513452,1.48060577,1.06844072,0.02139050,1.60677002
-5.78389195,3.47625324,0.41340631,0.40523223,0.03544691,0.56306508,1.47358266,1.06308527,0.02140048,1.60216832
-5.77788894,3.45409480,0.41263286,0.39867477,0.03600898,0.55985831,1.46281055,1.05712987,0.02139012,1.59416311
-5.77188594,3.42635610,0.41063261,0.39082107,0.03644065,0.55563862,1.44864056,1.05063732,0.02135637,1.58294334
-5.76588294,3.39373950,0.40756285,0.38188345,0.03673126,0.55055734,1.43151577,1.04368643,0.02129690,1.56877570
-5.75987994,3.35707477,0.40360332,0.37209172,0.03687258,0.54478916,1.41196398,1.03637472,0.02121027,1.55200492
-5.75387694,3.31730759,0.39895079,0.36168668,0.03685919,0.53852787,1.39058789,1.02882043,0.02109613,1.53305186
-5.74787394,3.27548462,0.39381313,0.35091337,0.03668892,0.53198127,1.36805321,1.02116382,0.02095529,1.51240955
-5.74187094,3.23273569,0.38840333,0.34001454,0.03636304,0.52536572,1.34507507,1.01356753,0.02078986,1.49063689
-5.73586793,3.19025370,0.38293369,0.32922447,0.03588645,0.51890049,1.32240325,1.00621620,0.02060320,1.46835051
-5.72986493,3.14927301,0.37761042,0.31876342,0.03526767,0.51280222,1.30080672,0.99931506,0.02039993,1.44621481
-5.72386193,3.11104696,0.37262896,0.30883284,0.03451874,0.50727967,1.28105813,0.99308775,0.02018580,1.42493038
-5.71785893,3.07682522,0.36817003,0.29961162,0.03365496,0.50252909,1.26391842,0.98777336,0.01996749,1.40522133
-5.71185593,3.04783147,0.36439682,0.29125322,0.03269448,0.49873028,1.25012218,0.98362269,0.01975245,1.38782146
-5.70585293,3.02524186,0.36145294,0.28388399,0.03165785,0.49604343,1.24036378,0.98089386,0.01954857,1.37345986
-5.69984992,3.01016439,0.35946152,0.27760241,0.03056740,0.49460696,1.23528457,0.97984732,0.01936394,1.36284589
-5.69384692,3.00361941,0.35852505,0.27247928,0.02944660,0.49453605,1.23546114,0.98074022,0.01920644,1.35665401
-5.68784392,3.00652117,0.35872598,0.26855872,0.02831935,0.49592205,1.24139462,0.98382031,0.01908351,1.35550849
-5.68184092,3.01966016,0.36012780,0.26585979,0.02720928,0.49883245,1.25350090,0.98931926,0.01900175,1.35996814
-5.67583792,3.04368621,0.36277646,0.26437858,0.02613902,0.50331134,1.27210180,0.99744561,0.01896668,1.37051149
-5.66983492,3.07909215,0.36670172,0.26409055,0.02512959,0.50938013,1.29741684,1.00837730,0.01898247,1.38752226
-5.66383192,3.12619786,0.37191849,0.26495306,0.02419974,0.51703833,1.32955577,1.02225394,0.01905172,1.41127569
-5.65782891,3.18513493,0.37842772,0.26690768,0.02336549,0.52626429,1.36851178,1.03916900,0.01917538,1.44192577
-5.65182591,3.25583203,0.38621681,0.26988251,0.02263969,0.53701573,1.41415546,1.05916217,0.01935264,1.47949391
-5.64582291,3.33800165,0.39525952,0.27379404,0.02203170,0.54922990,1.46622975,1.08221212,0.01958096,1.52385929
-5.63981991,3.43112868,0.40551521,0.27854889,0.02154724,0.56282353,1.52434616,1.10823002,0.01985615,1.57475151
-5.63381691,3.53446188,0.41692763,0.28404500,0.02118830,0.57769237,1.58798271,1.13705423,0.02017255,1.63174598
-5.62781391,3.64700923,0.42942328,0.29017276,0.02095322,0.59371070,1.65648402,1.16844660,0.02052323,1.69426265
-5.62181091,3.76753825,0.44290955,0.29681570,0.02083678,0.61073064,1.72906408,1.20209073,0.02090031,1.76156848
-5.61580790,3.89458246,0.45727292,0.30385122,0.02083057,0.62858171,1.80481226,1.23759261,0.02129523,1.83278430
-5.60980490,4.02645497,0.47237738,0.31115116,0.02092325,0.64707072,1.88270288,1.27448402,0.02169919,1.90689631
-5.60380190,4.16127008,0.48806342,0.31858251,0.02110101,0.66598228,1.96160899,1.31222885,0.02210349,1.98277244
-5.59779890,4.29697329,0.50414780,0.32600833,0.02134810,0.68508002,2.04032019,1.35023256,0.02249992,2.05918373
-5.59179590,4.43138002,0.52042434,0.33328893,0.02164729,0.70410891,2.11756488,1.38785464,0.02288112,2.13483036
-5.58579290,4.56222249,0.53666591,0.34028340,0.02198051,0.72279856,2.19203644,1.42442393,0.02324096,2.20837213
-5.57978989,4.68720422,0.55262762,0.34685158,0.02232936,0.74086779,2.26242315,1.45925656,0.02357486,2.27846251
-5.57378689,4.80406053,0.56805146,0.35285637,0.02267573,0.75803026,2.32744089,1.49167571,0.02388001,2.34378549
-5.56778389,4.91062348,0.58267201,0.35816644,0.02300236,0.77400126,2.38586785,1.52103290,0.02415561,2.40309399
-5.56178089,5.00488887,0.59622339,0.36265930,0.02329333,0.78850529,2.43658009,1.54672964,0.02440302,2.45524854
-5.55577789,5.08508281,0.60844692,0.36622443,0.02353457,0.80128440,2.47858652,1.56823884,0.02462582,2.49925477
