energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,5.19766170,0.02590884,0.69995058,0.66170582,0.25897551,1.56960064,1.30307668,0.08746393,2.11286152
-5.99399700,5.21505854,0.02595646,0.71107786,0.66572258,0.25861948,1.58624916,1.32065400,0.08671001,2.11055680
-5.98799400,5.22596212,0.02596368,0.72177307,0.66939658,0.25772250,1.60105036,1.33676181,0.08597710,2.10516697
-5.98199100,5.22983501,0.02592980,0.73180501,0.67270610,0.25628670,1.61376132,1.35101971,0.08525695,2.09669846
-5.97598799,5.22629808,0.02585488,0.74095424,0.67564526,0.25432605,1.62418792,1.36308242,0.08454267,2.08523593
-5.96998499,5.21515281,0.02573980,0.74902137,0.67822575,0.25186623,1.63219283,1.37265278,0.08382938,2.07094370
-5.96398199,5.19639576,0.02558631,0.75583484,0.68047737,0.24894417,1.63770114,1.37949339,0.08311463,2.05406327
-5.95797899,5.17022470,0.02539702,0.76125775,0.68244751,0.24560696,1.64070360,1.38343632,0.08239871,2.03490718
-5.95197599,5.13703626,0.02517545,0.76519371,0.68419943,0.24191042,1.64125729,1.38439085,0.08168471,2.01384944
-5.94597299,5.09741568,0.02492588,0.76759136,0.68580960,0.23791732,1.63948393,1.38234874,0.08097846,1.99131307
-5.93996998,5.05211921,0.02465337,0.76844738,0.68736413,0.23369524,1.63556573,1.37738705,0.08028831,1.96775539
-5.93396698,5.00205028,0.02436358,0.76780813,0.68895463,0.22931435,1.62973933,1.36966838,0.07962470,1.94365188
-5.92796398,4.94823087,0.02406269,0.76576951,0.69067369,0.22484508,1.62228795,1.35943864,0.07899972,1.91947943
-5.92196098,4.89176947,0.02375723,0.76247547,0.69261025,0.22035585,1.61353223,1.34702230,0.07842656,1.89569982
-5.91595798,4.83382742,0.02345393,0.75811484,0.69484520,0.21591094,1.60382029,1.33281555,0.07791891,1.87274434
-5.90995498,4.77558504,0.02315958,0.75291697,0.69744739,0.21156865,1.59351738,1.31727744,0.07749036,1.85100028
-5.90395198,4.71820937,0.02288085,0.74714614,0.70047038,0.20737973,1.58299554,1.30091943,0.07715385,1.83079994
-5.89794897,4.66282464,0.02262415,0.74109492,0.70395008,0.20338633,1.57262393,1.28429364,0.07692114,1.81241273
-5.89194597,4.61048670,0.02239549,0.73507695,0.70790332,0.19962122,1.56275985,1.26798023,0.07680240,1.79604057
-5.88594297,4.56216230,0.02220041,0.72941905,0.71232764,0.19610765,1.55374111,1.25257427,0.07680581,1.78181669
-5.87993997,4.51871346,0.02204383,0.72445316,0.71720200,0.19285956,1.54587957,1.23867236,0.07693734,1.76980792
-5.87393697,4.48088723,0.02193007,0.72050825,0.72248863,0.18988221,1.53945632,1.22685951,0.07720060,1.76001997
-5.86793397,4.44931052,0.02186274,0.71790229,0.72813556,0.18717326,1.53471809,1.21769632,0.07759675,1.75240524
-5.86193097,4.42448939,0.02184478,0.71693462,0.73407994,0.18472406,1.53187517,1.21170692,0.07812456,1.74687277
-5.85592796,4.40681208,0.02187847,0.71787881,0.74025169,0.18252121,1.53110038,1.20936766,0.07878045,1.74329935
-5.84992496,4.39655472,0.02196546,0.72097608,0.74657731,0.18054822,1.53252890,1.21109681,0.07955872,1.74154119
-5.84392196,4.39388876,0.02210680,0.72642942,0.75298364,0.17878718,1.53625884,1.21724540,0.08045168,1.74144536
-5.83791896,4.39888900,0.02230300,0.73439843,0.75940120,0.17722044,1.54235207,1.22808911,0.08144992,1.74286034
-5.83191596,4.41154133,0.02255410,0.74499511,0.76576703,0.17583199,1.55083520,1.24382153,0.08254249,1.74564491
-5.82591296,4.43174944,0.02285968,0.75828037,0.77202683,0.17460881,1.56170041,1.26454873,0.08371720,1.74967522
-5.81990995,4.45934006,0.02321896,0.77426163,0.77813629,0.17354178,1.57490609,1.29028528,0.08496081,1.75484944
-5.81390695,4.49406648,0.02363080,0.79289135,0.78406158,0.17262639,1.59037720,1.32095183,0.08625923,1.76109004
-5.80790395,4.53561045,0.02409372,0.81406666,0.78977913,0.17186310,1.60800535,1.35637447,0.08759781,1.76834377
