energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.71138918,-3.39372784,0.02997368,-0.01535806,0.34246814,-0.52071048,1.97289336,-1.73164569,0.76860077,-0.45881702,0.05308940,-0.06116930,1.63638064,-1.43772839
-5.99399700,3.52587747,-3.44920769,0.02881682,-0.01668398,0.32332189,-0.54124494,1.88503022,-1.77005589,0.72456558,-0.47284755,0.05108897,-0.06120433,1.56027269,-1.44581632
-5.98799400,3.36003312,-3.51427225,0.02790236,-0.01808144,0.30634729,-0.56247759,1.80535026,-1.81166207,0.68684931,-0.48832900,0.04948154,-0.06153938,1.49199066,-1.45894416
-5.98199100,3.21598705,-3.58920178,0.02724253,-0.01953740,0.29177118,-0.58433870,1.73530717,-1.85693900,0.65579003,-0.50518759,0.04829221,-0.06214456,1.43248389,-1.47740931
-5.97598799,3.09552882,-3.67400296,0.02684731,-0.02103722,0.27979821,-0.60672391,1.67617436,-1.90623418,0.63165098,-0.52331137,0.04753933,-0.06298362,1.38253792,-1.50138395
-5.96998499,3.00007174,-3.76840135,0.02672420,-0.02256487,0.27060748,-0.62949369,1.62901572,-1.95974904,0.61461828,-0.54255188,0.04723403,-0.06401554,1.34275742,-1.53091021
-5.96398199,2.93062247,-3.87184630,0.02687790,-0.02410337,0.26434888,-0.65247473,1.59466050,-2.01752638,0.60479826,-0.56272749,0.04737993,-0.06519623,1.31355224,-1.56590054
-5.95797899,2.88775585,-3.98352769,0.02731011,-0.02563517,0.26113940,-0.67546340,1.57368284,-2.07944466,0.60221455,-0.58362836,0.04797281,-0.06648050,1.29512692,-1.60614293
-5.95197599,2.87159563,-4.10240345,0.02801921,-0.02714273,0.26105926,-0.69823101,1.56638626,-2.14521910,0.60680494,-0.60502281,0.04900052,-0.06782391,1.28747400,-1.65131042
-5.94597299,2.88180210,-4.22723606,0.02900006,-0.02860913,0.26414815,-0.72053076,1.57279348,-2.21440955,0.61841846,-0.62666468,0.05044289,-0.06918478,1.29037139,-1.70097427
-5.93996998,2.91756723,-4.35663625,0.03024380,-0.03001863,0.27040179,-0.74210593,1.59264184,-2.28643424,0.63681273,-0.64830148,0.05227190,-0.07052586,1.30338409,-1.75461991
