energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.42374063,0.01458769,0.02517066,0.51214207,0.45788722,0.23299076,0.12842215,0.03888946,0.84558514
-5.99399700,1.41545022,0.01501107,0.02488845,0.50448128,0.45713021,0.23005382,0.12453855,0.03909286,0.83982454
-5.98799400,1.41187224,0.01549382,0.02492644,0.49893937,0.45713688,0.22798127,0.12144615,0.03945431,0.83643309
-5.98199100,1.41295277,0.01602917,0.02530175,0.49554438,0.45771850,0.22680596,0.11922542,0.03996425,0.83533555
-5.97598799,1.41851938,0.01660935,0.02602826,0.49427895,0.45865398,0.22653934,0.11794230,0.04060933,0.83638808
-5.96998499,1.42830077,0.01722579,0.02711649,0.49508753,0.45970104,0.22717338,0.11764811,0.04137298,0.83939136
-5.96398199,1.44194970,0.01786947,0.02857352,0.49788476,0.46060836,0.22868312,0.11837989,0.04223622,0.84410578
-5.95797899,1.45906808,0.01853125,0.03040286,0.50256450,0.46112797,0.23102988,0.12016104,0.04317837,0.85026788
-5.95197599,1.47923262,0.01920213,0.03260438,0.50900900,0.46102740,0.23416465,0.12300225,0.04417786,0.85760708
-5.94597299,1.50201976,0.01987357,0.03517421,0.51709758,0.46010092,0.23803174,0.12690270,0.04521298,0.86586170
-5.93996998,1.52702861,0.02053776,0.03810475,0.52671442,0.45817936,0.24257222,0.13185125,0.04626263,0.87479374
-5.93396698,1.55390076,0.02118777,0.04138459,0.53775511,0.45513811,0.24772723,0.13782782,0.04730692,0.88420139
-5.92796398,1.58233634,0.02181780,0.04499859,0.55013147,0.45090291,0.25344083,0.14480474,0.04832780,0.89392896
-5.92196098,1.61210554,0.02242322,0.04892796,0.56377460,0.44545322,0.25966233,0.15274804,0.04930954,0.90387372
-5.91595798,1.64305549,0.02300066,0.05315043,0.57863602,0.43882322,0.26634812,0.16161878,0.05023907,0.91398959
-5.90995498,1.67511230,0.02354805,0.05764051,0.59468689,0.43110019,0.27346276,0.17137417,0.05110632,0.92428747
-5.90395198,1.70827866,0.02406452,0.06236984,0.61191552,0.42242075,0.28097953,0.18196868,0.05190437,0.93483252
-5.89794897,1.74262719,0.02455036,0.06730755,0.63032329,0.41296497,0.28888029,0.19335490,0.05262952,0.94573861
-5.89194597,1.77829018,0.02500686,0.07242079,0.64991942,0.40294880,0.29715485,0.20548432,0.05328136,0.95716035
-5.88594297,1.81544650,0.02543616,0.07767521,0.67071479,0.39261527,0.30579977,0.21830789,0.05386260,0.96928313
-5.87993997,1.85430614,0.02584110,0.08303556,0.69271536,0.38222469,0.31481676,0.23177637,0.05437892,0.98231181
-5.87393697,1.89509346,0.02622497,0.08846623,0.71591551,0.37204462,0.32421081,0.24584042,0.05483874,0.99645859
-5.86793397,1.93802961,0.02659132,0.09393173,0.74029171,0.36233972,0.33398800,0.26045047,0.05525283,1.01193054
-5.86193097,1.98331505,0.02694378,0.09939724,0.76579698,0.35336212,0.34415328,0.27555638,0.05563397,1.02891748
-5.85592796,2.03111275,0.02728581,0.10482894,0.79235639,0.34534262,0.35470820,0.29110677,0.05599643,1.04758058
-5.84992496,2.08153276,0.02762052,0.11019435,0.81986393,0.33848295,0.36564867,0.30704827,0.05635545,1.06804220
-5.84392196,2.13461858,0.02795054,0.11546248,0.84818099,0.33294946,0.37696302,0.32332448,0.05672667,1.09037731
-5.83791896,2.19033604,0.02827782,0.12060396,0.87713653,0.32886825,0.38863022,0.33987500,0.05712549,1.11460679
-5.83191596,2.24856492,0.02860355,0.12559099,0.90652911,0.32632204,0.40061853,0.35663429,0.05756643,1.14069291
-5.82591296,2.30909381,0.02892804,0.13039728,0.93613057,0.32534864,0.41288459,0.37353077,0.05806251,1.16853708
-5.81990995,2.37161839,0.02925074,0.13499787,0.96569154,0.32594105,0.42537296,0.39048603,0.05862461,1.19797996
-5.81390695,2.43574338,0.02957014,0.13936900,0.99494822,0.32804919,0.43801625,0.40741441,0.05926088,1.22880397
-5.80790395,2.50098821,0.02988391,0.14348797,1.02363058,0.33158296,0.45073581,0.42422299,0.05997629,1.26073810
-5.80190095,2.56679634,0.03018887,0.14733305,1.05147129,0.33641660,0.46344297,0.44081202,0.06077217,1.29346489
-5.79589795,2.63254805,0.03048119,0.15088348,1.07821515,0.34239408,0.47604081,0.45707600,0.06164599,1.32662925
-5.78989495,2.69757636,0.03075646,0.15411958,1.10362870,0.34933528,0.48842644,0.47290527,0.06259118,1.35984894
-5.78389195,2.76118558,0.03100991,0.15702302,1.12750933,0.35704280,0.50049369,0.48818813,0.06359713,1.39272620
-5.77788894,2.82267181,0.03123659,0.15957719,1.14969359,0.36530898,0.51213600,0.50281359,0.06464942,1.42486022
-5.77188594,2.88134462,0.03143153,0.16176768,1.17006430,0.37392305,0.52324960,0.51667436,0.06573008,1.45585978
-5.76588294,2.93654906,0.03159001,0.16358292,1.18855602,0.38267807,0.53373660,0.52967025,0.06681813,1.48535568
-5.75987994,2.98768701,0.03170770,0.16501481,1.20515853,0.39137745,0.54350799,0.54171159,0.06789010,1.51301248
-5.75387694,3.03423691,0.03178089,0.16605942,1.21991829,0.39984077,0.55248635,0.55272260,0.06892081,1.53853890
-5.74787394,3.07577109,0.03180658,0.16671765,1.23293752,0.40790889,0.56060813,0.56264451,0.06988410,1.56169652
-5.74187094,3.11196970,0.03178269,0.16699581,1.24437117,0.41544800,0.56782543,0.57143825,0.07075365,1.58230653
-5.73586793,3.14263081,0.03170807,0.16690607,1.25442169,0.42235266,0.57410712,0.57908650,0.07150384,1.60025406
-5.72986493,3.16767616,0.03158259,0.16646673,1.26333200,0.42854768,0.57943935,0.58559515,0.07211051,1.61549016
-5.72386193,3.18715235,0.03140714,0.16570236,1.27137701,0.43398894,0.58382540,0.59099381,0.07255172,1.62803122
-5.71785893,3.20122768,0.03118361,0.16464363,1.27885406,0.43866305,0.58728484,0.59533568,0.07280841,1.63795618
-5.71185593,3.21018481,0.03091481,0.16332700,1.28607291,0.44258609,0.58985228,0.59869651,0.07286495,1.64540164
-5.70585293,3.21440989,0.03060440,0.16179420,1.29334581,0.44580143,0.59157554,0.60117293,0.07270958,1.65055517
-5.69984992,3.21437903,0.03025678,0.16009151,1.30097820,0.44837691,0.59251363,0.60288013,0.07233474,1.65364755
-5.69384692,3.21064273,0.02987695,0.15826896,1.30926057,0.45040147,0.59273456,0.60394917,0.07173725,1.65494409
-5.68784392,3.20380950,0.02947042,0.15637938,1.31846196,0.45198146,0.59231311,0.60452394,0.07091836,1.65473583
-5.68184092,3.19452956,0.02904310,0.15447751,1.32882550,0.45323687,0.59132881,0.60475808,0.06988379,1.65333098
-5.67583792,3.18347941,0.02860115,0.15261905,1.34056613,0.45429761,0.58986415,0.60481191,0.06864348,1.65104714
-5.66983492,3.17134812,0.02815094,0.15085984,1.35387071,0.45529999,0.58800318,0.60484963,0.06721148,1.64820461
-5.66383192,3.15882587,0.02769896,0.14925511,1.36890036,0.45638359,0.58583056,0.60503677,0.06560560,1.64512103
-5.65782891,3.14659508,0.02725178,0.14785884,1.38579488,0.45768855,0.58343095,0.60553803,0.06384708,1.64210763
-5.65182591,3.13532413,0.02681599,0.14672333,1.40467884,0.45935330,0.58088896,0.60651552,0.06196022,1.63946684
-5.64582291,3.12566353,0.02639819,0.14589885,1.42566889,0.46151285,0.57828931,0.60812734,0.05997196,1.63749146
-5.63981991,3.11824417,0.02600499,0.14543338,1.44888172,0.46429740,0.57571732,0.61052646,0.05791146,1.63646479
-5.63381691,3.11367701,0.02564294,0.14537248,1.47444193,0.46783134,0.57325952,0.61385979,0.05580960,1.63666164
-5.62781391,3.11255352,0.02531855,0.14575917,1.50248925,0.47223252,0.57100419,0.61826728,0.05369857,1.63834976
