energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.87270821,0.01467436,2.84242382,0.17718391,0.13822338,1.89258679,5.82585975,2.20703885
-5.99399700,7.93716184,0.01514480,2.88875137,0.17739890,0.13073099,1.88865486,5.87932234,2.26553220
-5.98799400,8.01536641,0.01563331,2.93958192,0.17756432,0.12376555,1.88906869,5.94726157,2.32432318
-5.98199100,8.10644406,0.01614329,2.99421968,0.17766845,0.11731824,1.89405150,6.02896761,2.38282109
-5.97598799,8.20937023,0.01667824,3.05187642,0.17771040,0.11137684,1.90382513,6.12356710,2.44039475
-5.96998499,8.32297576,0.01724147,3.11168199,0.17769933,0.10592707,1.91859834,6.23002629,2.49637917
-5.96398199,8.44594244,0.01783586,3.17269501,0.17765312,0.10095354,1.93855083,6.34714890,2.55008347
-5.95797899,8.57679412,0.01846358,3.23391408,0.17759660,0.09644038,1.96381394,6.47356992,2.60080013
-5.95197599,8.71388535,0.01912572,3.29428961,0.17755935,0.09237152,1.99444917,6.60774710,2.64781559
-5.94597299,8.85539012,0.01982211,3.35273660,0.17757350,0.08873071,2.03042603,6.74795232,2.69042240
-5.93996998,8.99929337,0.02055097,3.40814854,0.17767127,0.08550122,2.07160066,6.89226494,2.72793240
-5.93396698,9.14338751,0.02130874,3.45941244,0.17788283,0.08266539,2.11769688,7.03856930,2.75969085
-5.92796398,9.28527637,0.02208993,3.50542496,0.17823427,0.08020405,2.16829110,7.18455852,2.78509097
-5.92196098,9.42238807,0.02288706,3.54510957,0.17874588,0.07809586,2.22280243,7.32774622,2.80358828
-5.91595798,9.55199828,0.02369065,3.57743439,0.17943096,0.07631672,2.28048930,7.46548762,2.81471429
-5.90995498,9.67126425,0.02448934,3.60143045,0.18029498,0.07483923,2.34045301,7.59501060,2.81808883
-5.90395198,9.77726967,0.02527013,3.61620997,0.18133519,0.07363238,2.40164896,7.71345708,2.81343045
-5.89794897,9.86707940,0.02601864,3.62098411,0.18254074,0.07266139,2.46290531,7.81793414,2.80056449
-5.89194597,9.93780286,0.02671951,3.61507982,0.18389313,0.07188785,2.52294882,7.90557382,2.77942831
-5.88594297,9.98666376,0.02735686,3.59795521,0.18536701,0.07127011,2.58043673,7.97359987,2.75007354
-5.87993997,10.01107390,0.02791480,3.56921300,0.18693120,0.07076394,2.63399381,8.01939911,2.71266523
-5.87393697,10.00870794,0.02837793,3.52861160,0.18854986,0.07032341,2.68225278,8.04059490,2.66747789
-5.86793397,9.97757609,0.02873195,3.47607339,0.19018377,0.06990203,2.72389641,8.03511942,2.61488882
-5.86193097,9.91609162,0.02896411,3.41168996,0.19179149,0.06945398,2.75769957,8.00128196,2.55536886
-5.85592796,9.82312997,0.02906375,3.33572391,0.19333058,0.06893546,2.78256917,7.93782971,2.48947122
-5.84992496,9.69807678,0.02902269,3.24860715,0.19475856,0.06830607,2.79758027,7.84399846,2.41781869
-5.84392196,9.54086253,0.02883557,3.15093551,0.19603380,0.06753009,2.80200685,7.71955040,2.34108993
-5.83791896,9.35198181,0.02850007,3.04345980,0.19711627,0.06657767,2.79534573,7.56479698,2.26000538
-5.83191596,9.13249618,0.02801703,2.92707321,0.19796808,0.06542578,2.77733289,7.38060548,2.17531318
-5.82591296,8.88402018,0.02739049,2.80279554,0.19855395,0.06405895,2.74795134,7.16838846,2.08777563
-5.81990995,8.60869065,0.02662750,2.67175434,0.19884161,0.06246975,2.70743060,6.93007616,1.99815653
-5.81390695,8.30912037,0.02573801,2.53516353,0.19880214,0.06065882,2.65623777,6.66807272,1.90720967
-5.80790395,7.98833775,0.02473443,2.39429996,0.19841034,0.05863479,2.59506095,6.38519762,1.81566858
-5.80190095,7.64971457,0.02363135,2.25047859,0.19764503,0.05641372,2.52478574,6.08461483,1.72423767
-5.79589795,7.29688460,0.02244498,2.10502683,0.19648953,0.05401832,2.44646602,5.76975206,1.63358472
-5.78989495,6.93365592,0.02119273,1.95925899,0.19493203,0.05147697,2.36129043,5.44421352,1.54433469
-5.78389195,6.56392010,0.01989261,1.81445138,0.19296602,0.04882249,2.27054579,5.11168950,1.45706459
-5.77788894,6.19156148,0.01856281,1.67181889,0.19059073,0.04609083,2.17557908,4.77586605,1.37229954
-5.77188594,5.82036943,0.01722110,1.53249376,0.18781145,0.04331965,2.07775939,4.44033836,1.29050955
-5.76588294,5.45395655,0.01588447,1.39750714,0.18463975,0.04054692,1.97844105,4.10853049,1.21210717
-5.75987994,5.09568527,0.01456868,1.26777399,0.18109353,0.03780963,1.87892931,3.78362452,1.13744578
-5.75387694,4.74860481,0.01328797,1.14408169,0.17719688,0.03514251,1.78044947,3.46850083,1.06681856
-5.74787394,4.41540029,0.01205477,1.02708262,0.17297966,0.03257697,1.68412031,3.16569143,1.00045804
-5.74187094,4.09835496,0.01087955,0.91729086,0.16847690,0.03014024,1.59093249,2.87734688,0.93853643
-5.73586793,3.79932625,0.00977074,0.81508295,0.16372786,0.02785473,1.50173221,2.60521749,0.88116668
-5.72986493,3.51973571,0.00873468,0.72070249,0.15877500,0.02573754,1.41721057,2.35064822,0.82840448
-5.72386193,3.26057266,0.00777568,0.63426824,0.15366268,0.02380034,1.33789836,2.11458654,0.78025136
-5.71785893,3.02241056,0.00689616,0.55578534,0.14843584,0.02204932,1.26416642,1.89760209,0.73665882
-5.71185593,2.80543524,0.00609675,0.48515903,0.14313867,0.02048548,1.19623107,1.69991635,0.69753386
-5.70585293,2.60948333,0.00537651,0.42221030,0.13781326,0.01910500,1.13416429,1.52144054,0.66274570
-5.69984992,2.43408924,0.00473319,0.36669284,0.13249857,0.01789982,1.07790791,1.36181957,0.63213374
-5.69384692,2.27853881,0.00416339,0.31831059,0.12722946,0.01685829,1.02729138,1.22048009,0.60551671
-5.68784392,2.14192735,0.00366290,0.27673524,0.12203613,0.01596596,0.98205207,1.09668039,0.58270268
-5.68184092,2.02321997,0.00322683,0.24162314,0.11694386,0.01520634,0.94185744,0.98956017,0.56349971
-5.67583792,1.92131196,0.00284993,0.21263099,0.11197308,0.01456172,0.90632811,0.89818843,0.54772667
-5.66983492,1.83508683,0.00252677,0.18942979,0.10713985,0.01401399,0.87506091,0.82160766,0.53522388
-5.66383192,1.76346998,0.00225189,0.17171679,0.10245652,0.01354533,0.84765098,0.75887313,0.52586296
-5.65782891,1.70547595,0.00202002,0.15922492,0.09793284,0.01313893,0.82371218,0.70908600,0.51955531
-5.65182591,1.66024755,0.00182619,0.15172949,0.09357704,0.01277950,0.80289484,0.67141937,0.51625890
-5.64582291,1.62708532,0.00166581,0.14905217,0.08939720,0.01245384,0.78490031,0.64513690,0.51598260
-5.63981991,1.60546634,0.00153479,0.15106191,0.08540247,0.01215110,0.76949181,0.62960347,0.51878786
-5.63381691,1.59505166,0.00142959,0.15767302,0.08160431,0.01186312,0.75650109,0.62428818,0.52478730
-5.62781391,1.59568231,0.00134721,0.16884041,0.07801750,0.01158447,0.74583094,0.62875967,0.53414015
-5.62181091,1.60736402,0.00128523,0.18455224,0.07466089,0.01131253,0.73745350,0.64267469,0.54704447
-5.61580790,1.63024173,0.00124179,0.20482020,0.07155788,0.01104739,0.73140460,0.66576043,0.56372628
-5.60980490,1.66456506,0.00121558,0.22966788,0.06873653,0.01079167,0.72777475,0.69779194,0.58442612
-5.60380190,1.71064655,0.00120574,0.25911754,0.06622930,0.01055027,0.72669731,0.73856572,0.60938336
-5.59779890,1.76881492,0.00121188,0.29317598,0.06407241,0.01033007,0.72833457,0.78787101,0.63881903
-5.59179590,1.83936574,0.00123400,0.33181995,0.06230490,0.01013959,0.73286280,0.84546039,0.67291808
-5.58579290,1.92251221,0.00127241,0.37498191,0.06096739,0.00998859,0.74045697,0.91102112,0.71181167
-5.57978989,2.01833870,0.00132767,0.42253667,0.06010055,0.00988773,0.75127629,0.98414905,0.75556082
-5.57378689,2.12675973,0.00140056,0.47428972,0.05974347,0.00984816,0.76545124,1.06432657,0.80414200
-5.56778389,2.24748683,0.00149200,0.52996787,0.05993198,0.00988124,0.78307295,1.15090597,0.85743578
-5.56178089,2.38000525,0.00160298,0.58921281,0.06069685,0.00999816,0.80418558,1.24309944,0.91521920
-5.55577789,2.52356227,0.00173454,0.65157816,0.06206226,0.01020979,0.82878197,1.33997662,0.97716253
-5.54977489,2.67716803,0.00188771,0.71653040,0.06404428,0.01052641,0.85680295,1.44047023,1.04283076
-5.54377189,2.83960923,0.00206348,0.78345382,0.06664980,0.01095762,0.88814022,1.54338994,1.11169013
