energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.43818874,0.14958688,0.00000000,0.01276134,0.07227873,0.24879166,0.20483013
-5.99399700,1.57039596,0.16362473,0.00000000,0.01404893,0.07805805,0.27125689,0.22298026
-5.98799400,1.70342188,0.17779331,0.00000000,0.01536577,0.08374366,0.29381029,0.24114338
-5.98199100,1.83548021,0.19190956,0.00000000,0.01669677,0.08923760,0.31613888,0.25905804
-5.97598799,1.96467059,0.20577703,0.00000000,0.01802527,0.09444087,0.33791213,0.27645027
-5.96998499,2.08902117,0.21919013,0.00000000,0.01933327,0.09925593,0.35878951,0.29303990
-5.96398199,2.20653655,0.23193902,0.00000000,0.02060182,0.10358944,0.37842877,0.30854765
-5.95797899,2.31524963,0.24381497,0.00000000,0.02181149,0.10735495,0.39649502,0.32270261
-5.95197599,2.41327540,0.25461596,0.00000000,0.02294283,0.11047559,0.41266988,0.33524982
-5.94597299,2.49886454,0.26415236,0.00000000,0.02397684,0.11288646,0.42666065,0.34595777
-5.93996998,2.57045492,0.27225242,0.00000000,0.02489554,0.11453676,0.43820897,0.35462531
-5.93396698,2.62671853,0.27876738,0.00000000,0.02568249,0.11539151,0.44709855,0.36108783
-5.92796398,2.66660212,0.28357598,0.00000000,0.02632320,0.11543266,0.45316190,0.36522240
-5.92196098,2.68935973,0.28658822,0.00000000,0.02680567,0.11465980,0.45628538,0.36695154
-5.91595798,2.69457568,0.28774807,0.00000000,0.02712067,0.11309008,0.45641273,0.36624562
-5.90995498,2.68217704,0.28703522,0.00000000,0.02726211,0.11075772,0.45354664,0.36312367
-5.90395198,2.65243517,0.28446563,0.00000000,0.02722715,0.10771283,0.44774848,0.35765262
-5.89794897,2.60595619,0.28009096,0.00000000,0.02701639,0.10401976,0.43913611,0.34994497
-5.89194597,2.54366098,0.27399682,0.00000000,0.02663376,0.09975509,0.42787992,0.34015505
-5.88594297,2.46675556,0.26630000,0.00000000,0.02608648,0.09500518,0.41419733,0.32847409
-5.87993997,2.37669332,0.25714479,0.00000000,0.02538477,0.08986365,0.39834585,0.31512417
-5.87393697,2.27513064,0.24669853,0.00000000,0.02454158,0.08442866,0.38061517,0.30035151
-5.86793397,2.16387794,0.23514654,0.00000000,0.02357219,0.07880034,0.36131859,0.28441927
-5.86193097,2.04484811,0.22268679,0.00000000,0.02249373,0.07307829,0.34078403,0.26760021
-5.85592796,1.92000439,0.20952429,0.00000000,0.02132470,0.06735937,0.31934508,0.25016948
-5.84992496,1.79130980,0.19586566,0.00000000,0.02008445,0.06173577,0.29733250,0.23239778
-5.84392196,1.66067964,0.18191393,0.00000000,0.01879264,0.05629355,0.27506617,0.21454523
-5.83791896,1.52993895,0.16786373,0.00000000,0.01746875,0.05111147,0.25284817,0.19685601
-5.83191596,1.40078587,0.15389714,0.00000000,0.01613159,0.04626037,0.23095675,0.17955394
-5.82591296,1.27476191,0.14018016,0.00000000,0.01479889,0.04180281,0.20964171,0.16283914
-5.81990995,1.15322962,0.12686006,0.00000000,0.01348693,0.03779321,0.18912094,0.14688573
-5.81390695,1.03735777,0.11406342,0.00000000,0.01221028,0.03427817,0.16957834,0.13184060
-5.80790395,0.92811392,0.10189503,0.00000000,0.01098158,0.03129712,0.15116299,0.11782310
-5.80190095,0.82626374,0.09043758,0.00000000,0.00981138,0.02888308,0.13398949,0.10492564
-5.79589795,0.73237653,0.07975206,0.00000000,0.00870814,0.02706351,0.11813932,0.09321501
-5.78989495,0.64683590,0.06987871,0.00000000,0.00767823,0.02586120,0.10366308,0.08273432
-5.78389195,0.56985464,0.06083859,0.00000000,0.00672602,0.02529508,0.09058341,0.07350531
-5.77788894,0.50149270,0.05263553,0.00000000,0.00585403,0.02538092,0.07889847,0.06553101
-5.77188594,0.44167726,0.04525834,0.00000000,0.00506313,0.02613194,0.06858569,0.05879848
-5.76588294,0.39022388,0.03868328,0.00000000,0.00435275,0.02755918,0.05960576,0.05328159
-5.75987994,0.34685784,0.03287657,0.00000000,0.00372119,0.02967179,0.05190657,0.04894373
-5.75387694,0.31123507,0.02779689,0.00000000,0.00316584,0.03247714,0.04542712,0.04574030
-5.74787394,0.28296195,0.02339784,0.00000000,0.00268350,0.03598081,0.04010116,0.04362105
-5.74187094,0.26161375,0.01963024,0.00000000,0.00227066,0.04018657,0.03586066,0.04253213
-5.73586793,0.24675134,0.01644421,0.00000000,0.00192378,0.04509630,0.03263888,0.04241792
-5.72986493,0.23793618,0.01379109,0.00000000,0.00163956,0.05070999,0.03037308,0.04322265
-5.72386193,0.23474363,0.01162508,0.00000000,0.00141522,0.05702590,0.02900702,0.04489176
-5.71785893,0.23677462,0.00990468,0.00000000,0.00124873,0.06404079,0.02849289,0.04737318
-5.71185593,0.24366587,0.00859386,0.00000000,0.00113906,0.07175044,0.02879311,0.05061846
-5.70585293,0.25509882,0.00766303,0.00000000,0.00108639,0.08015031,0.02988167,0.05458374
-5.69984992,0.27080746,0.00708981,0.00000000,0.00109234,0.08923647,0.03174513,0.05923077
-5.69384692,0.29058501,0.00685955,0.00000000,0.00116013,0.09900663,0.03438340,0.06452772
-5.68784392,0.31428961,0.00696576,0.00000000,0.00129477,0.10946136,0.03781004,0.07045004
-5.68184092,0.34184873,0.00741024,0.00000000,0.00150321,0.12060522,0.04205231,0.07698112
-5.67583792,0.37326225,0.00820311,0.00000000,0.00179443,0.13244787,0.04715074,0.08411277
-5.66983492,0.40860386,0.00936267,0.00000000,0.00217957,0.14500489,0.05315829,0.09184557
-5.66383192,0.44802043,0.01091497,0.00000000,0.00267193,0.15829830,0.06013909,0.10018877
-5.65782891,0.49172886,0.01289331,0.00000000,0.00328695,0.17235645,0.06816652,0.10915995
-5.65182591,0.54001022,0.01533738,0.00000000,0.00404218,0.18721342,0.07732089,0.11878410
-5.64582291,0.59320049,0.01829227,0.00000000,0.00495704,0.20290760,0.08768643,0.12909226
-5.63981991,0.65167799,0.02180712,0.00000000,0.00605264,0.21947949,0.09934776,0.14011958
-5.63381691,0.71584707,0.02593359,0.00000000,0.00735137,0.23696877,0.11238586,0.15190280
-5.62781391,0.78611822,0.03072403,0.00000000,0.00887648,0.25541053,0.12687343,0.16447720
-5.62181091,0.86288494,0.03622936,0.00000000,0.01065151,0.27483096,0.14287007,0.17787313
-5.61580790,0.94649765,0.04249675,0.00000000,0.01269959,0.29524251,0.16041705,0.19211204
-5.60980490,1.03723560,0.04956714,0.00000000,0.01504270,0.31663878,0.17953211,0.20720249
-5.60380190,1.13527763,0.05747259,0.00000000,0.01770080,0.33898950,0.20020444,0.22313594
-5.59779890,1.24067299,0.06623358,0.00000000,0.02069094,0.36223578,0.22238996,0.23988286
-5.59179590,1.35331352,0.07585637,0.00000000,0.02402632,0.38628601,0.24600731,0.25738914
-5.58579290,1.47290883,0.08633055,0.00000000,0.02771542,0.41101271,0.27093471,0.27557326
-5.57978989,1.59896569,0.09762682,0.00000000,0.03176111,0.43625065,0.29700790,0.29432418
-5.57378689,1.73077327,0.10969517,0.00000000,0.03615998,0.46179640,0.32401953,0.31350042
-5.56778389,1.86739543,0.12246359,0.00000000,0.04090178,0.48740960,0.35171992,0.33293026
-5.56178089,2.00767111,0.13583743,0.00000000,0.04596913,0.51281595,0.37981962,0.35241329
-5.55577789,2.15022362,0.14969948,0.00000000,0.05133749,0.53771199,0.40799349,0.37172334
-5.54977489,2.29347915,0.16391077,0.00000000,0.05697545,0.56177152,0.43588655,0.39061274
-5.54377189,2.43569445,0.17831234,0.00000000,0.06284537,0.58465354,0.46312130,0.40881776
-5.53776888,2.57499317,0.19272771,0.00000000,0.06890445,0.60601142,0.48930646,0.42606522
-5.53176588,2.70940998,0.20696625,0.00000000,0.07510606,0.62550283,0.51404670,0.44207987
-5.52576288,2.83694086,0.22082722,0.00000000,0.08140148,0.64280028,0.53695323,0.45659234
-5.51975988,2.95559806,0.23410445,0.00000000,0.08774189,0.65760146,0.55765464,0.46934736
-5.51375688,3.06346740,0.24659142,0.00000000,0.09408058,0.66963932,0.57580777,0.48011182
-5.50775388,3.15876587,0.25808675,0.00000000,0.10037528,0.67869112,0.59110798,0.48868244
-5.50175088,3.23989690,0.26839957,0.00000000,0.10659049,0.68458620,0.60329856,0.49489261
-5.49574787,3.30550116,0.27735495,0.00000000,0.11269968,0.68721210,0.61217873,0.49861809
-5.48974487,3.35450058,0.28479886,0.00000000,0.11868729,0.68651873,0.61761004,0.49978145
-5.48374187,3.38613367,0.29060261,0.00000000,0.12455033,0.68252045,0.61952063,0.49835491
-5.47773887,3.39998060,0.29466655,0.00000000,0.13029946,0.67529593,0.61790754,0.49436147
-5.47173587,3.39597680,0.29692293,0.00000000,0.13595958,0.66498582,0.61283654,0.48787439
-5.46573287,3.37441466,0.29733768,0.00000000,0.14156970,0.65178838,0.60443984,0.47901491
-5.45972986,3.33593308,0.29591123,0.00000000,0.14718215,0.63595321,0.59291155,0.46794844
-5.45372686,3.28149541,0.29267816,0.00000000,0.15286116,0.61777339,0.57850127,0.45487926
-5.44772386,3.21235686,0.28770584,0.00000000,0.15868073,0.59757639,0.56150585,0.44004409
-5.44172086,3.13002261,0.28109212,0.00000000,0.16472212,0.57571407,0.54225997,0.42370471
-5.43571786,3.03619879,0.27296209,0.00000000,0.17107076,0.55255221,0.52112570,0.40614003
-5.42971486,2.93273817,0.26346416,0.00000000,0.17781314,0.52845999,0.49848161,0.38763778
-5.42371186,2.82158304,0.25276561,0.00000000,0.18503347,0.50379979,0.47471175,0.36848639
-5.41770885,2.70470767,0.24104772,0.00000000,0.19281066,0.47891769,0.45019508,0.34896712
-5.41170585,2.58406253,0.22850080,0.00000000,0.20121555,0.45413496,0.42529560,0.32934682
-5.40570285,2.46152261,0.21531922,0.00000000,0.21030878,0.42974085,0.40035356,0.30987169
-5.39969985,2.33884161,0.20169657,0.00000000,0.22013926,0.40598691,0.37567813,0.29076202
-5.39369685,2.21761353,0.18782126,0.00000000,0.23074350,0.38308293,0.35154154,0.27220816
