energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,3.23750976,0.46564879,2.98290686,0.01069396,0.05228683,0.00561883,0.10436935
-5.99399700,3.28830406,0.45490474,3.03893830,0.01045293,0.05199408,0.00613752,0.10238579
-5.98799400,3.35674897,0.44716906,3.11090332,0.01028466,0.05201904,0.00668230,0.10106968
-5.98199100,3.44084722,0.44228810,3.19691687,0.01018473,0.05233309,0.00724608,0.10037066
-5.97598799,3.53820270,0.44002058,3.29474214,0.01014670,0.05289789,0.00782071,0.10021988
-5.96998499,3.64609771,0.44004934,3.40186102,0.01016242,0.05366696,0.00839711,0.10053294
-5.96398199,3.76158052,0.44199539,3.51555356,0.01022241,0.05458738,0.00896557,0.10121335
-5.95797899,3.88156037,0.44543329,3.63298415,0.01031616,0.05560182,0.00951591,0.10215621
-5.95197599,4.00290698,0.44990766,3.75129175,0.01043260,0.05665055,0.01003786,0.10325210
-5.94597299,4.12255145,0.45494991,3.86768136,0.01056046,0.05767362,0.01052128,0.10439098
-5.93996998,4.23758504,0.46009475,3.97951350,0.01068873,0.05861291,0.01095654,0.10546602
-5.93396698,4.34535241,0.46489583,4.08438876,0.01080700,0.05941410,0.01133482,0.10637707
-5.92796398,4.44353604,0.46894001,4.18022423,0.01090586,0.06002853,0.01164841,0.10703389
-5.92196098,4.53022857,0.47185980,4.26531905,0.01097716,0.06041467,0.01189099,0.10735879
-5.91595798,4.60399040,0.47334359,4.33840631,0.01101431,0.06053945,0.01205789,0.10728876
-5.90995498,4.66389024,0.47314338,4.39868945,0.01101245,0.06037920,0.01214623,0.10677697
-5.90395198,4.70952690,0.47107988,4.44586142,0.01096853,0.05992014,0.01215506,0.10579362
-5.89794897,4.74103150,0.46704485,4.48010576,0.01088139,0.05915867,0.01208546,0.10432608
-5.89194597,4.75904996,0.46100079,4.50207953,0.01075169,0.05810117,0.01194049,0.10237850
-5.88594297,4.76470646,0.45297811,4.51287859,0.01058186,0.05676348,0.01172511,0.09997070
-5.87993997,4.75954933,0.44307003,4.51398670,0.01037585,0.05517009,0.01144608,0.09713666
-5.87393697,4.74548183,0.43142554,4.50721044,0.01013896,0.05335307,0.01111172,0.09392254
-5.86793397,4.72468053,0.41824085,4.49460273,0.00987759,0.05135074,0.01073170,0.09038436
-5.86193097,4.69950490,0.40374974,4.47837807,0.00959888,0.04920624,0.01031676,0.08658556
-5.85592796,4.67240195,0.38821327,4.46082317,0.00931047,0.04696604,0.00987842,0.08259440
-5.84992496,4.64580985,0.37190937,4.44420667,0.00902016,0.04467834,0.00942866,0.07848145
-5.84392196,4.62206472,0.35512267,4.43069169,0.00873560,0.04239163,0.00897965,0.07431720
-5.83791896,4.60331425,0.33813507,4.42225498,0.00846408,0.04015329,0.00854348,0.07016988
-5.83191596,4.59144188,0.32121728,4.42061581,0.00821223,0.03800835,0.00813193,0.06610364
-5.82591296,4.58800434,0.30462167,4.42717758,0.00798588,0.03599848,0.00775626,0.06217700
-5.81990995,4.59418506,0.28857666,4.44298440,0.00778993,0.03416119,0.00742712,0.05844183
-5.81390695,4.61076506,0.27328262,4.46869412,0.00762828,0.03252922,0.00715445,0.05494258
-5.80790395,4.63811219,0.25890948,4.50456892,0.00750381,0.03113026,0.00694743,0.05171600
-5.80190095,4.67618877,0.24559585,4.55048334,0.00741845,0.02998684,0.00681458,0.04879122
-5.79589795,4.72457706,0.23344961,4.60594922,0.00737323,0.02911648,0.00676382,0.04619008
-5.78989495,4.78252095,0.22254985,4.67015635,0.00736851,0.02853200,0.00680258,0.04392788
-5.78389195,4.84898186,0.21294975,4.74202657,0.00740412,0.02824204,0.00693801,0.04201417
-5.77788894,4.92270620,0.20468042,4.82027908,0.00747956,0.02825161,0.00717714,0.04045379
-5.77188594,5.00230120,0.19775521,4.90350385,0.00759429,0.02856285,0.00752712,0.03924801
-5.76588294,5.08631571,0.19217436,4.99023982,0.00774794,0.02917573,0.00799535,0.03839559
