energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
1.53376688,0.20838737,0.00324613,0.03614338,0.07003521,0.01614165,0.09077037,0.00324747,0.15960686,0.00000000
1.53976988,0.18570826,0.00333032,0.03059763,0.06151826,0.01571274,0.08133326,0.00279181,0.14018161,0.00000000
1.54577289,0.16902180,0.00357363,0.02592536,0.05468179,0.01594202,0.07478603,0.00241716,0.12439450,0.00000000
1.55177589,0.15813551,0.00398499,0.02206026,0.04949291,0.01682710,0.07102694,0.00211812,0.11212330,0.00000000
1.55777889,0.15289552,0.00457630,0.01893851,0.04592164,0.01837429,0.06997712,0.00188948,0.10324133,0.00000000
1.56378189,0.15318949,0.00536231,0.01650035,0.04394378,0.02059741,0.07158163,0.00172633,0.09762253,0.00000000
1.56978489,0.15894655,0.00636031,0.01469124,0.04354301,0.02351639,0.07580867,0.00162411,0.09514484,0.00000000
1.57578789,0.17013420,0.00758980,0.01346268,0.04471206,0.02715543,0.08264735,0.00157865,0.09569202,0.00000000
1.58179090,0.18675234,0.00907195,0.01277267,0.04745299,0.03154086,0.09210385,0.00158621,0.09915363,0.00000000
1.58779390,0.20882476,0.01082900,0.01258587,0.05177646,0.03669879,0.10419637,0.00164339,0.10542361,0.00000000
1.59379690,0.23638834,0.01288351,0.01287352,0.05770030,0.04265254,0.11894904,0.00174712,0.11439737,0.00000000
1.59979990,0.26948056,0.01525758,0.01361307,0.06524719,0.04941989,0.13638490,0.00189459,0.12596784,0.00000000
1.60580290,0.30812595,0.01797189,0.01478774,0.07444179,0.05701042,0.15651862,0.00208315,0.14002076,0.00000000
1.61180590,0.35232199,0.02104480,0.01638592,0.08530747,0.06542283,0.17934900,0.00231024,0.15642946,0.00000000
1.61780890,0.40202539,0.02449136,0.01840054,0.09786270,0.07464248,0.20485176,0.00257332,0.17504977,0.00000000
1.62381191,0.45713951,0.02832239,0.02082842,0.11211752,0.08463928,0.23297314,0.00286975,0.19571521,0.00000000
1.62981491,0.51750367,0.03254365,0.02366979,0.12807018,0.09536602,0.26362453,0.00319681,0.21823308,0.00000000
1.63581791,0.58288520,0.03715509,0.02692773,0.14570431,0.10675727,0.29667863,0.00355159,0.24238166,0.00000000
1.64182091,0.65297495,0.04215034,0.03060799,0.16498672,0.11872892,0.33196752,0.00393105,0.26790894,0.00000000
1.64782391,0.72738677,0.04751641,0.03471880,0.18586617,0.13117858,0.36928285,0.00433199,0.29453317,0.00000000
1.65382691,0.80566146,0.05323364,0.03927097,0.20827316,0.14398674,0.40837833,0.00475111,0.32194524,0.00000000
1.65982991,0.88727529,0.05927596,0.04427813,0.23212095,0.15701880,0.44897473,0.00518513,0.34981317,0.00000000
1.66583292,0.97165304,0.06561149,0.04975717,0.25730777,0.17012793,0.49076715,0.00563085,0.37778851,0.00000000
1.67183592,1.05818525,0.07220339,0.05572880,0.28372022,0.18315870,0.53343453,0.00608531,0.40551457,0.00000000
1.67783892,1.14624897,0.07901107,0.06221811,0.31123769,0.19595134,0.57665088,0.00654593,0.43263615,0.00000000
1.68384192,1.23523104,0.08599149,0.06925519,0.33973759,0.20834656,0.62009790,0.00701067,0.45881053,0.00000000
1.68984492,1.32455283,0.09310082,0.07687560,0.36910117,0.22019058,0.66347824,0.00747817,0.48371899,0.00000000
1.69584792,1.41369488,0.10029599,0.08512058,0.39921931,0.23134036,0.70652870,0.00794792,0.50707863,0.00000000
1.70185093,1.50222003,0.10753636,0.09403700,0.42999813,0.24166861,0.74903258,0.00842035,0.52865370,0.00000000
1.70785393,1.58979340,0.11478515,0.10367684,0.46136371,0.25106841,0.79083038,0.00889694,0.54826584,0.00000000
1.71385693,1.67619773,0.12201074,0.11409605,0.49326558,0.25945725,0.83182797,0.00938024,0.56580286,0.00000000
1.71985993,1.76134272,0.12918754,0.12535293,0.52567853,0.26678019,0.87200160,0.00987387,0.58122524,0.00000000
