energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.90634786,0.03098935,0.01312384,1.11905953,0.80750416,0.02397337,1.85046856,0.71356551,0.13662835
-5.99399700,2.90089000,0.02989064,0.01297585,1.11431212,0.80748394,0.02425174,1.84795936,0.71301081,0.13680694
-5.98799400,2.88442586,0.02870566,0.01278592,1.10584897,0.80404667,0.02447100,1.83856537,0.70959927,0.13645384
-5.98199100,2.85776621,0.02744872,0.01255940,1.09406711,0.79736044,0.02464032,1.82282232,0.70346422,0.13561444
-5.97598799,2.82204747,0.02613570,0.01230336,1.07948605,0.78768309,0.02477171,1.80147425,0.69481370,0.13435101
-5.96998499,2.77869910,0.02478348,0.01202632,1.06273358,0.77535412,0.02487987,1.77545245,0.68392466,0.13274099
-5.96398199,2.72939948,0.02340941,0.01173803,1.04452696,0.76078381,0.02498168,1.74584694,0.67113442,0.13087449
-5.95797899,2.67602188,0.02203079,0.01144915,1.02565021,0.74443973,0.02509583,1.71387139,0.65682990,0.12885131
-5.95197599,2.62057250,0.02066432,0.01117091,1.00692837,0.72683140,0.02524210,1.68082296,0.64143484,0.12677755
-5.94597299,2.56512320,0.01932574,0.01091470,0.98919947,0.70849371,0.02544079,1.64803850,0.62539577,0.12476186
-5.93996998,2.51174142,0.01802946,0.01069173,0.97328557,0.68996968,0.02571193,1.61684884,0.60916697,0.12291155
-5.93396698,2.46242004,0.01678825,0.01051260,0.95996364,0.67179327,0.02607458,1.58853309,0.59319541,0.12132874
-5.92796398,2.41901001,0.01561309,0.01038696,0.94993764,0.65447299,0.02654603,1.56427453,0.57790593,0.12010660
-5.92196098,2.38315832,0.01451304,0.01032315,0.94381283,0.63847690,0.02714117,1.54511997,0.56368741,0.11932595
-5.91595798,2.35625357,0.01349522,0.01032793,0.94207313,0.62421941,0.02787179,1.53194415,0.55088047,0.11905224
-5.90995498,2.33938138,0.01256483,0.01040618,0.94506270,0.61205050,0.02874610,1.52542039,0.53976705,0.11933315
-5.90395198,2.33329106,0.01172528,0.01056074,0.95297222,0.60224758,0.02976827,1.52599875,0.53056228,0.12019677
-5.89794897,2.33837473,0.01097831,0.01079229,0.96583057,0.59501021,0.03093818,1.53389238,0.52340893,0.12165059
-5.89194597,2.35465966,0.01032417,0.01109927,0.98350216,0.59045783,0.03225132,1.54907261,0.51837461,0.12368118
-5.88594297,2.38181375,0.00976186,0.01147793,1.00569021,0.58863025,0.03369878,1.57127281,0.51545164,0.12625470
