energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.11975686,0.73658463,0.34426579,0.00002078,0.46819169,0.00944848,0.19294312,0.17461660,0.02299569
-5.99399700,1.10069493,0.72535697,0.33610406,0.00002258,0.45834514,0.00945602,0.19206313,0.17864192,0.02178867
-5.98799400,1.08203747,0.71288059,0.32765304,0.00002579,0.44772937,0.00948028,0.19199455,0.18315108,0.02078613
-5.98199100,1.06364774,0.69912843,0.31891476,0.00003057,0.43637934,0.00953013,0.19264754,0.18794953,0.01997551
-5.97598799,1.04550285,0.68415072,0.30991758,0.00003715,0.42436567,0.00961538,0.19396277,0.19286529,0.01934793
-5.96998499,1.02769992,0.66807689,0.30071648,0.00004579,0.41179477,0.00974669,0.19591440,0.19775446,0.01889849
-5.96398199,1.01045871,0.65111536,0.29139275,0.00005683,0.39880808,0.00993537,0.19851191,0.20250593,0.01862645
-5.95797899,0.99412047,0.63355100,0.28205285,0.00007063,0.38558018,0.01019324,0.20180098,0.20704511,0.01853524
-5.95197599,0.97914293,0.61574035,0.27282642,0.00008762,0.37231596,0.01053236,0.20586295,0.21133658,0.01863239
-5.94597299,0.96609089,0.59810454,0.26386357,0.00010829,0.35924668,0.01096472,0.21081304,0.21538550,0.01892925
-5.93996998,0.95562278,0.58112012,0.25533125,0.00013315,0.34662503,0.01150192,0.21679716,0.21923757,0.01944060
-5.93396698,0.94847294,0.56530782,0.24740899,0.00016276,0.33471923,0.01215475,0.22398733,0.22297758,0.02018414
-5.92796398,0.94543006,0.55121953,0.24028390,0.00019770,0.32380632,0.01293278,0.23257571,0.22672643,0.02117977
-5.92196098,0.94731217,0.53942386,0.23414524,0.00023856,0.31416475,0.01384387,0.24276737,0.23063674,0.02244878
-5.91595798,0.95493865,0.53049048,0.22917847,0.00028592,0.30606652,0.01489376,0.25477196,0.23488701,0.02401288
-5.90995498,0.96910024,0.52497387,0.22555926,0.00034035,0.29976903,0.01608550,0.26879448,0.23967470,0.02589321
-5.90395198,0.99052776,0.52339674,0.22344735,0.00040235,0.29550696,0.01741909,0.28502542,0.24520824,0.02810912
-5.89794897,1.01986078,0.52623382,0.22298071,0.00047236,0.29348448,0.01889104,0.30363069,0.25169839,0.03067707
-5.89194597,1.05761724,0.53389647,0.22427014,0.00055074,0.29386790,0.02049408,0.32474168,0.25934926,0.03360940
-5.88594297,1.10416547,0.54671862,0.22739442,0.00063770,0.29677932,0.02221690,0.34844578,0.26834924,0.03691322
-5.87993997,1.15969959,0.56494473,0.23239641,0.00073334,0.30229131,0.02404407,0.37477806,0.27886243,0.04058930
-5.87393697,1.22421973,0.58872018,0.23928018,0.00083755,0.31042293,0.02595610,0.40371420,0.29102074,0.04463120
-5.86793397,1.29751798,0.61808455,0.24800925,0.00095007,0.32113746,0.02792958,0.43516541,0.30491719,0.04902449
-5.86193097,1.37917114,0.65296823,0.25850621,0.00107041,0.33434169,0.02993757,0.46897541,0.32060051,0.05374627
-5.85592796,1.46854079,0.69319271,0.27065370,0.00119791,0.34988714,0.03195010,0.50491993,0.33807164,0.05876494
-5.84992496,1.56478137,0.73847450,0.28429671,0.00133166,0.36757312,0.03393481,0.54270884,0.35728198,0.06404031
-5.84392196,1.66685597,0.78843293,0.29924629,0.00147057,0.38715162,0.03585777,0.58199096,0.37813369,0.06952396
