energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.41539034,0.04077974,0.02618295,0.35443115,0.16707637,0.01907371,0.57134231,0.20430381,1.25334587
-5.99399700,2.43985376,0.04212767,0.02793141,0.35768596,0.17338968,0.01978506,0.58046315,0.21012577,1.25395863
-5.98799400,2.47217824,0.04343933,0.02979462,0.36078841,0.18072241,0.02057656,0.59030597,0.21607870,1.26016047
-5.98199100,2.51086306,0.04471127,0.03173793,0.36367711,0.18903149,0.02142942,0.60074973,0.22209611,1.27087496
-5.97598799,2.55443225,0.04593920,0.03372380,0.36630774,0.19827053,0.02232436,0.61168188,0.22810637,1.28504922
-5.96998499,2.60144614,0.04711784,0.03571274,0.36865211,0.20839010,0.02324206,0.62299753,0.23403323,1.30166233
-5.96398199,2.65051270,0.04824069,0.03766429,0.37069693,0.21933793,0.02416357,0.63459850,0.23979658,1.31973364
-5.95797899,2.70029944,0.04930004,0.03953809,0.37244251,0.23105902,0.02507078,0.64639236,0.24531374,1.33833103
-5.95197599,2.74954610,0.05028702,0.04129503,0.37390139,0.24349575,0.02594679,0.65829178,0.25050112,1.35657942
-5.94597299,2.79707815,0.05119176,0.04289843,0.37509730,0.25658780,0.02677632,0.67021413,0.25527632,1.37366950
-5.93996998,2.84182114,0.05200368,0.04431516,0.37606419,0.27027207,0.02754596,0.68208163,0.25956058,1.38886672
-5.93396698,2.88281539,0.05271188,0.04551674,0.37684571,0.28448255,0.02824441,0.69382187,0.26328140,1.40152007
-5.92796398,2.91923044,0.05330559,0.04648028,0.37749485,0.29915007,0.02886263,0.70536885,0.26637540,1.41107064
-5.92196098,2.95037856,0.05377466,0.04718930,0.37807392,0.31420198,0.02939388,0.71666427,0.26879111,1.41705924
-5.91595798,2.97572642,0.05411006,0.04763435,0.37865465,0.32956189,0.02983371,0.72765904,0.27049157,1.41913286
-5.90995498,2.99490398,0.05430444,0.04781338,0.37931829,0.34514925,0.03017982,0.73831488,0.27145671,1.41704919
