energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-2.07403702,2.62572984,0.73075180,0.27473291,0.34679093,0.07168015,0.20938095,0.03084260,1.72792453
-2.06803402,2.61649528,0.72551944,0.27334164,0.34427217,0.07078600,0.20584543,0.03047227,1.72562867
-2.06203102,2.59500909,0.71693568,0.27047042,0.33980807,0.06941912,0.20153427,0.02993692,1.71564245
-2.05602801,2.56228005,0.70528479,0.26622529,0.33353534,0.06761144,0.19656418,0.02925496,1.69861722
-2.05002501,2.51950789,0.69089610,0.26073825,0.32562419,0.06540396,0.19105862,0.02844803,1.67532379
-2.04402201,2.46803934,0.67413271,0.25416251,0.31627231,0.06284543,0.18514402,0.02754033,1.64662337
-2.03801901,2.40932116,0.65537995,0.24666718,0.30569806,0.05999080,0.17894620,0.02655779,1.61343640
-2.03201601,2.34485212,0.63503386,0.23843167,0.29413338,0.05689942,0.17258716,0.02552718,1.57671088
-2.02601301,2.27613620,0.61349018,0.22963993,0.28181666,0.05363330,0.16618227,0.02447527,1.53739161
-2.02001001,2.20463889,0.59113443,0.22047502,0.26898585,0.05025526,0.15983798,0.02342803,1.49639154
-2.01400700,2.13174818,0.56833311,0.21111398,0.25587201,0.04682725,0.15365015,0.02240984,1.45456647
-2.00800400,2.05874176,0.54542662,0.20172335,0.24269371,0.04340877,0.14770292,0.02144285,1.41269398
-2.00200100,1.98676125,0.52272367,0.19245537,0.22965229,0.04005545,0.14206811,0.02054639,1.37145719
-1.99599800,1.91679398,0.50049750,0.18344509,0.21692805,0.03681793,0.13680525,0.01973664,1.33143367
-1.98999500,1.84966248,0.47898374,0.17480832,0.20467766,0.03374097,0.13196199,0.01902627,1.29308966
-1.98399200,1.78602127,0.45837977,0.16664047,0.19303247,0.03086280,0.12757493,0.01842438,1.25677926
-1.97798899,1.72636037,0.43884553,0.15901628,0.18209796,0.02821476,0.12367076,0.01793643,1.22274813
-1.97198599,1.67101459,0.42050528,0.15199019,0.17195396,0.02582120,0.12026762,0.01756444,1.19114116
-1.96598299,1.62017735,0.40345041,0.14559751,0.16265579,0.02369954,0.11737658,0.01730718,1.16201310
-1.95997999,1.57391784,0.38774267,0.13985598,0.15423587,0.02186053,0.11500312,0.01716048,1.13534143
-1.95397699,1.53220021,0.37341784,0.13476773,0.14670595,0.02030869,0.11314862,0.01711763,1.11104048
-1.94797399,1.49490348,0.36048946,0.13032150,0.14005954,0.01904280,0.11181171,0.01716980,1.08897577
-1.94197099,1.46184100,0.34895236,0.12649487,0.13427450,0.01805650,0.11098948,0.01730642,1.06897807
-1.93596798,1.43277858,0.33878606,0.12325652,0.12931572,0.01733884,0.11067845,0.01751569,1.05085614
-1.92996498,1.40745042,0.32995761,0.12056833,0.12513769,0.01687495,0.11087533,0.01778493,1.03440782
-1.92396198,1.38557240,0.32242400,0.11838721,0.12168680,0.01664658,0.11157748,0.01810095,1.01942911
-1.91795898,1.36685235,0.31613413,0.11666677,0.11890360,0.01663268,0.11278320,0.01845042,1.00572085
-1.91195598,1.35099742,0.31103018,0.11535861,0.11672459,0.01680990,0.11449168,0.01882013,0.99309330
-1.90595298,1.33771864,0.30704859,0.11441335,0.11508388,0.01715307,0.11670279,0.01919721,0.98136854
-1.89994997,1.32673299,0.30412065,0.11378145,0.11391451,0.01763566,0.11941661,0.01956937,0.97038096
-1.89394697,1.31776369,0.30217279,0.11341373,0.11314960,0.01823019,0.12263287,0.01992498,0.95997649
-1.88794397,1.31053900,0.30112679,0.11326177,0.11272316,0.01890861,0.12635016,0.02025324,0.95001064
-1.88194097,1.30479045,0.30089979,0.11327820,0.11257091,0.01964277,0.13056521,0.02054426,0.94034612
-1.87593797,1.30025090,0.30140449,0.11341689,0.11263085,0.02040475,0.13527204,0.02078914,0.93085039
-1.86993497,1.29665309,0.30254934,0.11363318,0.11284378,0.02116732,0.14046118,0.02098004,0.92139349
