energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.47707956,0.18689148,0.00000000,1.60724060,0.00000000,1.00678535,0.63757633
-5.99399700,2.34571723,0.17364057,0.00000000,1.52756726,0.00000000,0.96628882,0.59643327
-5.98799400,2.22354455,0.16170940,0.00000000,1.45295345,0.00000000,0.92834349,0.55818686
-5.98199100,2.11116868,0.15119987,0.00000000,1.38377283,0.00000000,0.89312373,0.52301869
-5.97598799,2.00903307,0.14218756,0.00000000,1.32031476,0.00000000,0.86077141,0.49105149
-5.96998499,1.91743027,0.13472236,0.00000000,1.26279109,0.00000000,0.83140023,0.46235432
-5.96398199,1.83651597,0.12882939,0.00000000,1.21134315,0.00000000,0.80509988,0.43694829
-5.95797899,1.76632302,0.12451022,0.00000000,1.16604842,0.00000000,0.78193969,0.41481250
-5.95197599,1.70677479,0.12174428,0.00000000,1.12692648,0.00000000,0.76197148,0.39588985
-5.94597299,1.65769714,0.12049035,0.00000000,1.09394376,0.00000000,0.74523150,0.38009253
-5.93996998,1.61882891,0.12068819,0.00000000,1.06701723,0.00000000,0.73174139,0.36730706
-5.93396698,1.58983073,0.12226035,0.00000000,1.04601687,0.00000000,0.72150829,0.35739876
-5.92796398,1.57029253,0.12511405,0.00000000,1.03076741,0.00000000,0.71452404,0.35021567
-5.92196098,1.55974003,0.12914328,0.00000000,1.02104924,0.00000000,0.71076383,0.34559206
-5.91595798,1.55764062,0.13423119,0.00000000,1.01659927,0.00000000,0.71018447,0.34335146
-5.90995498,1.56340928,0.14025259,0.00000000,1.01711183,0.00000000,0.71272237,0.34330944
-5.90395198,1.57641480,0.14707682,0.00000000,1.02224003,0.00000000,0.71829168,0.34527625
-5.89794897,1.59598679,0.15457076,0.00000000,1.03159800,0.00000000,0.72678265,0.34905923
-5.89194597,1.62142365,0.16260216,0.00000000,1.04476404,0.00000000,0.73806037,0.35446533
-5.88594297,1.65200166,0.17104296,0.00000000,1.06128496,0.00000000,0.75196412,0.36130352
-5.87993997,1.68698488,0.17977269,0.00000000,1.08068151,0.00000000,0.76830719,0.36938715
-5.87393697,1.72563593,0.18868173,0.00000000,1.10245486,0.00000000,0.78687754,0.37853632
-5.86793397,1.76722693,0.19767440,0.00000000,1.12609391,0.00000000,0.80743887,0.38858000
-5.86193097,1.81105029,0.20667146,0.00000000,1.15108308,0.00000000,0.82973238,0.39935788
-5.85592796,1.85642884,0.21561222,0.00000000,1.17691044,0.00000000,0.85347900,0.41072194
-5.84992496,1.90272458,0.22445578,0.00000000,1.20307559,0.00000000,0.87838198,0.42253738
-5.84392196,1.94934574,0.23318156,0.00000000,1.22909708,0.00000000,0.90412992,0.43468315
-5.83791896,1.99575169,0.24178882,0.00000000,1.25451909,0.00000000,0.93039993,0.44705170
-5.83191596,2.04145544,0.25029526,0.00000000,1.27891702,0.00000000,0.95686121,0.45954813
-5.82591296,2.08602373,0.25873470,0.00000000,1.30190193,0.00000000,0.98317870,0.47208879
-5.81990995,2.12907483,0.26715382,0.00000000,1.32312370,0.00000000,1.00901707,0.48459918
-5.81390695,2.17027431,0.27560821,0.00000000,1.34227307,0.00000000,1.03404493,0.49701155
-5.80790395,2.20932937,0.28415782,0.00000000,1.35908255,0.00000000,1.05793945,0.50926217
-5.80190095,2.24598229,0.29286203,0.00000000,1.37332658,0.00000000,1.08039125,0.52128860
-5.79589795,2.28000377,0.30177468,0.00000000,1.38482115,0.00000000,1.10110984,0.53302699
-5.78989495,2.31118684,0.31093915,0.00000000,1.39342316,0.00000000,1.11982936,0.54440990
