energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,0.61847707,0.00054243,0.03957405,0.16361744,0.11000155,0.00789090,0.30996197,0.00000000
-5.99399700,0.67417378,0.00063351,0.04317867,0.17902280,0.11960186,0.00983718,0.33786190,0.00000000
-5.98799400,0.73063584,0.00075438,0.04683808,0.19487640,0.12922801,0.01221136,0.36615701,0.00000000
-5.98199100,0.78737189,0.00090705,0.05052327,0.21108504,0.13877398,0.01507907,0.39460117,0.00000000
-5.97598799,0.84391317,0.00109408,0.05420666,0.22756441,0.14813585,0.01851240,0.42296020,0.00000000
-5.96998499,0.89983586,0.00131846,0.05786357,0.24424408,0.15721595,0.02258934,0.45102314,0.00000000
-5.96398199,0.95478405,0.00158350,0.06147367,0.26107246,0.16592718,0.02739296,0.47861370,0.00000000
-5.95797899,1.00849232,0.00189264,0.06502243,0.27802157,0.17419735,0.03301036,0.50560169,0.00000000
-5.95197599,1.06080678,0.00224934,0.06850241,0.29509117,0.18197325,0.03953147,0.53191362,0.00000000
-5.94597299,1.11170365,0.00265689,0.07191442,0.31231214,0.18922433,0.04704760,0.55754207,0.00000000
-5.93996998,1.16130410,0.00311828,0.07526831,0.32974875,0.19594580,0.05564992,0.58255332,0.00000000
-5.93396698,1.20988485,0.00363601,0.07858362,0.34749976,0.20216091,0.06542772,0.60709273,0.00000000
-5.92796398,1.25788340,0.00421194,0.08188972,0.36569810,0.20792240,0.07646674,0.63138760,0.00000000
-5.92196098,1.30589780,0.00484719,0.08522564,0.38450909,0.21331290,0.08884742,0.65574719,0.00000000
-5.91595798,1.35468041,0.00554192,0.08863947,0.40412732,0.21844431,0.10264327,0.68055983,0.00000000
-5.90995498,1.40512570,0.00629532,0.09218734,0.42477198,0.22345605,0.11791942,0.70628699,0.00000000
-5.90395198,1.45825237,0.00710546,0.09593201,0.44668105,0.22851232,0.13473131,0.73345450,0.00000000
-5.89794897,1.51518003,0.00796928,0.09994112,0.47010433,0.23379834,0.15312371,0.76264110,0.00000000
-5.89194597,1.57710119,0.00888257,0.10428508,0.49529564,0.23951575,0.17312997,0.79446455,0.00000000
-5.88594297,1.64524914,0.00984003,0.10903470,0.52250426,0.24587715,0.19477159,0.82956565,0.00000000
-5.87993997,1.72086266,0.01083532,0.11425865,0.55196614,0.25310011,0.21805811,0.86859067,0.00000000
-5.87393697,1.80514841,0.01186124,0.12002073,0.58389475,0.26140074,0.24298720,0.91217250,0.00000000
-5.86793397,1.89924196,0.01290981,0.12637713,0.61847221,0.27098693,0.26954495,0.96091109,0.00000000
-5.86193097,2.00416847,0.01397255,0.13337370,0.65584066,0.28205147,0.29770630,1.01535362,0.00000000
-5.85592796,2.12080402,0.01504061,0.14104331,0.69609419,0.29476535,0.32743548,1.07597488,0.00000000
-5.84992496,2.24983858,0.01610510,0.14940343,0.73927154,0.30927124,0.35868636,1.14315840,0.00000000
-5.84392196,2.39174172,0.01715726,0.15845396,0.78534974,0.32567738,0.39140273,1.21717887,0.00000000
-5.83791896,2.54673204,0.01818868,0.16817546,0.83423902,0.34405218,0.42551828,1.29818630,0.00000000
-5.83191596,2.71475149,0.01919158,0.17852775,0.88577893,0.36441949,0.46095641,1.38619254,0.00000000
-5.82591296,2.89544559,0.02015894,0.18944915,0.93973618,0.38675494,0.49762971,1.48106075,0.00000000
-5.81990995,3.08815064,0.02108466,0.20085623,0.99580423,0.41098326,0.53543924,1.58249819,0.00000000
-5.81390695,3.29188899,0.02196371,0.21264425,1.05360486,0.43697702,0.57427365,1.69005316,0.00000000
-5.80790395,3.50537310,0.02279219,0.22468837,1.11269197,0.46455664,0.61400815,1.80311619,0.00000000
-5.80190095,3.72701935,0.02356736,0.23684553,1.17255773,0.49349199,0.65450361,1.92092620,0.00000000
-5.79589795,3.95497181,0.02428769,0.24895713,1.23264115,0.52350553,0.69560574,2.04258165,0.00000000
-5.78989495,4.18713621,0.02495285,0.26085249,1.29233915,0.55427707,0.73714466,2.16705677,0.00000000
-5.78389195,4.42122372,0.02556365,0.27235292,1.35102005,0.58545007,0.77893486,2.29322290,0.00000000
-5.77788894,4.65480385,0.02612206,0.28327643,1.40803915,0.61663939,0.82077574,2.41987426,0.00000000
-5.77188594,4.88536494,0.02663120,0.29344285,1.46275622,0.64744037,0.86245274,2.54575770,0.00000000
-5.76588294,5.11038068,0.02709530,0.30267935,1.51455427,0.67743892,0.90373911,2.66960552,0.00000000
-5.75987994,5.32738009,0.02751974,0.31082599,1.56285900,0.70622232,0.94439826,2.79016996,0.00000000
-5.75387694,5.53401850,0.02791109,0.31774114,1.60715820,0.73339040,0.98418670,2.90625829,0.00000000
-5.74787394,5.72814625,0.02827722,0.32330664,1.64702022,0.75856665,1.02285724,3.01676674,0.00000000
-5.74187094,5.90787236,0.02862734,0.32743233,1.68211056,0.78140886,1.06016257,3.12071195,0.00000000
-5.73586793,6.07161985,0.02897215,0.33005976,1.71220575,0.80161880,1.09585875,3.21725815,0.00000000
-5.72986493,6.21817003,0.02932400,0.33116494,1.73720365,0.81895057,1.12970863,3.30573886,0.00000000
-5.72386193,6.34669348,0.02969695,0.33075990,1.75712940,0.83321726,1.16148485,3.38567196,0.00000000
-5.71785893,6.45676590,0.03010699,0.32889296,1.77213655,0.84429566,1.19097246,3.45676720,0.00000000
-5.71185593,6.54836800,0.03057209,0.32564769,1.78250297,0.85212871,1.21797085,3.51892578,0.00000000
-5.70585293,6.62186917,0.03111235,0.32114048,1.78862148,0.85672578,1.24229508,3.57223201,0.00000000
-5.69984992,6.67799595,0.03175002,0.31551688,1.79098549,0.85816068,1.26377662,3.61693754,0.00000000
-5.69384692,6.71778677,0.03250958,0.30894681,1.79017003,0.85656762,1.28226343,3.65343904,0.00000000
-5.68784392,6.74253552,0.03341774,0.30161881,1.78680904,0.85213524,1.29761975,3.68225064,0.00000000
-5.68184092,6.75372701,0.03450339,0.29373357,1.78156986,0.84509925,1.30972551,3.70397278,0.00000000
-5.67583792,6.75296790,0.03579760,0.28549709,1.77512609,0.83573380,1.31847574,3.71925936,0.00000000
-5.66983492,6.74191681,0.03733346,0.27711363,1.76813021,0.82434229,1.32378013,3.72878494,0.00000000
-5.66383192,6.72221736,0.03914604,0.26877890,1.76118720,0.81124787,1.32556293,3.73321422,0.00000000
-5.65782891,6.69543773,0.04127217,0.26067363,1.75483049,0.79678408,1.32376329,3.73317509,0.00000000
-5.65182591,6.66301952,0.04375030,0.25295796,1.74950147,0.78128612,1.31833629,3.72923714,0.00000000
