energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,4.48678333,0.03996025,0.55177028,1.77159407,1.35155221,0.52324702,0.00000000,0.08202546,2.28333793
-5.99399700,4.51140908,0.04073696,0.54875612,1.79006856,1.35321344,0.52528565,0.00000000,0.08357499,2.30441427
-5.98799400,4.53439361,0.04144023,0.54687821,1.80804967,1.35586014,0.52609610,0.00000000,0.08519099,2.32339244
-5.98199100,4.55616674,0.04206689,0.54616907,1.82565031,1.35961898,0.52578696,0.00000000,0.08686976,2.34048260
-5.97598799,4.57701335,0.04261455,0.54661887,1.84292972,1.36454025,0.52446820,0.00000000,0.08860401,2.35584646
-5.96998499,4.59704603,0.04308148,0.54817464,1.85988279,1.37059279,0.52224635,0.00000000,0.09038210,2.36958073
-5.96398199,4.61618634,0.04346648,0.55074102,1.87643243,1.37766206,0.51922045,0.00000000,0.09218762,2.38170448
-5.95797899,4.63415613,0.04376873,0.55418233,1.89242529,1.38555152,0.51547900,0.00000000,0.09399905,2.39215147
-5.95197599,4.65047992,0.04398773,0.55832622,1.90763148,1.39398748,0.51109798,0.00000000,0.09578980,2.40076786
-5.94597299,4.66449859,0.04412317,0.56296861,1.92174855,1.40262739,0.50614010,0.00000000,0.09752846,2.40731589
-5.93996998,4.67539427,0.04417496,0.56787995,1.93440970,1.41107129,0.50065526,0.00000000,0.09917940,2.41148322
-5.93396698,4.68222544,0.04414325,0.57281253,1.94519616,1.41887619,0.49468210,0.00000000,0.10070363,2.41289782
-5.92796398,4.68397074,0.04402846,0.57750874,1.95365324,1.42557277,0.48825057,0.00000000,0.10205988,2.41114756
-5.92196098,4.67957960,0.04383142,0.58170986,1.95930940,1.43068392,0.48138520,0.00000000,0.10320591,2.40580352
-5.91595798,4.66802713,0.04355353,0.58516521,1.96169761,1.43374420,0.47410895,0.00000000,0.10409999,2.39644592
-5.90995498,4.64837064,0.04319692,0.58764126,1.96037790,1.43431964,0.46644720,0.00000000,0.10470243,2.38269103
-5.90395198,4.61980485,0.04276467,0.58893035,1.95496013,1.43202689,0.45843174,0.00000000,0.10497715,2.36421790
-5.89794897,4.58171303,0.04226094,0.58885871,1.94512573,1.42655090,0.45010426,0.00000000,0.10489314,2.34079309
-5.89194597,4.53371114,0.04169122,0.58729347,1.93064739,1.41766038,0.44151932,0.00000000,0.10442580,2.31229223
-5.88594297,4.47568290,0.04106239,0.58414837,1.91140555,1.40522037,0.43274624,0.00000000,0.10355813,2.27871697
-5.87993997,4.40780344,0.04038284,0.57938785,1.88740088,1.38920115,0.42387010,0.00000000,0.10228159,2.24020646
-5.87393697,4.33055053,0.03966248,0.57302950,1.85876191,1.36968322,0.41499139,0.00000000,0.10059664,2.19704243
-5.86793397,4.24470221,0.03891262,0.56514455,1.82574735,1.34685803,0.40622448,0.00000000,0.09851304,2.14964768
-5.86193097,4.15132103,0.03814592,0.55585657,1.78874284,1.32102433,0.39769484,0.00000000,0.09604971,2.09857767
-5.85592796,4.05172529,0.03737609,0.54533825,1.74825216,1.29258026,0.38953524,0.00000000,0.09323431,2.04450568
-5.84992496,3.94744846,0.03661758,0.53380650,1.70488318,1.26201158,0.38188087,0.00000000,0.09010244,1.98820218
-5.84392196,3.84018873,0.03588526,0.52151588,1.65932912,1.22987636,0.37486390,0.00000000,0.08669665,1.93050920
-5.83791896,3.73175082,0.03519393,0.50875081,1.61234594,1.19678690,0.36860752,0.00000000,0.08306511,1.87231103
-5.83191596,3.62398274,0.03455791,0.49581674,1.56472685,1.16338955,0.36321992,0.00000000,0.07926017,1.81450258
-5.82591296,3.51871034,0.03399049,0.48303052,1.51727507,1.13034329,0.35878847,0.00000000,0.07533678,1.75795690
-5.81990995,3.41767260,0.03350356,0.47071054,1.47077607,1.09829795,0.35537448,0.00000000,0.07135090,1.70349334
-5.81390695,3.32246052,0.03310709,0.45916679,1.42597054,1.06787288,0.35300874,0.00000000,0.06735787,1.65184794
-5.80790395,3.23446224,0.03280879,0.44869126,1.38352930,1.03963703,0.35168823,0.00000000,0.06341090,1.60364726
-5.80190095,3.15481669,0.03261383,0.43954906,1.34403127,1.01409103,0.35137412,0.00000000,0.05955973,1.55938692
-5.79589795,3.08437755,0.03252461,0.43197045,1.30794533,0.99165204,0.35199129,0.00000000,0.05584938,1.51941574
-5.78989495,3.02368900,0.03254065,0.42614404,1.27561697,0.97264177,0.35342929,0.00000000,0.05231921,1.48392611
-5.78389195,2.97297382,0.03265867,0.42221144,1.24726005,0.95727811,0.35554502,0.00000000,0.04900218,1.45295094
-5.77788894,2.93213411,0.03287261,0.42026335,1.22295409,0.94567046,0.35816668,0.00000000,0.04592435,1.42636711
-5.77188594,2.90076423,0.03317399,0.42033732,1.20264692,0.93781888,0.36109924,0.00000000,0.04310470,1.40390524
-5.76588294,2.87817498,0.03355209,0.42241708,1.18616252,0.93361692,0.36413083,0.00000000,0.04055504,1.38516512
-5.75987994,2.86342765,0.03399449,0.42643353,1.17321350,0.93285783,0.36704012,0.00000000,0.03828035,1.36963597
-5.75387694,2.85537627,0.03448742,0.43226719,1.16341762,0.93524385,0.36960415,0.00000000,0.03627909,1.35672058
-5.74787394,2.85271601,0.03501629,0.43975213,1.15631739,0.94039813,0.37160633,0.00000000,0.03454388,1.34576214
-5.74187094,2.85403555,0.03556620,0.44868114,1.15140198,0.94787864,0.37284438,0.00000000,0.03306213,1.33607255
-5.73586793,2.85787134,0.03612239,0.45881200,1.14813024,0.95719376,0.37313775,0.00000000,0.03181687,1.32696103
-5.72986493,2.86276158,0.03667071,0.46987460,1.14595400,0.96781868,0.37233423,0.00000000,0.03078761,1.31776180
-5.72386193,2.86729785,0.03719802,0.48157881,1.14434067,0.97921228,0.37031560,0.00000000,0.02995122,1.30785985
-5.71785893,2.87017280,0.03769250,0.49362270,1.14279416,0.99083386,0.36700198,0.00000000,0.02928276,1.29671384
-5.71185593,2.87022225,0.03814389,0.50570093,1.14087350,1.00215910,0.36235480,0.00000000,0.02875639,1.28387540
-5.70585293,2.86646069,0.03854373,0.51751318,1.13820845,1.01269504,0.35637828,0.00000000,0.02834616,1.26900425
-5.69984992,2.85810916,0.03888539,0.52877210,1.13451168,1.02199341,0.34911943,0.00000000,0.02802672,1.25187895
-5.69384692,2.84461516,0.03916412,0.53921086,1.12958732,1.02966221,0.34066656,0.00000000,0.02777403,1.23240294
-5.68784392,2.82566434,0.03937706,0.54858979,1.12333557,1.03537507,0.33114645,0.00000000,0.02756594,1.21060618
-5.68184092,2.80118409,0.03952312,0.55670214,1.11575359,1.03887836,0.32072037,0.00000000,0.02738272,1.18664240
-5.67583792,2.77133939,0.03960285,0.56337867,1.10693286,1.03999590,0.30957897,0.00000000,0.02720748,1.16078249
-5.66983492,2.73652161,0.03961838,0.56849091,1.09705316,1.03863120,0.29793652,0.00000000,0.02702653,1.13340443
