energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.29714857,5.28527729,-6.81568594,0.18312230,-0.25652132,0.38380685,-0.41510558,0.90596561,-1.04020311,1.77820065,-2.54450454,0.09439889,-0.10771677,2.32190482,-2.64769757
0.30315158,5.28433028,-6.78402250,0.17271977,-0.23848643,0.39035196,-0.42684241,0.91338510,-1.03823182,1.75422390,-2.50344900,0.09409513,-0.10892250,2.36054072,-2.67428564
0.30915458,5.28827437,-6.75091002,0.16221112,-0.22096709,0.39666799,-0.43688770,0.92230880,-1.03667693,1.73173377,-2.46329899,0.09359567,-0.10971706,2.40279451,-2.69988487
0.31515758,5.29796255,-6.71488255,0.15172160,-0.20404854,0.40287422,-0.44507098,0.93271821,-1.03528321,1.71122027,-2.42372053,0.09294135,-0.11006888,2.44853843,-2.72360472
0.32116058,5.31370106,-6.67430594,0.14136214,-0.18779825,0.40907639,-0.45125465,0.94447985,-1.03374669,1.69298818,-2.38429041,0.09217261,-0.10995482,2.49736402,-2.74447944
0.32716358,5.33522258,-6.62745349,0.13122815,-0.17226756,0.41535773,-0.45533697,0.95734656,-1.03172753,1.67714761,-2.34452334,0.09132746,-0.10936082,2.54858093,-2.76150187
0.33316658,5.36168666,-6.57258319,0.12139907,-0.15749359,0.42177106,-0.45725403,0.97096420,-1.02886427,1.66361385,-2.30389985,0.09043957,-0.10828242,2.60122925,-2.77365911
0.33916958,5.39170747,-6.50801358,0.11193849,-0.14350109,0.42833251,-0.45698054,0.98488355,-1.02478885,1.65211613,-2.26189391,0.08953663,-0.10672477,2.65410495,-2.77996909
0.34517259,5.42340757,-6.43219543,0.10289489,-0.13030422,0.43501719,-0.45452938,0.99857689,-1.01914172,1.64221479,-2.21799905,0.08863916,-0.10470249,2.70579762,-2.77951631
0.35117559,5.45449530,-6.34377673,0.09430282,-0.11790826,0.44175710,-0.44995021,1.01145844,-1.01158663,1.63332593,-2.17175232,0.08775959,-0.10223908,2.75473902,-2.77148585
0.35717859,5.48236214,-6.24165927,0.08618435,-0.10631098,0.44844153,-0.44332700,1.02290781,-1.00182444,1.62475210,-2.12275521,0.08690191,-0.09936611,2.79926029,-2.75519418
0.36318159,5.50419556,-6.12504527,0.07855073,-0.09550396,0.45491994,-0.43477484,1.03229531,-0.98960559,1.61571763,-2.07069110,0.08606180,-0.09612226,2.83765546,-2.73011612
0.36918459,5.51710219,-5.99347324,0.07140416,-0.08547361,0.46100723,-0.42443621,1.03900802,-0.97474071,1.60540687,-2.01533908,0.08522710,-0.09255205,2.86824829,-2.69590680
0.37518759,5.51823549,-5.84684249,0.06473952,-0.07620195,0.46649123,-0.41247682,1.04247541,-0.95710913,1.59300346,-1.95658370,0.08437889,-0.08870464,2.88945957,-2.65241827
0.38119060,5.50492229,-5.68542624,0.05854597,-0.06766736,0.47114194,-0.39908130,1.04219333,-0.93666505,1.57772895,-1.89442105,0.08349276,-0.08463245,2.89987172,-2.59971011
0.38719360,5.47478246,-5.50987365,0.05280845,-0.05984506,0.47472224,-0.38444899,1.03774538,-0.91344118,1.55887903,-1.82896087,0.08254049,-0.08038987,2.89828786,-2.53805393
0.39319660,5.42583631,-5.32120114,0.04750894,-0.05270753,0.47699931,-0.36878986,1.02882071,-0.88754973,1.53585576,-1.76042533,0.08149189,-0.07603207,2.88378276,-2.46793167
0.39919960,5.35659532,-5.12077389,0.04262753,-0.04622496,0.47775642,-0.35232080,1.01522750,-0.85918094,1.50819467,-1.68914436,0.08031671,-0.07161389,2.85574339,-2.39002780
0.40520260,5.26613237,-4.91027831,0.03814328,-0.04036551,0.47680422,-0.33526233,0.99690171,-0.82859903,1.47558558,-1.61554820,0.07898653,-0.06718885,2.81389738,-2.30521578
0.41120560,5.15412879,-4.69168659,0.03403484,-0.03509569,0.47399122,-0.31783578,0.97391070,-0.79613592,1.43788645,-1.54015720,0.07747662,-0.06280846,2.75832840,-2.21453924
0.41720860,5.02089684,-4.46721442,0.03028094,-0.03038073,0.46921274,-0.30026094,0.94645181,-0.76218286,1.39513008,-1.46356953,0.07576748,-0.05852153,2.68947798,-2.11918849
0.42321161,4.86737729,-4.23927307,0.02686068,-0.02618489,0.46241799,-0.28275415,0.91484611,-0.72718033,1.34752347,-1.38644697,0.07384618,-0.05437385,2.60813395,-2.02047311
0.42921461,4.69511290,-4.01041722,0.02375377,-0.02247189,0.45361494,-0.26552682,0.87952774,-0.69160651,1.29544032,-1.30949924,0.07170735,-0.05040786,2.51540643,-1.91979150
0.43521761,4.50619994,-3.78328971,0.02094060,-0.01920532,0.44287271,-0.24878419,0.84102936,-0.65596475,1.23940720,-1.23346734,0.06935376,-0.04666254,2.41269267,-1.81859823
0.44122061,4.30322047,-3.56056470,0.01840233,-0.01634905,0.43032157,-0.23272438,0.79996468,-0.62077050,1.18008447,-1.15910616,0.06679655,-0.04317343,2.30163275,-1.71837027
0.44722361,4.08915913,-3.34489056,0.01612090,-0.01386759,0.41615034,-0.21753753,0.75700880,-0.58653793,1.11824274,-1.08716697,0.06405504,-0.03997264,2.18405811,-1.62057307
0.45322661,3.86730860,-3.13883389,0.01407905,-0.01172658,0.40060171,-0.20340503,0.71287717,-0.55376697,1.05473639,-1.01838004,0.06115619,-0.03708897,2.06193561,-1.52662746
0.45922961,3.64116808,-2.94482614,0.01226037,-0.00989307,0.38396538,-0.19049859,0.66830436,-0.52293087,0.99047519,-0.95343796,0.05813380,-0.03454799,1.93730930,-1.43787830
0.46523262,3.41433933,-2.76511403,0.01064931,-0.00833588,0.36656979,-0.17897941,0.62402316,-0.49446490,0.92639536,-0.89298000,0.05502735,-0.03237213,1.81224257,-1.35556592
0.47123562,3.19042451,-2.60171512,0.00923126,-0.00702587,0.34877252,-0.16899705,0.58074504,-0.46875632,0.86343136,-0.83757798,0.05188078,-0.03058068,1.68876282,-1.28080095
