energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.49790666,0.03811269,0.10517145,0.00248918,0.22791431,0.30151945,0.66146465
-5.99399700,1.45825845,0.03670551,0.10484644,0.00290559,0.21776058,0.29117586,0.64574134
-5.98799400,1.41904001,0.03512013,0.10448899,0.00342793,0.20836057,0.28145092,0.62930764
-5.98199100,1.38153405,0.03338493,0.10415060,0.00407403,0.19997890,0.27262758,0.61267389
-5.97598799,1.34704317,0.03153013,0.10388389,0.00486304,0.19287053,0.26497429,0.59637475
-5.96998499,1.31687006,0.02958698,0.10374211,0.00581518,0.18727771,0.25874157,0.58095969
-5.96398199,1.29229691,0.02758686,0.10377855,0.00695140,0.18342711,0.25415915,0.56698263
-5.95797899,1.27456372,0.02556052,0.10404601,0.00829293,0.18152686,0.25143346,0.55499098
-5.95197599,1.26484530,0.02353728,0.10459611,0.00986071,0.18176358,0.25074536,0.54551411
-5.94597299,1.26422700,0.02154442,0.10547849,0.01167475,0.18429916,0.25224792,0.53905132
-5.93996998,1.27367916,0.01960664,0.10673992,0.01375331,0.18926730,0.25606407,0.53605955
-5.93396698,1.29403045,0.01774564,0.10842313,0.01611209,0.19676976,0.26228407,0.53694093
-5.92796398,1.32594077,0.01597983,0.11056555,0.01876328,0.20687245,0.27096278,0.54203050
-5.92196098,1.36987413,0.01432419,0.11319791,0.02171459,0.21960131,0.28211658,0.55158438
-5.91595798,1.42607254,0.01279022,0.11634273,0.02496830,0.23493828,0.29572035,0.56576871
-5.90995498,1.49453204,0.01138602,0.12001270,0.02852036,0.25281749,0.31170434,0.58464988
-5.90395198,1.57498205,0.01011647,0.12420921,0.03235954,0.27312199,0.32995140,0.60818636
-5.89794897,1.66686950,0.00898346,0.12892095,0.03646677,0.29568132,0.35029480,0.63622274
-5.89194597,1.76934903,0.00798623,0.13412272,0.04081466,0.32027009,0.37251690,0.66848624
-5.88594297,1.88128067,0.00712170,0.13977465,0.04536726,0.34660808,0.39634903,0.70458636
-5.87993997,2.00123614,0.00638485,0.14582177,0.05008011,0.37436193,0.42147289,0.74401777
-5.87393697,2.12751451,0.00576912,0.15219415,0.05490063,0.40314865,0.44752365,0.78616685
-5.86793397,2.25816799,0.00526675,0.15880760,0.05976877,0.43254120,0.47409505,0.83032191
-5.86193097,2.39103762,0.00486918,0.16556495,0.06461812,0.46207598,0.50074632,0.87568718
-5.85592796,2.52379863,0.00456734,0.17235796,0.06937725,0.49126228,0.52701121,0.92140017
-5.84992496,2.65401454,0.00435194,0.17906985,0.07397138,0.51959339,0.55240864,0.96655221
-5.84392196,2.77919835,0.00421378,0.18557829,0.07832431,0.54655918,0.57645494,1.01021152
-5.83791896,2.89687912,0.00414388,0.19175884,0.08236051,0.57165967,0.59867714,1.05144811
-5.83191596,3.00467145,0.00413374,0.19748867,0.08600736,0.59441905,0.61862686,1.08935971
-5.82591296,3.10034537,0.00417545,0.20265046,0.08919734,0.61439979,0.63589423,1.12309761
-5.81990995,3.18189375,0.00426181,0.20713629,0.09187022,0.63121600,0.65012134,1.15189176
-5.81390695,3.24759466,0.00438645,0.21085129,0.09397501,0.64454577,0.66101449,1.17507373
-5.80790395,3.29606576,0.00454389,0.21371708,0.09547173,0.65414162,0.66835472,1.19209691
-5.80190095,3.32630869,0.00472964,0.21567458,0.09633278,0.65983890,0.67200618,1.20255293
-5.79589795,3.33774129,0.00494023,0.21668635,0.09654394,0.66156148,0.67192185,1.20618373
-5.78989495,3.33021639,0.00517332,0.21673809,0.09610495,0.65932470,0.66814635,1.20288872
