energy_ev,total_up,Ge_p_up,Ge_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,0.61563107,0.16172980,0.00000000,0.09239418,0.46750787,0.09702077,0.00000000
-5.99399700,0.59239356,0.15874521,0.00000000,0.08877449,0.45071564,0.09279733,0.00000000
-5.98799400,0.57413267,0.15561137,0.00000000,0.08574330,0.43748328,0.08982003,0.00000000
-5.98199100,0.56111677,0.15233578,0.00000000,0.08331097,0.42801391,0.08815103,0.00000000
-5.97598799,0.55359947,0.14893554,0.00000000,0.08149245,0.42249336,0.08785576,0.00000000
-5.96998499,0.55181936,0.14543730,0.00000000,0.08030667,0.42108997,0.08900336,0.00000000
-5.96398199,0.55599867,0.14187720,0.00000000,0.07977588,0.42395367,0.09166683,0.00000000
-5.95797899,0.56634076,0.13830061,0.00000000,0.07992479,0.43121422,0.09592282,0.00000000
-5.95197599,0.58302608,0.13476158,0.00000000,0.08077970,0.44297840,0.10185082,0.00000000
-5.94597299,0.60620669,0.13132212,0.00000000,0.08236746,0.45932618,0.10953194,0.00000000
-5.93996998,0.63599944,0.12805115,0.00000000,0.08471443,0.48030597,0.11904706,0.00000000
-5.93396698,0.67247785,0.12502314,0.00000000,0.08784533,0.50592914,0.13047450,0.00000000
-5.92796398,0.71566326,0.12231650,0.00000000,0.09178216,0.53616404,0.14388717,0.00000000
-5.92196098,0.76551563,0.12001158,0.00000000,0.09654308,0.57093000,0.15934934,0.00000000
-5.91595798,0.82192443,0.11818854,0.00000000,0.10214140,0.61009157,0.17691309,0.00000000
-5.90995498,0.88470032,0.11692488,0.00000000,0.10858478,0.65345358,0.19661457,0.00000000
-5.90395198,0.95356820,0.11629292,0.00000000,0.11587449,0.70075734,0.21847031,0.00000000
-5.89794897,1.02816207,0.11635725,0.00000000,0.12400497,0.75167842,0.24247353,0.00000000
-5.89194597,1.10802233,0.11717213,0.00000000,0.13296360,0.80582636,0.26859084,0.00000000
-5.88594297,1.19259582,0.11877912,0.00000000,0.14273071,0.86274655,0.29675932,0.00000000
-5.87993997,1.28123879,0.12120489,0.00000000,0.15327985,0.92192430,0.32688426,0.00000000
-5.87393697,1.37322309,0.12445944,0.00000000,0.16457826,0.98279128,0.35883748,0.00000000
-5.86793397,1.46774525,0.12853467,0.00000000,0.17658748,1.04473409,0.39245658,0.00000000
-5.86193097,1.56393842,0.13340354,0.00000000,0.18926405,1.10710480,0.42754502,0.00000000
-5.85592796,1.66088672,0.13901970,0.00000000,0.20256026,1.16923298,0.46387303,0.00000000
-5.84992496,1.75764148,0.14531776,0.00000000,0.21642482,1.23043902,0.50117953,0.00000000
-5.84392196,1.85323873,0.15221419,0.00000000,0.23080332,1.29004797,0.53917481,0.00000000
-5.83791896,1.94671743,0.15960870,0.00000000,0.24563854,1.34740355,0.57754403,0.00000000
-5.83191596,2.03713748,0.16738627,0.00000000,0.26087040,1.40188173,0.61595138,0.00000000
-5.82591296,2.12359707,0.17541962,0.00000000,0.27643564,1.45290337,0.65404483,0.00000000
-5.81990995,2.20524864,0.18357206,0.00000000,0.29226711,1.49994542,0.69146121,0.00000000
-5.81390695,2.28131290,0.19170065,0.00000000,0.30829280,1.54255036,0.72783165,0.00000000
-5.80790395,2.35109060,0.19965960,0.00000000,0.32443457,1.58033358,0.76278712,0.00000000
-5.80190095,2.41397161,0.20730364,0.00000000,0.34060676,1.61298849,0.79596391,0.00000000
-5.79589795,2.46944130,0.21449145,0.00000000,0.35671480,1.64028926,0.82700909,0.00000000
-5.78989495,2.51708427,0.22108890,0.00000000,0.37265386,1.66209136,0.85558569,0.00000000
-5.78389195,2.55658537,0.22697199,0.00000000,0.38830789,1.67832988,0.88137762,0.00000000
-5.77788894,2.58772846,0.23202951,0.00000000,0.40354899,1.68901588,0.90409424,0.00000000
-5.77188594,2.61039321,0.23616531,0.00000000,0.41823753,1.69423122,0.92347459,0.00000000
-5.76588294,2.62455024,0.23929998,0.00000000,0.43222281,1.69412185,0.93929122,0.00000000
-5.75987994,2.63025516,0.24137223,0.00000000,0.44534474,1.68889033,0.95135362,0.00000000
-5.75387694,2.62764183,0.24233957,0.00000000,0.45743617,1.67878756,0.95951125,0.00000000
-5.74787394,2.61691530,0.24217869,0.00000000,0.46832625,1.66410425,0.96365617,0.00000000
-5.74187094,2.59834468,0.24088524,0.00000000,0.47784442,1.64516251,0.96372525,0.00000000
-5.73586793,2.57225630,0.23847322,0.00000000,0.48582509,1.62230755,0.95970182,0.00000000
-5.72986493,2.53902724,0.23497404,0.00000000,0.49211276,1.59590009,0.95161690,0.00000000
-5.72386193,2.49907945,0.23043521,0.00000000,0.49656740,1.56630929,0.93954979,0.00000000
-5.71785893,2.45287433,0.22491874,0.00000000,0.49906969,1.53390667,0.92362794,0.00000000
-5.71185593,2.40090793,0.21849944,0.00000000,0.49952608,1.49906085,0.90402615,0.00000000
-5.70585293,2.34370648,0.21126292,0.00000000,0.49787316,1.46213332,0.88096490,0.00000000
-5.69984992,2.28182233,0.20330365,0.00000000,0.49408127,1.42347518,0.85470780,0.00000000
-5.69384692,2.21583005,0.19472282,0.00000000,0.48815701,1.38342482,0.82555815,0.00000000
-5.68784392,2.14632257,0.18562630,0.00000000,0.48014463,1.34230660,0.79385452,0.00000000
-5.68184092,2.07390733,0.17612258,0.00000000,0.47012604,1.30043020,0.75996555,0.00000000
-5.67583792,1.99920226,0.16632082,0.00000000,0.45821958,1.25809090,0.72428384,0.00000000
-5.66983492,1.92283154,0.15632892,0.00000000,0.44457741,1.21557028,0.68721931,0.00000000
-5.66383192,1.84542119,0.14625180,0.00000000,0.42938185,1.17313743,0.64919192,0.00000000
-5.65782891,1.76759434,0.13618978,0.00000000,0.41284064,1.13105046,0.61062419,0.00000000
-5.65182591,1.68996632,0.12623713,0.00000000,0.39518144,1.08955799,0.57193363,0.00000000
-5.64582291,1.61313941,0.11648088,0.00000000,0.37664581,1.04890062,0.53352530,0.00000000
-5.63981991,1.53769757,0.10699971,0.00000000,0.35748291,1.00931198,0.49578479,0.00000000
-5.63381691,1.46420084,0.09786319,0.00000000,0.33794319,0.97101939,0.45907183,0.00000000
-5.62781391,1.39317977,0.08913117,0.00000000,0.31827240,0.93424375,0.42371469,0.00000000
-5.62181091,1.32512971,0.08085342,0.00000000,0.29870597,0.89919870,0.39000559,0.00000000
-5.61580790,1.26050514,0.07306951,0.00000000,0.27946417,0.86608890,0.35819715,0.00000000
-5.60980490,1.19971410,0.06580885,0.00000000,0.26074802,0.83510746,0.32850000,0.00000000
-5.60380190,1.14311281,0.05909104,0.00000000,0.24273606,0.80643251,0.30108153,0.00000000
-5.59779890,1.09100055,0.05292629,0.00000000,0.22558215,0.78022308,0.27606580,0.00000000
-5.59179590,1.04361502,0.04731604,0.00000000,0.20941413,0.75661449,0.25353440,0.00000000
-5.58579290,1.00112835,0.04225377,0.00000000,0.19433337,0.73571339,0.23352831,0.00000000
-5.57978989,0.96364381,0.03772578,0.00000000,0.18041510,0.71759289,0.21605043,0.00000000
-5.57378689,0.93119353,0.03371216,0.00000000,0.16770949,0.70228797,0.20106878,0.00000000
-5.56778389,0.90373741,0.03018776,0.00000000,0.15624315,0.68979155,0.18852012,0.00000000
