energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.22726914,0.00696055,1.15159905,0.92878568,0.21312587,2.98279928,2.40612505,0.08419650,1.65060394
-5.99399700,6.20398641,0.00715091,1.12703933,0.92069430,0.21934409,2.94794349,2.37629974,0.08806656,1.66950603
-5.98799400,6.18703053,0.00736085,1.10487799,0.91112301,0.22578510,2.91156225,2.35160123,0.09196382,1.68834443
-5.98199100,6.17495504,0.00758487,1.08482431,0.90018634,0.23238317,2.87372208,2.33127493,0.09585445,1.70677240
-5.97598799,6.16663536,0.00781765,1.06665566,0.88803718,0.23908395,2.83463236,2.31472146,0.09970586,1.72449893
-5.96998499,6.16128032,0.00805426,1.05021766,0.87486243,0.24584641,2.79463402,2.30150029,0.10348728,1.74129625
-5.96398199,6.15843438,0.00829028,1.03542249,0.86087804,0.25264432,2.75418426,2.29132856,0.10717047,1.75700592
-5.95797899,6.15797105,0.00852197,1.02224564,0.84632368,0.25946720,2.71383807,2.28407564,0.11073022,1.77154324
-5.95197599,6.16007767,0.00874644,1.01072118,0.83145707,0.26632071,2.67422725,2.27975378,0.11414486,1.78489967
-5.94597299,6.16523210,0.00896167,1.00093593,0.81654821,0.27322634,2.63603750,2.27850509,0.11739654,1.79714308
-5.93996998,6.17417153,0.00916661,0.99302238,0.80187344,0.28022044,2.59998440,2.28058554,0.12047154,1.80841553
-5.93396698,6.18785405,0.00936114,0.98715075,0.78770954,0.28735267,2.56678903,2.28634607,0.12336026,1.81892851
-5.92796398,6.20741354,0.00954610,0.98352011,0.77432783,0.29468367,2.53715359,2.29621148,0.12605719,1.82895540
-5.92196098,6.23410880,0.00972311,0.98234888,0.76198842,0.30228229,2.51173809,2.31065743,0.12856065,1.83882144
-5.91595798,6.26926775,0.00989451,0.98386469,0.75093460,0.31022216,2.49113828,2.33018601,0.13087245,1.84889109
-5.90995498,6.31422821,0.01006317,0.98829382,0.74138755,0.31857799,2.47586573,2.35530046,0.13299734,1.85955333
-5.90395198,6.37027633,0.01023227,0.99585045,0.73354133,0.32742145,2.46633026,2.38647955,0.13494246,1.87120507
-5.89794897,6.43858448,0.01040513,1.00672585,0.72755835,0.33681699,2.46282531,2.42415207,0.13671661,1.88423341
-5.89194597,6.52015017,0.01058493,1.02107778,0.72356535,0.34681755,2.46551646,2.46867217,0.13832958,1.89899719
-5.88594297,6.61573771,0.01077452,1.03902032,0.72165004,0.35746051,2.47443333,2.52029598,0.13979136,1.91580862
-5.87993997,6.72582446,0.01097616,1.06061438,0.72185846,0.36876388,2.48946505,2.57916011,0.14111144,1.93491558
-5.87393697,6.85055337,0.01119137,1.08585922,0.72419311,0.38072290,2.51035921,2.64526273,0.14229816,1.95648547
-5.86793397,6.98969351,0.01142074,1.11468512,0.72861210,0.39330737,2.53672437,2.71844753,0.14335808,1.98059118
-5.86193097,7.14261006,0.01166381,1.14694763,0.73502911,0.40645953,2.56803580,2.79839149,0.14429550,2.00719986
-5.85592796,7.30824537,0.01191901,1.18242348,0.74331454,0.42009290,2.60364442,2.88459655,0.14511204,2.03616507
-5.84992496,7.48511203,0.01218361,1.22080862,0.75329750,0.43409203,2.64278867,2.97638612,0.14580644,2.06722272
-5.84392196,7.67129925,0.01245377,1.26171837,0.76476900,0.44831323,2.68460892,3.07290654,0.14637442,2.09999121
-5.83791896,7.86449291,0.01272462,1.30469010,0.77748608,0.46258631,2.72816435,3.17313411,0.14680867,2.13397591
-5.83191596,8.06200994,0.01299041,1.34918848,0.79117684,0.47671745,2.77245177,3.27588788,0.14709907,2.16857796
