energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.39223959,0.01001706,1.00793867,0.00120261,0.44059608,0.57723171,0.90887438
-5.99399700,2.48585957,0.00994032,1.05133979,0.00142712,0.45672098,0.60344867,0.95182112
-5.98799400,2.57482735,0.00983425,1.09357892,0.00169923,0.47142573,0.62873435,0.99378275
-5.98199100,2.65840646,0.00970376,1.13437102,0.00202487,0.48452360,0.65286555,1.03442773
-5.97598799,2.73590906,0.00955415,1.17343386,0.00241020,0.49584748,0.67562101,1.07342285
-5.96998499,2.80671156,0.00939099,1.21049291,0.00286154,0.50525469,0.69678580,1.11043928
-5.96398199,2.87026985,0.00921996,1.24528649,0.00338513,0.51263148,0.71615606,1.14515921
-5.95797899,2.92613345,0.00904679,1.27757124,0.00398696,0.51789697,0.73354388,1.17728266
-5.95197599,2.97395757,0.00887706,1.30712721,0.00467249,0.52100617,0.74878205,1.20653434
-5.94597299,3.01351229,0.00871608,1.33376265,0.00544640,0.52195207,0.76172851,1.23266997
-5.93996998,3.04468806,0.00856879,1.35731780,0.00631225,0.52076648,0.77227030,1.25548187
-5.93396698,3.06749690,0.00843959,1.37766762,0.00727217,0.51751957,0.78032664,1.27480346
-5.92796398,3.08206899,0.00833223,1.39472318,0.00832655,0.51231812,0.78585110,1.29051232
-5.92196098,3.08864452,0.00824972,1.40843152,0.00947371,0.50530241,0.78883271,1.30253175
-5.91595798,3.08756109,0.00819419,1.41877398,0.01070965,0.49664194,0.78929582,1.31083056
-5.90995498,3.07923710,0.00816681,1.42576316,0.01202783,0.48653014,0.78729886,1.31542132
-5.90395198,3.06415221,0.00816776,1.42943863,0.01341896,0.47517829,0.78293196,1.31635693
-5.89794897,3.04282560,0.00819616,1.42986166,0.01487097,0.46280890,0.77631361,1.31372603
-5.89194597,3.01579370,0.00825008,1.42710954,0.01636902,0.44964901,0.76758646,1.30764737
-5.88594297,2.98358833,0.00832656,1.42126974,0.01789563,0.43592351,0.75691270,1.29826358
-5.87993997,2.94671686,0.00842167,1.41243446,0.01943089,0.42184896,0.74446896,1.28573480
-5.87393697,2.90564548,0.00853062,1.40069597,0.02095287,0.40762806,0.73044130,1.27023254
-5.86793397,2.86078642,0.00864787,1.38614316,0.02243804,0.39344514,0.71502034,1.25193418
-5.86193097,2.81249011,0.00876734,1.36885944,0.02386187,0.37946260,0.69839681,1.23101845
-5.85592796,2.76104223,0.00888255,1.34892234,0.02519947,0.36581863,0.68075767,1.20766205
-5.84992496,2.70666599,0.00898688,1.32640460,0.02642629,0.35262598,0.66228299,1.18203763
-5.84392196,2.64952888,0.00907379,1.30137683,0.02751887,0.33997194,0.64314347,1.15431303
-5.83791896,2.58975346,0.00913700,1.27391129,0.02845558,0.32791919,0.62349881,1.12465177
-5.83191596,2.52743092,0.00917077,1.24408663,0.02921732,0.31650754,0.60349668,1.09321452
-5.82591296,2.46263637,0.00917011,1.21199300,0.02978818,0.30575620,0.58327231,1.06016126
-5.81990995,2.39544454,0.00913088,1.17773705,0.03015598,0.29566644,0.56294847,1.02565387
-5.81390695,2.32594460,0.00905003,1.14144652,0.03031270,0.28622442,0.54263580,0.98985862
-5.80790395,2.25425293,0.00892564,1.10327367,0.03025477,0.27740394,0.52243323,0.95294846
-5.80190095,2.18052300,0.00875700,1.06339751,0.02998322,0.26916907,0.50242847,0.91510456
-5.79589795,2.10495161,0.00854460,1.02202437,0.02950360,0.26147641,0.48269836,0.87651699
-5.78989495,2.02778119,0.00829012,0.97938672,0.02882585,0.25427698,0.46330917,0.83738447
