energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.74281375,0.01649163,0.03057340,0.24743224,0.00000000,0.02846663,0.41970428,0.11078820,0.04530247
-5.99399700,0.67609468,0.01505931,0.02757139,0.22679409,0.00000000,0.02579832,0.38276274,0.10106619,0.04104888
-5.98799400,0.61510305,0.01365338,0.02481863,0.20833545,0.00000000,0.02322797,0.34911496,0.09232443,0.03714046
-5.98199100,0.56028678,0.01229042,0.02233194,0.19222748,0.00000000,0.02077702,0.31902140,0.08462670,0.03360176
-5.97598799,0.51202510,0.01098452,0.02012423,0.17862160,0.00000000,0.01846291,0.29270619,0.07802848,0.03045298
-5.96998499,0.47062543,0.00974725,0.01820473,0.16764754,0.00000000,0.01629909,0.27035454,0.07257630,0.02770991
-5.96398199,0.43632140,0.00858752,0.01657938,0.15941147,0.00000000,0.01429500,0.25211080,0.06830731,0.02538402
-5.95797899,0.40927189,0.00751167,0.01525119,0.15399418,0.00000000,0.01245633,0.23807688,0.06524873,0.02348252
-5.95197599,0.38956060,0.00652361,0.01422064,0.15144912,0.00000000,0.01078527,0.22831109,0.06341748,0.02200861
-5.94597299,0.37719614,0.00562499,0.01348608,0.15180048,0.00000000,0.00928093,0.22282708,0.06281970,0.02096174
-5.93996998,0.37211237,0.00481546,0.01304411,0.15504114,0.00000000,0.00793974,0.22159300,0.06345033,0.02033784
-5.93396698,0.37416880,0.00409297,0.01289001,0.16113054,0.00000000,0.00675596,0.22453063,0.06529269,0.02012968
-5.92796398,0.38315121,0.00345403,0.01301802,0.16999266,0.00000000,0.00572216,0.23151478,0.06831805,0.02032712
-5.92196098,0.39877255,0.00289408,0.01342175,0.18151414,0.00000000,0.00482968,0.24237273,0.07248529,0.02091746
-5.91595798,0.42067417,0.00240768,0.01409449,0.19554275,0.00000000,0.00406916,0.25688419,0.07774071,0.02188576
-5.90995498,0.44842790,0.00198890,0.01502950,0.21188646,0.00000000,0.00343092,0.27478170,0.08401797,0.02321517
-5.90395198,0.48153915,0.00163149,0.01622033,0.23031323,0.00000000,0.00290535,0.29575181,0.09123839,0.02488725
-5.89794897,0.51945130,0.00132914,0.01766113,0.25055184,0.00000000,0.00248325,0.31943738,0.09931143,0.02688245
-5.89194597,0.56155191,0.00107563,0.01934691,0.27229388,0.00000000,0.00215608,0.34544095,0.10813572,0.02918040
-5.88594297,0.60718074,0.00086500,0.02127379,0.29519713,0.00000000,0.00191622,0.37332963,0.11760037,0.03176046
-5.87993997,0.65563989,0.00069166,0.02343930,0.31889033,0.00000000,0.00175703,0.40264138,0.12758679,0.03460213
-5.87393697,0.70620589,0.00055048,0.02584252,0.34297948,0.00000000,0.00167301,0.43289289,0.13797096,0.03768556
-5.86793397,0.75814371,0.00043683,0.02848423,0.36705543,0.00000000,0.00165982,0.46358881,0.14862597,0.04099203
-5.86193097,0.81072220,0.00034661,0.03136700,0.39070283,0.00000000,0.00171426,0.49423219,0.15942500,0.04450440
-5.85592796,0.86323055,0.00027630,0.03449508,0.41350989,0.00000000,0.00183418,0.52433591,0.17024434,0.04820751
-5.84992496,0.91499505,0.00022289,0.03787427,0.43507885,0.00000000,0.00201845,0.55343447,0.18096658,0.05208845
-5.84392196,0.96539547,0.00018395,0.04151150,0.45503665,0.00000000,0.00226677,0.58109592,0.19148363,0.05613676
-5.83791896,1.01388020,0.00015757,0.04541438,0.47304533,0.00000000,0.00257956,0.60693326,0.20169951,0.06034443
-5.83191596,1.05997933,0.00014234,0.04959050,0.48881174,0.00000000,0.00295776,0.63061475,0.21153270,0.06470572
-5.82591296,1.10331516,0.00013735,0.05404654,0.50209606,0.00000000,0.00340267,0.65187275,0.22091800,0.06921678
-5.81990995,1.14360919,0.00014218,0.05878726,0.51271872,0.00000000,0.00391577,0.67051056,0.22980770,0.07387514
-5.81390695,1.18068568,0.00015687,0.06381443,0.52056548,0.00000000,0.00449852,0.68640696,0.23817205,0.07867894
-5.80790395,1.21447116,0.00018193,0.06912563,0.52559025,0.00000000,0.00515222,0.69951820,0.24599907,0.08362607
-5.80190095,1.24499033,0.00021836,0.07471308,0.52781568,0.00000000,0.00587790,0.70987749,0.25329365,0.08871326
-5.79589795,1.27235862,0.00026764,0.08056256,0.52733154,0.00000000,0.00667614,0.71759200,0.26007609,0.09393509
-5.78989495,1.29677195,0.00033173,0.08665256,0.52429083,0.00000000,0.00754709,0.72283758,0.26638026,0.09928316
-5.78389195,1.31849457,0.00041310,0.09295364,0.51890411,0.00000000,0.00849035,0.72585177,0.27225149,0.10474531
-5.77788894,1.33784603,0.00051476,0.09942816,0.51143231,0.00000000,0.00950505,0.72692544,0.27774451,0.11030520
-5.77188594,1.35518816,0.00064023,0.10603047,0.50217838,0.00000000,0.01058987,0.72639361,0.28292149,0.11594219
-5.76588294,1.37091319,0.00079356,0.11270759,0.49147837,0.00000000,0.01174316,0.72462626,0.28785063,0.12163153
-5.75987994,1.38543394,0.00097935,0.11940037,0.47969242,0.00000000,0.01296302,0.72201938,0.29260530,0.12734514
-5.75387694,1.39917675,0.00120264,0.12604527,0.46719604,0.00000000,0.01424752,0.71898703,0.29726388,0.13305276
-5.74787394,1.41257774,0.00146899,0.13257657,0.45437214,0.00000000,0.01559481,0.71595463,0.30191051,0.13872356
-5.74187094,1.42608251,0.00178429,0.13892904,0.44160424,0.00000000,0.01700329,0.71335390,0.30663660,0.14432817
-5.73586793,1.44014920,0.00215474,0.14504096,0.42927082,0.00000000,0.01847177,0.71161928,0.31154310,0.14984099
