energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.58220107,0.01990187,0.61942201,0.32234028,0.31033070,1.75146613,1.44724816,1.33846376,0.00000000
-5.99399700,3.58521082,0.01956897,0.63799570,0.33418126,0.30228672,1.79682484,1.45574621,1.32361160,0.00000000
-5.98799400,3.59609232,0.01932933,0.65764566,0.34818074,0.29480380,1.84781051,1.46546100,1.31237793,0.00000000
-5.98199100,3.61620258,0.01918377,0.67831539,0.36444639,0.28811003,1.90474864,1.47670310,1.30557921,0.00000000
-5.97598799,3.64668971,0.01913306,0.69991512,0.38307310,0.28241469,1.96784772,1.48970934,1.30395338,0.00000000
-5.96998499,3.68845467,0.01917798,0.72232301,0.40413876,0.27790184,2.03718545,1.50463672,1.30813656,0.00000000
-5.96398199,3.74212518,0.01931929,0.74538811,0.42770055,0.27472524,2.11270036,1.52156130,1.31864437,0.00000000
-5.95797899,3.80804240,0.01955786,0.76893511,0.45379193,0.27300447,2.19418899,1.54048187,1.33585842,0.00000000
-5.95197599,3.88626025,0.01989471,0.79277046,0.48242034,0.27282251,2.28130882,1.56132779,1.36001823,0.00000000
-5.94597299,3.97655644,0.02033114,0.81668965,0.51356556,0.27422464,2.37358640,1.58397064,1.39121829,0.00000000
-5.93996998,4.07845398,0.02086881,0.84048524,0.54717872,0.27721876,2.47043044,1.60823849,1.42941027,0.00000000
-5.93396698,4.19125116,0.02150986,0.86395523,0.58318183,0.28177680,2.57114898,1.63393213,1.47440957,0.00000000
-5.92796398,4.31405822,0.02225692,0.88691135,0.62146781,0.28783732,2.67496975,1.66084204,1.52590572,0.00000000
-5.92196098,4.44583811,0.02311318,0.90918690,0.66190088,0.29530892,2.78106291,1.68876528,1.58347581,0.00000000
-5.91595798,4.58544947,0.02408233,0.93064375,0.70431720,0.30407435,2.88856494,1.71752118,1.64660008,0.00000000
-5.90995498,4.73168938,0.02516845,0.95117822,0.74852577,0.31399512,2.99660281,1.74696531,1.71467893,0.00000000
-5.90395198,4.88333418,0.02637584,0.97072562,0.79430949,0.32491637,3.10431739,1.77700080,1.78705044,0.00000000
-5.89794897,5.03917650,0.02770880,0.98926319,0.84142629,0.33667187,3.21088517,1.80758678,1.86300782,0.00000000
-5.89194597,5.19805742,0.02917127,1.00681146,0.88961050,0.34908883,3.31553752,1.83874350,1.94181598,0.00000000
-5.88594297,5.35889251,0.03076649,1.02343398,0.93857420,0.36199259,3.41757681,1.87055409,2.02272690,0.00000000
-5.87993997,5.52069128,0.03249659,1.03923534,0.98800892,0.37521083,3.51638883,1.90316298,2.10499323,0.00000000
-5.87393697,5.68256975,0.03436213,1.05435770,1.03758739,0.38857730,3.61145120,1.93677109,2.18787999,0.00000000
-5.86793397,5.84375599,0.03636171,1.06897595,1.08696569,0.40193495,3.70233759,1.97162820,2.27067412,0.00000000
-5.86193097,6.00358906,0.03849149,1.08329148,1.13578566,0.41513848,3.78871760,2.00802260,2.35269183,0.00000000
-5.85592796,6.16151165,0.04074489,1.09752500,1.18367776,0.42805608,3.87035265,2.04626866,2.43328395,0.00000000
-5.84992496,6.31705728,0.04311224,1.11190840,1.23026433,0.44057057,3.94708792,2.08669250,2.51183917,0.00000000
-5.84392196,6.46983261,0.04558059,1.12667595,1.27516329,0.45257979,4.01884106,2.12961624,2.58778559,0.00000000
-5.83791896,6.61949604,0.04813356,1.14205497,1.31799236,0.46399634,4.08558805,2.17534124,2.66059072,0.00000000
-5.83191596,6.76573340,0.05075140,1.15825636,1.35837369,0.47474671,4.14734695,2.22413071,2.72976025,0.00000000
-5.82591296,6.90823180,0.05341109,1.17546502,1.39593892,0.48476990,4.20416043,2.27619211,2.79483591,0.00000000
-5.81990995,7.04665299,0.05608658,1.19383051,1.43033454,0.49401560,4.25607774,2.33165961,2.85539271,0.00000000
-5.81390695,7.18060706,0.05874916,1.21345824,1.46122753,0.50244206,4.30313716,2.39057737,2.91103599,0.00000000
-5.80790395,7.30962796,0.06136794,1.23440140,1.48831108,0.51001373,4.34534969,2.45288376,2.96139848,0.00000000
-5.80190095,7.43315191,0.06391041,1.25665390,1.51131030,0.51669898,4.38268492,2.51839736,3.00613780,0.00000000
-5.79589795,7.55049994,0.06634309,1.28014471,1.52998777,0.52246775,4.41505974,2.58680525,3.04493465,0.00000000
-5.78989495,7.66086574,0.06863221,1.30473384,1.54414873,0.52728958,4.44233065,2.65765413,3.07749187,0.00000000
-5.78389195,7.76330987,0.07074445,1.33021021,1.55364579,0.53113192,4.46429024,2.73034514,3.10353480,0.00000000
-5.77788894,7.85676130,0.07264768,1.35629177,1.55838308,0.53395904,4.48066812,2.80413291,3.12281280,0.00000000
-5.77188594,7.94002703,0.07431166,1.38262804,1.55831946,0.53573142,4.49113657,2.87812956,3.13510241,0.00000000
-5.76588294,8.01181022,0.07570880,1.40880519,1.55347105,0.53640588,4.49532089,2.95131406,3.14021181,0.00000000
-5.75987994,8.07073711,0.07681473,1.43435380,1.54391254,0.53593640,4.49281432,3.02254744,3.13798678,0.00000000
-5.75387694,8.11539235,0.07760893,1.45875929,1.52977762,0.53427565,4.48319688,3.09059394,3.12831799,0.00000000
-5.74787394,8.14436219,0.07807525,1.48147480,1.51125819,0.53137717,4.46605777,3.15414800,3.11114923,0.00000000
