energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.95837235,0.27587436,0.00096928,0.45928068,0.00000000,0.36415121,0.32667532
-5.99399700,0.96603644,0.27672749,0.00096600,0.46511112,0.00000000,0.36888367,0.33159978
-5.98799400,0.97500159,0.27782808,0.00096669,0.47148713,0.00000000,0.37423727,0.33675327
-5.98199100,0.98440687,0.27892916,0.00097109,0.47798246,0.00000000,0.37986985,0.34183562
-5.97598799,0.99340574,0.27978969,0.00097901,0.48417637,0.00000000,0.38544256,0.34655424
-5.96998499,1.00120035,0.28018413,0.00099034,0.48967024,0.00000000,0.39063309,0.35063576
-5.96398199,1.00707290,0.27991108,0.00100512,0.49410296,0.00000000,0.39514794,0.35383650
-5.95797899,1.01041275,0.27880052,0.00102350,0.49716444,0.00000000,0.39873339,0.35595160
-5.95197599,1.01073829,0.27671953,0.00104580,0.49860675,0.00000000,0.40118466,0.35682235
-5.94597299,1.00771273,0.27357615,0.00107250,0.49825245,0.00000000,0.40235291,0.35634145
-5.93996998,1.00115338,0.26932152,0.00110419,0.49599983,0.00000000,0.40214989,0.35445608
-5.93396698,0.99103429,0.26395000,0.00114162,0.49182501,0.00000000,0.40054997,0.35116866
-5.92796398,0.97748225,0.25749770,0.00118562,0.48578083,0.00000000,0.39758965,0.34653537
-5.92196098,0.96076658,0.25003927,0.00123706,0.47799272,0.00000000,0.39336457,0.34066249
-5.91595798,0.94128358,0.24168329,0.00129684,0.46865184,0.00000000,0.38802430,0.33370098
-5.90995498,0.91953623,0.23256668,0.00136584,0.45800599,0.00000000,0.38176510,0.32583934
-5.90395198,0.89611062,0.22284811,0.00144481,0.44634857,0.00000000,0.37482121,0.31729540
-5.89794897,0.87165004,0.21270110,0.00153441,0.43400649,0.00000000,0.36745500,0.30830725
-5.89194597,0.84682812,0.20230689,0.00163506,0.42132732,0.00000000,0.35994653,0.29912391
-5.88594297,0.82232240,0.19184754,0.00174699,0.40866653,0.00000000,0.35258308,0.28999601
-5.87993997,0.79878931,0.18149947,0.00187011,0.39637522,0.00000000,0.34564902,0.28116716
-5.87393697,0.77684185,0.17142773,0.00200406,0.38478906,0.00000000,0.33941661,0.27286601
-5.86793397,0.75703061,0.16178125,0.00214815,0.37421859,0.00000000,0.33413792,0.26529965
-5.86193097,0.73982900,0.15268907,0.00230139,0.36494149,0.00000000,0.33003839,0.25864835
-5.85592796,0.72562287,0.14425773,0.00246244,0.35719674,0.00000000,0.32731191,0.25306187
-5.84992496,0.71470472,0.13656979,0.00262971,0.35118101,0.00000000,0.32611776,0.24865728
-5.84392196,0.70727238,0.12968352,0.00280137,0.34704688,0.00000000,0.32657913,0.24551839
-5.83791896,0.70343159,0.12363344,0.00297537,0.34490301,0.00000000,0.32878323,0.24369645
-5.83191596,0.70320209,0.11843187,0.00314955,0.34481579,0.00000000,0.33278260,0.24321208
-5.82591296,0.70652623,0.11407102,0.00332169,0.34681217,0.00000000,0.33859738,0.24405804
-5.81990995,0.71327943,0.11052570,0.00348954,0.35088325,0.00000000,0.34621819,0.24620265
-5.81390695,0.72328136,0.10775619,0.00365098,0.35698818,0.00000000,0.35560919,0.24959340
-5.80790395,0.73630719,0.10571131,0.00380398,0.36505807,0.00000000,0.36671096,0.25416061
-5.80190095,0.75209783,0.10433138,0.00394675,0.37499941,0.00000000,0.37944299,0.25982073
-5.79589795,0.77036885,0.10355090,0.00407773,0.38669688,0.00000000,0.39370540,0.26647921
-5.78989495,0.79081728,0.10330101,0.00419566,0.40001529,0.00000000,0.40937990,0.27403261
-5.78389195,0.81312628,0.10351136,0.00429955,0.41480053,0.00000000,0.42632985,0.28237004
-5.77788894,0.83696753,0.10411171,0.00438877,0.43087985,0.00000000,0.44439955,0.29137388
-5.77188594,0.86200170,0.10503294,0.00446295,0.44806122,0.00000000,0.46341294,0.30091979
-5.76588294,0.88787723,0.10620768,0.00452202,0.46613250,0.00000000,0.48317201,0.31087639
-5.75987994,0.91422819,0.10757061,0.00456613,0.48486042,0.00000000,0.50345525,0.32110447
-5.75387694,0.94067184,0.10905848,0.00459565,0.50398987,0.00000000,0.52401657,0.33145641
-5.74787394,0.96680663,0.11060998,0.00461108,0.52324397,0.00000000,0.54458507,0.34177569
-5.74187094,0.99221146,0.11216555,0.00461303,0.54232523,0.00000000,0.56486605,0.35189702
-5.73586793,1.01644680,0.11366729,0.00460218,0.56091803,0.00000000,0.58454358,0.36164716
-5.72986493,1.03905826,0.11505895,0.00457918,0.57869283,0.00000000,0.60328486,0.37084671
-5.72386193,1.05958286,0.11628618,0.00454472,0.59531207,0.00000000,0.62074640,0.37931287
-5.71785893,1.07755818,0.11729711,0.00449940,0.61043771,0.00000000,0.63658210,0.38686326
-5.71185593,1.09253428,0.11804309,0.00444381,0.62374036,0.00000000,0.65045291,0.39332075
-5.70585293,1.10408782,0.11847984,0.00437850,0.63490956,0.00000000,0.66203787,0.39851903
-5.69984992,1.11183805,0.11856878,0.00430400,0.64366486,0.00000000,0.67104597,0.40230877
-5.69384692,1.11546362,0.11827856,0.00422085,0.64976705,0.00000000,0.67722840,0.40456411
-5.68784392,1.11471947,0.11758676,0.00412963,0.65302915,0.00000000,0.68039044,0.40518897
-5.68184092,1.10945270,0.11648154,0.00403104,0.65332628,0.00000000,0.68040253,0.40412296
-5.67583792,1.09961645,0.11496330,0.00392588,0.65060406,0.00000000,0.67720982,0.40134646
-5.66983492,1.08528097,0.11304615,0.00381513,0.64488475,0.00000000,0.67083958,0.39688456
-5.66383192,1.06664096,0.11075920,0.00369998,0.63627098,0.00000000,0.66140621,0.39080954
