energy_ev,total_up,Nb_p_up,Nb_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,3.62253604,0.70121285,1.64905147,1.09051775,0.00000000,1.22748730,0.00000000
-5.99399700,3.61113502,0.69935273,1.68056099,1.12285920,0.00000000,1.18663633,0.00000000
-5.98799400,3.60702983,0.70095553,1.71463446,1.15863986,0.00000000,1.14781326,0.00000000
-5.98199100,3.60925232,0.70569550,1.75097221,1.19753162,0.00000000,1.11081451,0.00000000
-5.97598799,3.61678881,0.71322556,1.78920970,1.23912793,0.00000000,1.07546436,0.00000000
-5.96998499,3.62859645,0.72318197,1.82891361,1.28293963,0.00000000,1.04162647,0.00000000
-5.96398199,3.64362276,0.73519041,1.86958166,1.32839496,0.00000000,1.00921411,0.00000000
-5.95797899,3.66082852,0.74887354,1.91064698,1.37484413,0.00000000,0.97819892,0.00000000
-5.95197599,3.67921443,0.76385993,1.95148725,1.42156900,0.00000000,0.94861803,0.00000000
-5.94597299,3.69785091,0.77979422,1.99143879,1.46779753,0.00000000,0.92057956,0.00000000
-5.93996998,3.71591060,0.79634819,2.02981513,1.51272268,0.00000000,0.89426641,0.00000000
-5.93396698,3.73270220,0.81323219,2.06592955,1.55552509,0.00000000,0.86993816,0.00000000
-5.92796398,3.74770417,0.83020649,2.09912035,1.59539828,0.00000000,0.84793125,0.00000000
-5.92196098,3.76059632,0.84709180,2.12877767,1.63157523,0.00000000,0.82865703,0.00000000
-5.91595798,3.77128701,0.86377839,2.15437014,1.66335491,0.00000000,0.81259774,0.00000000
-5.90995498,3.77993379,0.88023295,2.17546984,1.69012710,0.00000000,0.80030013,0.00000000
-5.90395198,3.78695524,0.89650276,2.19177379,1.71139433,0.00000000,0.79236645,0.00000000
-5.89794897,3.79303185,0.91271650,2.20312043,1.72678928,0.00000000,0.78944270,0.00000000
-5.89194597,3.79909455,0.92908134,2.20949984,1.73608698,0.00000000,0.79220391,0.00000000
