energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,6.82555618,0.01121753,0.72672203,4.35025833,2.46185109,0.06388003,2.28514697
-5.99399700,6.76108109,0.01083266,0.70936983,4.30259590,2.44653776,0.06427884,2.26278975
-5.98799400,6.68125752,0.01045005,0.69060983,4.24016855,2.42666933,0.06463278,2.23534994
-5.98199100,6.58605640,0.01007028,0.67054848,4.16336720,2.40217612,0.06491450,2.20271761
-5.97598799,6.47570743,0.00969386,0.64931464,4.07284763,2.37307787,0.06509642,2.16485973
-5.96998499,6.35074231,0.00932141,0.62706208,3.96953613,2.33950409,0.06515219,2.12183656
-5.96398199,6.21202961,0.00895384,0.60397144,3.85462864,2.30171099,0.06505817,2.07381509
-5.95797899,6.06079870,0.00859246,0.58025168,3.72958319,2.26009401,0.06479482,2.02107867
-5.95197599,5.89865142,0.00823913,0.55614075,3.59610553,2.21519518,0.06434784,1.96403222
-5.94597299,5.72755999,0.00789631,0.53190552,3.45612822,2.16770476,0.06370919,1.90320249
-5.93996998,5.54985107,0.00756713,0.50784083,3.31178365,2.11845693,0.06287777,1.83923342
-5.93396698,5.36817572,0.00725536,0.48426763,3.16537148,2.06841953,0.06185986,1.77287645
-5.92796398,5.18546642,0.00696541,0.46153025,3.01932146,2.01867817,0.06066918,1.70497627
-5.92196098,5.00488202,0.00670221,0.43999266,2.87615227,1.97041515,0.05932673,1.63645251
-5.91595798,4.82974284,0.00647115,0.42003387,2.73842756,1.92488396,0.05786025,1.56827808
-5.90995498,4.66345770,0.00627787,0.40204239,2.60870988,1.88338023,0.05630349,1.50145507
-5.90395198,4.50944553,0.00612817,0.38640983,2.48951363,1.84721016,0.05469519,1.43698916
-5.89794897,4.37105403,0.00602779,0.37352367,2.38325786,1.81765741,0.05307793,1.37586363
-5.89194597,4.25147796,0.00598223,0.36375935,2.29221964,1.79594967,0.05149686,1.31901385
-5.88594297,4.15367957,0.00599651,0.35747175,2.21848900,1.78322579,0.04999838,1.26730338
-5.87993997,4.08031355,0.00607506,0.35498610,2.16392599,1.78050460,0.04862874,1.22150233
-5.87393697,4.03365841,0.00622146,0.35658869,2.13012052,1.78865614,0.04743281,1.18226892
-5.86793397,4.01555628,0.00643829,0.36251742,2.11835571,1.80837615,0.04645278,1.15013452
-5.86193097,4.02736231,0.00672700,0.37295255,2.12957537,1.84016438,0.04572716,1.12549285
-5.85592796,4.06990501,0.00708776,0.38800785,2.16435609,1.88430713,0.04528977,1.10859323
-5.84992496,4.14345797,0.00751938,0.40772248,2.22288483,1.94086436,0.04516899,1.09953807
-5.84392196,4.24772368,0.00801926,0.43205408,2.30494238,2.00966153,0.04538717,1.09828430
-5.83791896,4.38182930,0.00858333,0.46087313,2.40989370,2.09028630,0.04596017,1.10464859
-5.83191596,4.54433447,0.00920611,0.49395929,2.53668541,2.18208991,0.04689714,1.11831563
-5.82591296,4.73325058,0.00988072,0.53099970,2.68385137,2.28419326,0.04820038,1.13884933
-5.81990995,4.94607123,0.01059902,0.57158980,2.84952664,2.39549747,0.04986536,1.16570592
-5.81390695,5.17981276,0.01135171,0.61523670,3.03147015,2.51469871,0.05188084,1.19824874
-5.80790395,5.43106446,0.01212850,0.66136527,3.22709643,2.64030696,0.05422914,1.23576382
-5.80190095,5.69604692,0.01291831,0.70932708,3.43351593,2.77066848,0.05688642,1.27747586
-5.79589795,5.97067789,0.01370949,0.75841184,3.64758380,2.90399168,0.05982305,1.32256399
-5.78989495,6.25064391,0.01449006,0.80786145,3.86595614,3.03837584,0.06300407,1.37017703
-5.78389195,6.53147673,0.01524797,0.85688594,4.08515265,3.17184243,0.06638962,1.41944778
-5.77788894,6.80863282,0.01597135,0.90468115,4.30162438,3.30236850,0.06993550,1.46950620
-5.77188594,7.07757446,0.01664879,0.95044735,4.51182451,3.42792152,0.07359373,1.51949133
-5.76588294,7.33385096,0.01726956,0.99340831,4.71228065,3.54649524,0.07731315,1.56856198
-5.75987994,7.57317823,0.01782388,1.03282997,4.89966611,3.65614581,0.08104012,1.61590622
-5.75387694,7.79151530,0.01830308,1.06803819,5.07086834,3.75502761,0.08471923,1.66074980
-5.74787394,7.98513618,0.01869987,1.09843479,5.22305237,3.84142798,0.08829411,1.70236371
-5.74187094,8.15069570,0.01900840,1.12351132,5.35371718,3.91380015,0.09170831,1.74007120
-5.73586793,8.28528808,0.01922447,1.14286009,5.46074362,3.97079370,0.09490620,1.77325426
-5.72986493,8.38649705,0.01934556,1.15618206,5.54243234,4.01128174,0.09783398,1.80135997
-5.72386193,8.45243672,0.01937087,1.16329134,5.59753095,4.03438427,0.10044069,1.82390674
-5.71785893,8.48178228,0.01930137,1.16411636,5.62524978,4.03948684,0.10267925,1.84049058
-5.71185593,8.47379013,0.01913975,1.15869764,5.62526631,4.02625427,0.10450754,1.85079117
-5.70585293,8.42830695,0.01889033,1.14718250,5.59771844,3.99463866,0.10588939,1.85457792
-5.69984992,8.34576764,0.01855897,1.12981707,5.54318742,3.94488157,0.10679552,1.85171549
-5.69384692,8.22718190,0.01815297,1.10693598,5.46267132,3.87750993,0.10720438,1.84216858
-5.68784392,8.07410989,0.01768084,1.07895031,5.35755029,3.79332577,0.10710282,1.82600557
-5.68184092,7.88862711,0.01715218,1.04633435,5.22954500,3.69338980,0.10648663,1.80340058
-5.67583792,7.67327906,0.01657742,1.00961170,5.08066958,3.57899898,0.10536076,1.77463346
-5.66983492,7.43102655,0.01596760,0.96934127,4.91318068,3.45165871,0.10373942,1.74008741
-5.66383192,7.16518246,0.01533417,0.92610357,4.72952396,3.31305007,0.10164582,1.70024374
-5.65782891,6.87934130,0.01468869,0.88048783,4.53227932,3.16499304,0.09911168,1.65567373
-5.65182591,6.57730304,0.01404264,0.83308011,4.32410623,3.00940653,0.09617649,1.60702739
-5.64582291,6.26299278,0.01340713,0.78445275,4.10769024,2.84826647,0.09288649,1.55501939
-5.63981991,5.94037843,0.01279272,0.73515524,3.88569165,2.68356299,0.08929349,1.50041224
-5.63381691,5.61338844,0.01220921,0.68570661,3.66069745,2.51725812,0.08545344,1.44399750
-5.62781391,5.28583178,0.01166543,0.63658939,3.43517709,2.35124517,0.08142498,1.38657543
-5.62181091,4.96132273,0.01116915,0.58824498,3.21144314,2.18731115,0.07726782,1.32893404
-5.61580790,4.64321261,0.01072692,0.54107051,2.99161721,2.02710336,0.07304121,1.27182832
-5.60980490,4.33453066,0.01034404,0.49541695,2.77760197,1.87210117,0.06880245,1.21596070
-5.60380190,4.03793596,0.01002454,0.45158841,2.57105945,1.72359384,0.06460547,1.16196353
-5.59779890,3.75568201,0.00977116,0.40984258,2.37339615,1.58266495,0.06049967,1.11038451
-5.59179590,3.48959485,0.00958547,0.37039205,2.18575514,1.45018379,0.05652892,1.06167570
-5.58579290,3.24106534,0.00946795,0.33340645,2.00901491,1.32680382,0.05273083,1.01618663
-5.57978989,3.01105554,0.00941811,0.29901539,1.84379516,1.21296773,0.04913633,0.97416187
-5.57378689,2.80011835,0.00943467,0.26731192,1.69046883,1.10891884,0.04576941,0.93574287
-5.56778389,2.60842920,0.00951574,0.23835650,1.54917993,1.01471783,0.04264727,0.90097414
-5.56178089,2.43582795,0.00965897,0.21218134,1.41986628,0.93026396,0.03978061,0.86981308
-5.55577789,2.28186854,0.00986177,0.18879488,1.30228632,0.85531948,0.03717417,0.84214280
-5.54977489,2.14587399,0.01012140,0.16818650,1.19604872,0.78953608,0.03482738,0.81778719
-5.54377189,2.02699370,0.01043512,0.15033098,1.10064360,0.73248203,0.03273520,0.79652719
-5.53776888,1.92426031,0.01080028,0.13519286,1.01547426,0.68366875,0.03088896,0.77811724
-5.53176588,1.83664341,0.01121434,0.12273034,0.93988790,0.64257563,0.02927723,0.76230091
-5.52576288,1.76309751,0.01167485,0.11289865,0.87320438,0.60867217,0.02788666,0.74882488
-5.51975988,1.70260236,0.01217938,0.10565275,0.81474190,0.58143650,0.02670271,0.73745043
-5.51375688,1.65419410,0.01272543,0.10094918,0.76383874,0.56036977,0.02571032,0.72796189
-5.50775388,1.61698619,0.01331023,0.09874703,0.71987043,0.54500613,0.02489438,0.72017172
-5.50175088,1.59018008,0.01393059,0.09900789,0.68226199,0.53491818,0.02424013,0.71392221
-5.49574787,1.57306577,0.01458271,0.10169490,0.65049520,0.52971813,0.02373335,0.70908386
-5.48974487,1.56501343,0.01526194,0.10677078,0.62411083,0.52905510,0.02336046,0.70555094
-5.48374187,1.56545747,0.01596266,0.11419503,0.60270657,0.53260931,0.02310850,0.70323482
-5.47773887,1.57387513,0.01667809,0.12392037,0.58593093,0.54008376,0.02296499,0.70205582
-5.47173587,1.58976178,0.01740023,0.13588870,0.57347420,0.55119460,0.02291782,0.70193453
-5.46573287,1.61260530,0.01811984,0.15002676,0.56505714,0.56566095,0.02295498,0.70278336
-5.45972986,1.64186209,0.01882648,0.16624170,0.56041863,0.58319527,0.02306448,0.70449937
-5.45372686,1.67693680,0.01950870,0.18441706,0.55930306,0.60349516,0.02323412,0.70695903
-5.44772386,1.71716796,0.02015421,0.20440921,0.56144856,0.62623738,0.02345151,0.71001563
-5.44172086,1.76182080,0.02075022,0.22604475,0.56657699,0.65107477,0.02370405,0.71349966
-5.43571786,1.81008870,0.02128381,0.24911910,0.57438619,0.67763651,0.02397907,0.71722254
-5.42971486,1.86110333,0.02174235,0.27339642,0.58454535,0.70553196,0.02426406,0.72098351
-5.42371186,1.91395376,0.02211398,0.29861116,0.59669358,0.73435799,0.02454697,0.72457950
-5.41770885,1.96771360,0.02238806,0.32447127,0.61044209,0.76370967,0.02481662,0.72781751
-5.41170585,2.02147495,0.02255564,0.35066304,0.62537966,0.79319379,0.02506318,0.73052870
-5.40570285,2.07438746,0.02260990,0.37685756,0.64108126,0.82244445,0.02527863,0.73258351
-5.39969985,2.12570031,0.02254647,0.40271854,0.65711939,0.85113999,0.02545728,0.73390677
-5.39369685,2.17480466,0.02236373,0.42791122,0.67307727,0.87902020,0.02559619,0.73449183
-5.38769385,2.22127393,0.02206298,0.45211203,0.68856341,0.90590278,0.02569559,0.73441284
-5.38169085,2.26489949,0.02164851,0.47501849,0.70322654,0.93169788,0.02575921,0.73383414
-5.37568784,2.30571904,0.02112757,0.49635895,0.71676990,0.95641977,0.02579437,0.73301615
-5.36968484,2.34403564,0.02051015,0.51590160,0.72896433,0.98019466,0.02581211,0.73231694
-5.36368184,2.38042547,0.01980876,0.53346227,0.73965896,1.00326375,0.02582700,0.73218923
-5.35767884,2.41573303,0.01903804,0.54891064,0.74878905,1.02598103,0.02585688,0.73317248
-5.35167584,2.45105284,0.01821432,0.56217436,0.75638013,1.04880536,0.02592243,0.73588013
-5.34567284,2.48769776,0.01735507,0.57324087,0.76254834,1.07228668,0.02604654,0.74098215
-5.33966983,2.52715405,0.01647839,0.58215677,0.76749637,1.09704662,0.02625357,0.74918344
-5.33366683,2.57102471,0.01560243,0.58902464,0.77150531,1.12375388,0.02656853,0.76119857
-5.32766383,2.62096258,0.01474481,0.59399744,0.77492243,1.15309518,0.02701613,0.77772389
-5.32166083,2.67859579,0.01392211,0.59727069,0.77814538,1.18574279,0.02761979,0.79940776
-5.31565783,2.74544827,0.01314935,0.59907290,0.78160337,1.22231989,0.02840061,0.82682025
-5.30965483,2.82285879,0.01243962,0.59965449,0.78573627,1.26336524,0.02937647,0.86042325
-5.30365183,2.91190193,0.01180370,0.59927591,0.79097235,1.30929875,0.03056106,0.90054246
-5.29764882,3.01331476,0.01124979,0.59819557,0.79770585,1.36038961,0.03196311,0.94734239
-5.29164582,3.12743291,0.01078340,0.59665797,0.80627538,1.41672866,0.03358575,1.00080558
-5.28564282,3.25413945,0.01040724,0.59488284,0.81694415,1.47820652,0.03542604,1.06071733
-5.27963982,3.39282979,0.01012122,0.59305580,0.82988325,1.54449891,0.03747473,1.12665667
-5.27363682,3.54239505,0.00992264,0.59132076,0.84515862,1.61506046,0.03971624,1.19799467
-5.26763382,3.70122591,0.00980630,0.58977483,0.86272257,1.68912753,0.04212891,1.27390044
-5.26163082,3.86723788,0.00976483,0.58846557,0.88241046,1.76573085,0.04468551,1.35335527
-5.25562781,4.03791820,0.00978897,0.58739100,0.90394271,1.84371770,0.04735397,1.43517472
-5.24962481,4.21039340,0.00986801,0.58650209,0.92693230,1.92178336,0.05009843,1.51803840
-5.24362181,4.38151563,0.00999012,0.58570777,0.95089744,1.99851082,0.05288038,1.60052660
-5.23761881,4.54796473,0.01014286,0.58488205,0.97527907,2.07241736,0.05566006,1.68116267
-5.23161581,4.70636239,0.01031357,0.58387286,0.99946239,2.14200625,0.05839795,1.75845966
-5.22561281,4.85339345,0.01048984,0.58251220,1.02280136,2.20582131,0.06105629,1.83096952
-5.21960980,4.98592946,0.01065990,0.58062694,1.04464533,2.26250213,0.06360060,1.89733275
-5.21360680,5.10114863,0.01081300,0.57804981,1.06436627,2.31083722,0.06600112,1.95632646
-5.20760380,5.19664676,0.01093972,0.57462992,1.08138547,2.34981265,0.06823404,2.00690866
-5.20160080,5.27053360,0.01103227,0.57024230,1.09519829,2.37865382,0.07028258,2.04825655
-5.19559780,5.32150987,0.01108468,0.56479592,1.10539589,2.39685809,0.07213765,2.07979711
-5.18959480,5.34892088,0.01109293,0.55823984,1.11168264,2.40421668,0.07379825,2.10122812
-5.18359180,5.35278368,0.01105498,0.55056716,1.11388860,2.40082450,0.07527145,2.11252870
-5.17758879,5.33378620,0.01097077,0.54181651,1.11197615,2.38707728,0.07657198,2.11395839
-5.17158579,5.29325798,0.01084215,0.53207116,1.10604072,2.36365601,0.07772137,2.10604483
-5.16558279,5.23311362,0.01067265,0.52145570,1.09630544,2.33149939,0.07874677,2.08956038
-5.15957979,5.15577171,0.01046732,0.51013057,1.08311007,2.29176542,0.07967941,2.06548868
-5.15357679,5.06405299,0.01023244,0.49828470,1.06689488,2.24578415,0.08055283,2.03498275
-5.14757379,4.96106287,0.00997521,0.48612679,1.04818025,2.19500384,0.08140089,1.99931666
-5.14157079,4.85006411,0.00970344,0.47387559,1.02754327,2.14093326,0.08225579,1.95983296
-5.13556778,4.73434622,0.00942526,0.46174989,1.00559250,2.08508294,0.08314605,1.91788876
-5.12956478,4.61709791,0.00914877,0.44995859,0.98294230,2.02890842,0.08409468,1.87480287
-5.12356178,4.50128922,0.00888176,0.43869164,0.96018807,1.97375821,0.08511761,1.83180670
-5.11755878,4.38956900,0.00863152,0.42811219,0.93788375,1.92082903,0.08622250,1.79000148
-5.11155578,4.28418259,0.00840458,0.41835035,0.91652271,1.87113048,0.08740789,1.75032349
-5.10555278,4.18691365,0.00820663,0.40949912,0.89652286,1.82546052,0.08866295,1.71351926
-5.09954977,4.09905226,0.00804245,0.40161241,0.87821684,1.78439301,0.08996767,1.68013149
-5.09354677,4.02139033,0.00791585,0.39470541,0.86184744,1.74827727,0.09129363,1.65049619
-5.08754377,3.95424352,0.00782976,0.38875723,0.84756841,1.71724941,0.09260516,1.62475087
-5.08154077,3.89749753,0.00778635,0.38371551,0.83545027,1.69125435,0.09386106,1.60285278
-5.07553777,3.85067528,0.00778713,0.37950284,0.82549064,1.67007684,0.09501656,1.58460595
-5.06953477,3.81302027,0.00783318,0.37602438,0.81762804,1.65337942,0.09602555,1.56969515
-5.06353177,3.78359063,0.00792529,0.37317642,0.81175832,1.64074481,0.09684300,1.55772442
-5.05752876,3.76135798,0.00806422,0.37085506,0.80775235,1.63172001,0.09742722,1.54825786
-5.05152576,3.74530475,0.00825087,0.36896470,0.80547382,1.62585953,0.09774218,1.54086003
-5.04552276,3.73451422,0.00848640,0.36742568,0.80479580,1.62276503,0.09775937,1.53513363
-5.03951976,3.72824773,0.00877244,0.36618056,0.80561509,1.62211902,0.09745950,1.53075212
-5.03351676,3.72600461,0.00911110,0.36519870,0.80786322,1.62371082,0.09683357,1.52748542
-5.02751376,3.72756146,0.00950501,0.36447887,0.81151353,1.62745312,0.09588354,1.52521723
-5.02151076,3.73298857,0.00995727,0.36404962,0.81658373,1.63338852,0.09462245,1.52395306
-5.01550775,3.74264291,0.01047138,0.36396738,0.82313391,1.64168560,0.09307396,1.52381862
-5.00950475,3.75713842,0.01105101,0.36431256,0.83126013,1.65262512,0.09127140,1.52504886
-5.00350175,3.77729570,0.01169988,0.36518358,0.84108405,1.66657716,0.08925641,1.52796843
-4.99749875,3.80407454,0.01242141,0.36668948,0.85273934,1.68397086,0.08707711,1.53296485
-4.99149575,3.83849366,0.01321850,0.36894131,0.86635583,1.70525873,0.08478612,1.54045631
-4.98549275,3.88154277,0.01409321,0.37204298,0.88204263,1.73087769,0.08243835,1.55085602
-4.97948974,3.93409269,0.01504647,0.37608201,0.89987125,1.76120947,0.08008878,1.56453544
-4.97348674,3.99680895,0.01607785,0.38112077,0.91986011,1.79654267,0.07779028,1.58178872
-4.96748374,4.07007464,0.01718526,0.38718886,0.94196151,1.83703905,0.07559173,1.60280064
-4.96148074,4.15392706,0.01836484,0.39427685,0.96605210,1.88270597,0.07353627,1.62761995
-4.95547774,4.24801249,0.01961078,0.40233206,0.99192762,1.93337675,0.07166003,1.65614003
-4.94947474,4.35156175,0.02091537,0.41125650,1.01930249,1.98870031,0.06999120,1.68808786
-4.94347174,4.46338853,0.02226893,0.42090716,1.04781440,2.04814053,0.06854960,1.72302230
-4.93746873,4.58191062,0.02366000,0.43109871,1.07703391,2.11098565,0.06734660,1.76034183
-4.93146573,4.70519319,0.02507551,0.44160858,1.10647859,2.17636712,0.06638553,1.79930138
-4.92546273,4.83101188,0.02650101,0.45218400,1.13563103,2.24328688,0.06566242,1.83903745
-4.91945973,4.95693230,0.02792102,0.46255088,1.16395977,2.31065160,0.06516707,1.87860030
-4.91345673,5.08040175,0.02931935,0.47242400,1.19094207,2.37731200,0.06488432,1.91699131
-4.90745373,5.19884821,0.03067951,0.48151796,1.21608718,2.44210504,0.06479544,1.95320370
-4.90145073,5.30978147,0.03198507,0.48955851,1.23895895,2.50389693,0.06487963,1.98626451
-4.89544772,5.41089101,0.03322013,0.49629347,1.25919630,2.56162445,0.06511542,2.01527544
