energy_ev,total_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.10044530,0.01972713,0.00000000,0.42372256,0.40061045,0.17204074,0.01088410,0.05534711,0.99835453
-5.99399700,2.01402547,0.01881724,0.00000000,0.40420363,0.37665764,0.16819318,0.01013440,0.05334738,0.96434688
-5.98799400,1.92759493,0.01791498,0.00000000,0.38496826,0.35305118,0.16418162,0.00939542,0.05134840,0.92993483
-5.98199100,1.84181110,0.01702634,0.00000000,0.36616551,0.33000159,0.16003082,0.00867579,0.04936397,0.89535512
-5.97598799,1.75728341,0.01615680,0.00000000,0.34792943,0.30769815,0.15576560,0.00798393,0.04740687,0.86083385
-5.96998499,1.67456582,0.01531126,0.00000000,0.33037806,0.28630604,0.15141061,0.00732798,0.04548872,0.82658385
-5.96398199,1.59415039,0.01449400,0.00000000,0.31361284,0.26596443,0.14698997,0.00671586,0.04361978,0.79280202
-5.95797899,1.51646240,0.01370865,0.00000000,0.29771858,0.24678540,0.14252679,0.00615534,0.04180877,0.75966666
-5.95197599,1.44185678,0.01295817,0.00000000,0.28276382,0.22885373,0.13804271,0.00565418,0.04006275,0.72733503
-5.94597299,1.37061644,0.01224485,0.00000000,0.26880187,0.21222759,0.13355731,0.00522034,0.03838700,0.69594121
-5.93996998,1.30295246,0.01157028,0.00000000,0.25587226,0.19693996,0.12908765,0.00486223,0.03678493,0.66559447
-5.93396698,1.23900647,0.01093539,0.00000000,0.24400285,0.18300084,0.12464776,0.00458899,0.03525811,0.63637845
-5.92796398,1.17885523,0.01034049,0.00000000,0.23321243,0.17040010,0.12024834,0.00441087,0.03380625,0.60835111
-5.92196098,1.12251754,0.00978532,0.00000000,0.22351390,0.15911085,0.11589656,0.00433958,0.03242740,0.58154577
-5.91595798,1.06996333,0.00926913,0.00000000,0.21491775,0.14909320,0.11159603,0.00438864,0.03111804,0.55597320
-5.90995498,1.02112469,0.00879077,0.00000000,0.20743603,0.14029836,0.10734698,0.00457380,0.02987341,0.53162479
-5.90395198,0.97590848,0.00834879,0.00000000,0.20108641,0.13267276,0.10314668,0.00491336,0.02868777,0.50847661
-5.89794897,0.93420998,0.00794158,0.00000000,0.19589627,0.12616223,0.09898993,0.00542853,0.02755479,0.48649439
-5.89194597,0.89592706,0.00756746,0.00000000,0.19190669,0.12071584,0.09486980,0.00614359,0.02646790,0.46563898
-5.88594297,0.86097396,0.00722486,0.00000000,0.18917595,0.11628949,0.09077843,0.00708614,0.02542068,0.44587209
-5.87993997,0.82929417,0.00691237,0.00000000,0.18778246,0.11284884,0.08670792,0.00828706,0.02440730,0.42716198
-5.87393697,0.80087139,0.00662890,0.00000000,0.18782684,0.11037169,0.08265117,0.00978048,0.02342279,0.40948871
-5.86793397,0.77573813,0.00637374,0.00000000,0.18943294,0.10884949,0.07860270,0.01160344,0.02246339,0.39284862
-5.86193097,0.75398108,0.00614662,0.00000000,0.19274760,0.10828805,0.07455940,0.01379547,0.02152678,0.37725782
-5.85592796,0.73574298,0.00594776,0.00000000,0.19793904,0.10870722,0.07052102,0.01639796,0.02061220,0.36275427
-5.84992496,0.72122056,0.00577785,0.00000000,0.20519379,0.11013980,0.06649059,0.01945326,0.01972057,0.34939839
-5.84392196,0.71065848,0.00563804,0.00000000,0.21471206,0.11262935,0.06247456,0.02300363,0.01885437,0.33727213
-5.83791896,0.70433937,0.00552986,0.00000000,0.22670173,0.11622729,0.05848271,0.02708998,0.01801762,0.32647639
-5.83191596,0.70257030,0.00545514,0.00000000,0.24137087,0.12098919,0.05452798,0.03175037,0.01721560,0.31712691
-5.82591296,0.70566614,0.00541589,0.00000000,0.25891922,0.12697046,0.05062590,0.03701843,0.01645459,0.30934889
-5.81990995,0.71393058,0.00541415,0.00000000,0.27952859,0.13422164,0.04679411,0.04292166,0.01574155,0.30327049
-5.81390695,0.72763554,0.00545188,0.00000000,0.30335278,0.14278339,0.04305156,0.04947961,0.01508373,0.29901553
-5.80790395,0.74700001,0.00553074,0.00000000,0.33050717,0.15268153,0.03941777,0.05670212,0.01448827,0.29669583
-5.80190095,0.77216922,0.00565196,0.00000000,0.36105851,0.16392224,0.03591204,0.06458763,0.01396182,0.29640341
-5.79589795,0.80319522,0.00581623,0.00000000,0.39501525,0.17648770,0.03255267,0.07312161,0.01351014,0.29820311
