energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,0.61046303,0.00000580,0.08248775,0.10870524,0.08865954,0.00328098,0.20185938
-5.99399700,0.58535650,0.00000796,0.07888759,0.10526252,0.08456891,0.00311466,0.19391664
-5.98799400,0.55757318,0.00001088,0.07494931,0.10121840,0.08014256,0.00293893,0.18505146
-5.98199100,0.52763189,0.00001478,0.07074456,0.09665570,0.07545978,0.00275714,0.17543352
-5.97598799,0.49607679,0.00001997,0.06634756,0.09166572,0.07060177,0.00257271,0.16524257
-5.96998499,0.46346401,0.00002681,0.06183326,0.08634560,0.06564981,0.00238910,0.15466400
-5.96398199,0.43034887,0.00003576,0.05727573,0.08079573,0.06068356,0.00220974,0.14388456
-5.95797899,0.39727440,0.00004737,0.05274664,0.07511712,0.05577956,0.00203799,0.13308850
-5.95197599,0.36476152,0.00006233,0.04831406,0.06940909,0.05101009,0.00187717,0.12245420
-5.94597299,0.33330105,0.00008144,0.04404147,0.06376723,0.04644228,0.00173053,0.11215141
-5.93996998,0.30334789,0.00010566,0.03998708,0.05828159,0.04213750,0.00160125,0.10233918
-5.93396698,0.27531724,0.00013611,0.03620345,0.05303544,0.03815114,0.00149246,0.09316447
-5.92796398,0.24958283,0.00017409,0.03273733,0.04810425,0.03453258,0.00140731,0.08476146
-5.92196098,0.22647698,0.00022109,0.02962979,0.04355521,0.03132543,0.00134891,0.07725137
-5.91595798,0.20629210,0.00027878,0.02691649,0.03944702,0.02856794,0.00132043,0.07074289
-5.90995498,0.18928325,0.00034900,0.02462808,0.03582998,0.02629354,0.00132510,0.06533287
-5.90395198,0.17567138,0.00043379,0.02279075,0.03274641,0.02453139,0.00136620,0.06110723
-5.89794897,0.16564667,0.00053532,0.02142667,0.03023112,0.02330693,0.00144708,0.05814195
-5.89194597,0.15937162,0.00065588,0.02055449,0.02831199,0.02264234,0.00157116,0.05650390
-5.88594297,0.15698335,0.00079783,0.02018964,0.02701061,0.02255680,0.00174182,0.05625144
-5.87993997,0.15859487,0.00096356,0.02034455,0.02634274,0.02306665,0.00196240,0.05743454
-5.87393697,0.16429492,0.00115539,0.02102866,0.02631873,0.02418520,0.00223606,0.06009452
-5.86793397,0.17414634,0.00137550,0.02224820,0.02694370,0.02592237,0.00256571,0.06426319
-5.86193097,0.18818282,0.00162583,0.02400576,0.02821756,0.02828405,0.00295382,0.06996142
-5.85592796,0.20640422,0.00190798,0.02629971,0.03013473,0.03127122,0.00340229,0.07719722
-5.84992496,0.22877065,0.00222310,0.02912342,0.03268385,0.03487890,0.00391227,0.08596340
-5.84392196,0.25519560,0.00257179,0.03246430,0.03584711,0.03909496,0.00448399,0.09623492
-5.83791896,0.28553873,0.00295397,0.03630291,0.03959967,0.04389886,0.00511654,0.10796609
-5.83191596,0.31959877,0.00336880,0.04061195,0.04390895,0.04926048,0.00580777,0.12108796
-5.82591296,0.35710714,0.00381459,0.04535545,0.04873405,0.05513898,0.00655410,0.13550587
-5.81990995,0.39772300,0.00428873,0.05048804,0.05402520,0.06148199,0.00735042,0.15109772
-5.81390695,0.44103034,0.00478769,0.05595455,0.05972360,0.06822509,0.00819005,0.16771290
-5.80790395,0.48653757,0.00530697,0.06168990,0.06576142,0.07529166,0.00906469,0.18517229
-5.80190095,0.53368027,0.00584119,0.06761941,0.07206226,0.08259329,0.00996455,0.20326934
-5.79589795,0.58182716,0.00638412,0.07365949,0.07854200,0.09003067,0.01087839,0.22177253
-5.78989495,0.63028975,0.00692881,0.07971885,0.08511009,0.09749509,0.01179376,0.24042905
-5.78389195,0.67833525,0.00746776,0.08570018,0.09167124,0.10487042,0.01269727,0.25896981
-5.77788894,0.72520287,0.00799306,0.09150211,0.09812760,0.11203567,0.01357487,0.27711562
-5.77188594,0.77012265,0.00849667,0.09702174,0.10438112,0.11886800,0.01441228,0.29458434
-5.76588294,0.81233645,0.00897062,0.10215730,0.11033629,0.12524596,0.01519537,0.31109881
-5.75987994,0.85112005,0.00940725,0.10681109,0.11590290,0.13105308,0.01591062,0.32639505
-5.75387694,0.88580553,0.00979950,0.11089237,0.12099882,0.13618141,0.01654557,0.34023061
-5.74787394,0.91580270,0.01014109,0.11432032,0.12555264,0.14053503,0.01708923,0.35239241
-5.74187094,0.94061878,0.01042680,0.11702669,0.12950598,0.14403325,0.01753252,0.36270385
-5.73586793,0.95987500,0.01065260,0.11895812,0.13281536,0.14661337,0.01786857,0.37103072
-5.72986493,0.97331953,0.01081583,0.12007807,0.13545353,0.14823294,0.01809303,0.37728560
-5.72386193,0.98083573,0.01091524,0.12036816,0.13741022,0.14887124,0.01820424,0.38143048
-5.71785893,0.98244551,0.01095108,0.11982885,0.13869207,0.14853009,0.01820329,0.38347744
-5.71185593,0.97830725,0.01092500,0.11847953,0.13932193,0.14723373,0.01809406,0.38348728
-5.70585293,0.96870864,0.01084003,0.11635786,0.13933751,0.14502800,0.01788304,0.38156626
-5.69984992,0.95405443,0.01070043,0.11351854,0.13878926,0.14197861,0.01757915,0.37786090
-5.69384692,0.93485001,0.01051145,0.11003141,0.13773790,0.13816884,0.01719341,0.37255132
-5.68784392,0.91168141,0.01027919,0.10597909,0.13625143,0.13369651,0.01673853,0.36584335
-5.68184092,0.88519276,0.01001030,0.10145425,0.13440197,0.12867062,0.01622850,0.35795975
-5.67583792,0.85606247,0.00971173,0.09655659,0.13226254,0.12320761,0.01567805,0.34913125
-5.66983492,0.82497913,0.00939050,0.09138964,0.12990393,0.11742760,0.01510219,0.33958756
-5.66383192,0.79261848,0.00905343,0.08605772,0.12739189,0.11145062,0.01451568,0.32954910
-5.65782891,0.75962235,0.00870694,0.08066290,0.12478474,0.10539311,0.01393256,0.31921961
-5.65182591,0.72658071,0.00835683,0.07530234,0.12213156,0.09936484,0.01336575,0.30878026
-5.64582291,0.69401740,0.00800822,0.07006596,0.11947101,0.09346620,0.01282665,0.29838529
-5.63981991,0.66238019,0.00766539,0.06503459,0.11683087,0.08778629,0.01232490,0.28815942
-5.63381691,0.63203538,0.00733175,0.06027865,0.11422834,0.08240152,0.01186817,0.27819718
-5.62781391,0.60326701,0.00700989,0.05585736,0.11167091,0.07737495,0.01146206,0.26856395
-5.62181091,0.57628033,0.00670160,0.05181849,0.10915796,0.07275634,0.01111014,0.25929872
-5.61580790,0.55120927,0.00640798,0.04819871,0.10668278,0.06858273,0.01081397,0.25041819
-5.60980490,0.52812709,0.00612955,0.04502433,0.10423504,0.06487974,0.01057335,0.24192195
-5.60380190,0.50705958,0.00586641,0.04231250,0.10180337,0.06166316,0.01038653,0.23379850
-5.59779890,0.48799985,0.00561840,0.04007274,0.09937814,0.05894104,0.01025051,0.22603150
