energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,4.13238938,0.88756662,2.65509807,0.28800581,0.01852368,0.08533575,1.16895551,0.00000000
-5.99399700,4.11420516,0.89584479,2.60499480,0.30099374,0.01981220,0.07998572,1.18911503,0.00000000
-5.98799400,4.09748139,0.90459582,2.55641497,0.31460067,0.02110220,0.07485490,1.20891005,0.00000000
-5.98199100,4.08180759,0.91349786,2.50955308,0.32862080,0.02237816,0.06998744,1.22792794,0.00000000
-5.97598799,4.06664486,0.92219581,2.46452729,0.34282701,0.02362366,0.06541659,1.24572437,0.00000000
-5.96998499,4.05135299,0.93031574,2.42138425,0.35697639,0.02482184,0.06116482,1.26183930,0.00000000
-5.96398199,4.03522303,0.93748021,2.38010759,0.37081651,0.02595578,0.05724447,1.27581407,0.00000000
-5.95797899,4.01751370,0.94332378,2.34062953,0.38409215,0.02700892,0.05365867,1.28720885,0.00000000
-5.95197599,3.99748976,0.94750812,2.30284482,0.39655223,0.02796554,0.05040259,1.29561967,0.00000000
-5.94597299,3.97446053,0.94973595,2.26662616,0.40795676,0.02881115,0.04746492,1.30069437,0.00000000
-5.93996998,3.94781670,0.94976343,2.23184005,0.41808351,0.02953287,0.04482936,1.30214668,0.00000000
-5.93396698,3.91706355,0.94741042,2.19836229,0.42673414,0.03011979,0.04247631,1.29976799,0.00000000
-5.92796398,3.88184929,0.94256836,2.16609212,0.43373973,0.03056324,0.04038434,1.29343627,0.00000000
-5.92196098,3.84198716,0.93520540,2.13496436,0.43896525,0.03085696,0.03853171,1.28312194,0.00000000
-5.91595798,3.79747049,0.92536882,2.10495889,0.44231314,0.03099731,0.03689761,1.26889044,0.00000000
-5.90995498,3.74848023,0.91318459,2.07610706,0.44372569,0.03098324,0.03546329,1.25090155,0.00000000
-5.90395198,3.69538489,0.89885431,2.04849487,0.44318629,0.03081632,0.03421291,1.22940559,0.00000000
-5.89794897,3.63873303,0.88264971,2.02226283,0.44071950,0.03050062,0.03313413,1.20473679,0.00000000
-5.89194597,3.57923902,0.86490481,1.99760272,0.43638998,0.03004259,0.03221846,1.17730404,0.00000000
-5.88594297,3.51776275,0.84600641,1.97475154,0.43030044,0.02945079,0.03146143,1.14757961,0.00000000
-5.87993997,3.45528443,0.82638300,1.95398304,0.42258857,0.02873569,0.03086237,1.11608629,0.00000000
-5.87393697,3.39287568,0.80649261,1.93559755,0.41342332,0.02790939,0.03042415,1.08338331,0.00000000
-5.86793397,3.33166808,0.78680999,1.91991045,0.40300042,0.02698528,0.03015261,1.05005179,0.00000000
-5.86193097,3.27282043,0.76781359,1.90724009,0.39153757,0.02597776,0.03005591,1.01667998,0.00000000
-5.85592796,3.21748607,0.74997254,1.89789563,0.37926922,0.02490198,0.03014378,0.98384890,0.00000000
-5.84992496,3.16678119,0.73373422,1.89216534,0.36644128,0.02377348,0.03042660,0.95211869,0.00000000
-5.84392196,3.12175518,0.71951252,1.89030587,0.35330580,0.02260798,0.03091458,0.92201610,0.00000000
-5.83791896,3.08336391,0.70767725,1.89253276,0.34011584,0.02142114,0.03161684,0.89402333,0.00000000
-5.83191596,3.05244638,0.69854484,1.89901252,0.32712052,0.02022832,0.03254056,0.86856849,0.00000000
-5.82591296,3.02970541,0.69237058,1.90985635,0.31456045,0.01904440,0.03369020,0.84601782,0.00000000
-5.81990995,3.01569243,0.68934253,1.92511556,0.30266363,0.01788364,0.03506687,0.82666973,0.00000000
-5.81390695,3.01079657,0.68957732,1.94477874,0.29164173,0.01675952,0.03666772,0.81075079,0.00000000
-5.80790395,3.01523804,0.69311774,1.96877030,0.28168697,0.01568461,0.03848556,0.79841353,0.00000000
