energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.64350206,-0.55191366,0.22905109,-0.20255075,0.00000000,-0.00000000,0.20216391,-0.15014894,0.10393450,-0.08598515,0.02193875,-0.02683384,0.14847681,-0.11704231
-5.99399700,0.66703786,-0.56412541,0.23612970,-0.20490342,0.00000000,-0.00000000,0.21518116,-0.15966813,0.10796289,-0.08651523,0.02116106,-0.02561288,0.15646707,-0.12313428
-5.98799400,0.69172475,-0.57786239,0.24371674,-0.20788457,0.00000000,-0.00000000,0.22860877,-0.16965401,0.11246201,-0.08744258,0.02044802,-0.02449571,0.16464069,-0.12949533
-5.98199100,0.71730936,-0.59295938,0.25171079,-0.21144285,0.00000000,-0.00000000,0.24238439,-0.18006432,0.11739291,-0.08876478,0.01978571,-0.02347633,0.17295627,-0.13608230
-5.97598799,0.74354028,-0.60923296,0.26000743,-0.21551794,0.00000000,-0.00000000,0.25644316,-0.19085573,0.12271041,-0.09047528,0.01916046,-0.02254568,0.18137632,-0.14285147
-5.96998499,0.77017333,-0.62649292,0.26850120,-0.22004479,0.00000000,-0.00000000,0.27071783,-0.20198554,0.12836343,-0.09256481,0.01855952,-0.02169249,0.18986796,-0.14976055
-5.96398199,0.79697504,-0.64455279,0.27708699,-0.22495749,0.00000000,-0.00000000,0.28513856,-0.21341313,0.13429514,-0.09502265,0.01797163,-0.02090412,0.19840340,-0.15677071
-5.95797899,0.82372441,-0.66323895,0.28566087,-0.23019261,0.00000000,-0.00000000,0.29963265,-0.22510092,0.14044298,-0.09783756,0.01738740,-0.02016734,0.20695983,-0.16384813
-5.95197599,0.85021328,-0.68239776,0.29412055,-0.23569182,0.00000000,-0.00000000,0.31412404,-0.23701480,0.14673871,-0.10099838,0.01679963,-0.01946914,0.21551912,-0.17096524
-5.94597299,0.87624540,-0.70190031,0.30236543,-0.24140354,0.00000000,-0.00000000,0.32853290,-0.24912404,0.15310851,-0.10449411,0.01620345,-0.01879736,0.22406706,-0.17810156
-5.93996998,0.90163465,-0.72164462,0.31029656,-0.24728366,0.00000000,-0.00000000,0.34277538,-0.26140067,0.15947320,-0.10831361,0.01559632,-0.01814127,0.23259236,-0.18524398
-5.93396698,0.92620292,-0.74155522,0.31781656,-0.25329528,0.00000000,-0.00000000,0.35676350,-0.27381832,0.16574874,-0.11244485,0.01497793,-0.01749201,0.24108553,-0.19238660
