energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,7.07075854,7.79659714,3.67136292,0.01394268,1.98963248,1.48154548,0.00000000
-5.99399700,7.19178411,7.92378851,3.72896675,0.01418368,2.01743603,1.50935327,0.00000000
-5.98799400,7.29965492,8.04108353,3.77872548,0.01443807,2.04230983,1.53471278,0.00000000
-5.98199100,7.39183670,8.14541714,3.81942136,0.01469895,2.06353852,1.55710597,0.00000000
-5.97598799,7.46605727,8.23383470,3.84999996,0.01495960,2.08044211,1.57607602,0.00000000
-5.96998499,7.52036375,8.30357436,3.86959631,0.01521356,2.09239703,1.59123706,0.00000000
-5.96398199,7.55317289,8.35214762,3.87755684,0.01545469,2.09885664,1.60228217,0.00000000
-5.95797899,7.56331286,8.37741471,3.87345620,0.01567724,2.09936998,1.60898954,0.00000000
-5.95197599,7.55005492,8.37765186,3.85710855,0.01587587,2.09359823,1.61122660,0.00000000
-5.94597299,7.51313387,8.35160732,3.82857270,0.01604576,2.08132786,1.60895216,0.00000000
-5.93996998,7.45275625,8.29854374,3.78815103,0.01618256,2.06248000,1.60221640,0.00000000
-5.93396698,7.36959594,8.21826476,3.73638184,0.01628253,2.03711529,1.59115898,0.00000000
-5.92796398,7.26477698,8.11112469,3.67402558,0.01634249,2.00543427,1.57600498,0.00000000
-5.92196098,7.13984414,7.97802050,3.60204507,0.01635992,1.96777287,1.55705919,0.00000000
-5.91595798,6.99672189,7.82036644,3.52158029,0.01633295,1.92459337,1.53469855,0.00000000
-5.90995498,6.83766312,7.64005220,3.43391853,0.01626040,1.87647103,1.50936312,0.00000000
-5.90395198,6.66518899,7.43938632,3.34046067,0.01614182,1.82407701,1.48154564,0.00000000
-5.89794897,6.48202186,7.22102712,3.24268461,0.01597743,1.76815818,1.45178002,0.00000000
-5.89194597,6.29101332,6.98790395,3.14210690,0.01576821,1.70951466,1.42062878,0.00000000
-5.88594297,6.09506942,6.74313180,3.04024370,0.01551581,1.64897602,1.38866992,0.00000000
-5.87993997,5.89707551,6.48992268,2.93857218,0.01522256,1.58737693,1.35648331,0.00000000
-5.87393697,5.69982280,6.23149703,2.83849363,0.01489144,1.52553334,1.32463693,0.00000000
-5.86793397,5.50593891,5.97099834,2.74129904,0.01452598,1.46421996,1.29367333,0.00000000
-5.86193097,5.31782442,5.71141390,2.64813856,0.01413023,1.40414977,1.26409660,0.00000000
-5.85592796,5.13759733,5.45550427,2.55999539,0.01370867,1.34595638,1.23636010,0.00000000
-5.84992496,4.96704700,5.20574351,2.47766503,0.01326610,1.29017970,1.21085559,0.00000000
-5.84392196,4.80759890,4.96427173,2.40174051,0.01280757,1.23725523,1.18790384,0.00000000
-5.83791896,4.66029125,4.73286104,2.33260400,0.01233822,1.18750738,1.16774723,0.00000000
-5.83191596,4.52576423,4.51289531,2.27042506,0.01186321,1.14114682,1.15054472,0.00000000
-5.82591296,4.40426187,4.30536373,2.21516565,0.01138759,1.09827168,1.13636934,0.00000000
-5.81990995,4.29564678,4.11086763,2.16659165,0.01091620,1.05887267,1.12520850,0.00000000
-5.81390695,4.19942690,3.92963949,2.12429065,0.01045356,1.02284151,1.11696725,0.00000000
-5.80790395,4.11479355,3.76157294,2.08769530,0.01000380,0.98998243,1.11147443,0.00000000
-5.80190095,4.04066928,3.60626185,2.05611152,0.00957060,0.96002611,1.10849159,0.00000000
-5.79589795,3.97576380,3.46304681,2.02875057,0.00915710,0.93264553,1.10772454,0.00000000
-5.78989495,3.91863599,3.33106676,2.00476373,0.00876590,0.90747306,1.10883687,0.00000000
-5.78389195,3.86775952,3.20931367,1.98327845,0.00839902,0.88411810,1.11146523,0.00000000
-5.77788894,3.82158956,3.09668803,1.96343448,0.00805797,0.86218471,1.11523540,0.00000000
-5.77188594,3.77862802,2.99205307,1.94441863,0.00774368,0.84128837,1.11977868,0.00000000
-5.76588294,3.73748457,2.89428579,1.92549672,0.00745663,0.82107156,1.12474769,0.00000000
-5.75987994,3.69693101,2.80232283,1.90604147,0.00719689,0.80121738,1.12983080,0.00000000
-5.75387694,3.65594679,2.71519994,1.88555515,0.00696416,0.78146088,1.13476453,0.00000000
-5.74787394,3.61375380,2.63208376,1.86368609,0.00675789,0.76159774,1.13934325,0.00000000
-5.74187094,3.56983910,2.55229511,1.84023840,0.00657736,0.74149010,1.14342565,0.00000000
-5.73586793,3.52396484,2.47532357,1.81517448,0.00642174,0.72106944,1.14693762,0.00000000
