energy_ev,total_up,Ge_p_up,Ge_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.04148169,0.01399895,0.00000000,0.51204797,0.35892039,0.02961897,0.63651940
-5.99399700,1.09113330,0.01399722,0.00000000,0.54133513,0.37711097,0.03108049,0.66845736
-5.98799400,1.13595237,0.01390470,0.00000000,0.56853724,0.39366395,0.03240356,0.69750577
-5.98199100,1.17515707,0.01372472,0.00000000,0.59317867,0.40828613,0.03356457,0.72315392
-5.97598799,1.20804535,0.01346259,0.00000000,0.61481383,0.42071066,0.03454213,0.74493762
-5.96998499,1.23401710,0.01312549,0.00000000,0.63304103,0.43070535,0.03531774,0.76245366
-5.96398199,1.25259380,0.01272228,0.00000000,0.64751558,0.43808021,0.03587634,0.77537294
-5.95797899,1.26343517,0.01226333,0.00000000,0.65796145,0.44269375,0.03620682,0.78345159
-5.95197599,1.26635172,0.01176022,0.00000000,0.66418110,0.44445805,0.03630239,0.78653975
-5.94597299,1.26131297,0.01122551,0.00000000,0.66606283,0.44334200,0.03616082,0.78458742
-5.93996998,1.24845062,0.01067246,0.00000000,0.66358552,0.43937288,0.03578450,0.77764719
-5.93396698,1.22805665,0.01011478,0.00000000,0.65682023,0.43263592,0.03518043,0.76587369
-5.92796398,1.20057634,0.00956632,0.00000000,0.64592890,0.42327209,0.03435999,0.74951971
-5.92196098,1.16659642,0.00904092,0.00000000,0.63115985,0.41147399,0.03333858,0.72892922
-5.91595798,1.12682883,0.00855213,0.00000000,0.61284053,0.39748015,0.03213517,0.70452741
-5.90995498,1.08209074,0.00811303,0.00000000,0.59136757,0.38156791,0.03077172,0.67680836
-5.90395198,1.03328159,0.00773612,0.00000000,0.56719486,0.36404521,0.02927252,0.64632065
-5.89794897,0.98135812,0.00743313,0.00000000,0.54081984,0.34524165,0.02766348,0.61365167
-5.89194597,0.92730833,0.00721494,0.00000000,0.51276879,0.32549907,0.02597136,0.57941112
-5.88594297,0.87212526,0.00709148,0.00000000,0.48358171,0.30516222,0.02422313,0.54421444
-5.87993997,0.81678174,0.00707166,0.00000000,0.45379723,0.28456962,0.02244518,0.50866671
-5.87393697,0.76220669,0.00716325,0.00000000,0.42393833,0.26404521,0.02066272,0.47334767
-5.86793397,0.70926403,0.00737286,0.00000000,0.39449920,0.24389085,0.01889923,0.43879828
-5.86193097,0.65873447,0.00770581,0.00000000,0.36593372,0.22437995,0.01717598,0.40550920
-5.85592796,0.61130089,0.00816607,0.00000000,0.33864596,0.20575246,0.01551167,0.37391161
-5.84992496,0.56753734,0.00875615,0.00000000,0.31298278,0.18821122,0.01392220,0.34437031
-5.84392196,0.52790190,0.00947698,0.00000000,0.28922876,0.17191970,0.01242050,0.31717939
-5.83791896,0.49273327,0.01032780,0.00000000,0.26760337,0.15700120,0.01101654,0.29256025
-5.83191596,0.46225085,0.01130603,0.00000000,0.24826035,0.14353922,0.00971737,0.27066193
-5.82591296,0.43655805,0.01240717,0.00000000,0.23128912,0.13157904,0.00852727,0.25156341
-5.81990995,0.41564840,0.01362468,0.00000000,0.21671796,0.12113031,0.00744800,0.23527781
-5.81390695,0.39941399,0.01494986,0.00000000,0.20451869,0.11217036,0.00647906,0.22175794
-5.80790395,0.38765578,0.01637184,0.00000000,0.19461257,0.10464815,0.00561799,0.21090301
-5.80190095,0.38009534,0.01787753,0.00000000,0.18687704,0.09848863,0.00486073,0.20256619
-5.79589795,0.37638748,0.01945163,0.00000000,0.18115313,0.09359727,0.00420197,0.19656262
-5.78989495,0.37613347,0.02107676,0.00000000,0.17725301,0.08986470,0.00363545,0.19267763
-5.78389195,0.37889434,0.02273358,0.00000000,0.17496780,0.08717122,0.00315429,0.19067492
-5.77788894,0.38420410,0.02440102,0.00000000,0.17407493,0.08539107,0.00275129,0.19030448
-5.77188594,0.39158255,0.02605656,0.00000000,0.17434537,0.08439645,0.00241918,0.19131009
-5.76588294,0.40054736,0.02767664,0.00000000,0.17555016,0.08406112,0.00215082,0.19343628
-5.75987994,0.41062545,0.02923705,0.00000000,0.17746642,0.08426357,0.00193941,0.19643452
-5.75387694,0.42136336,0.03071345,0.00000000,0.17988261,0.08488969,0.00177858,0.20006880
-5.74787394,0.43233662,0.03208187,0.00000000,0.18260299,0.08583507,0.00166253,0.20412038
-5.74187094,0.44315781,0.03331934,0.00000000,0.18545138,0.08700671,0.00158606,0.20839167
-5.73586793,0.45348354,0.03440442,0.00000000,0.18827399,0.08832434,0.00154461,0.21270935
-5.72986493,0.46301990,0.03531779,0.00000000,0.19094157,0.08972124,0.00153428,0.21692665
-5.72386193,0.47152669,0.03604277,0.00000000,0.19335063,0.09114466,0.00155176,0.22092472
-5.71785893,0.47881998,0.03656584,0.00000000,0.19542406,0.09255585,0.00159432,0.22461331
-5.71185593,0.48477330,0.03687700,0.00000000,0.19711085,0.09392960,0.00165974,0.22793055
-5.70585293,0.48931721,0.03697012,0.00000000,0.19838521,0.09525361,0.00174624,0.23084200
-5.69984992,0.49243738,0.03684311,0.00000000,0.19924503,0.09652739,0.00185241,0.23333900
-5.69384692,0.49417115,0.03649803,0.00000000,0.19970970,0.09776091,0.00197709,0.23543628
-5.68784392,0.49460274,0.03594100,0.00000000,0.19981751,0.09897306,0.00211936,0.23716908
-5.68184092,0.49385714,0.03518206,0.00000000,0.19962250,0.10018982,0.00227836,0.23858965
-5.67583792,0.49209296,0.03423485,0.00000000,0.19919106,0.10144237,0.00245332,0.23976345
-5.66983492,0.48949437,0.03311618,0.00000000,0.19859821,0.10276495,0.00264339,0.24076494
-5.66383192,0.48626242,0.03184557,0.00000000,0.19792379,0.10419284,0.00284765,0.24167330
-5.65782891,0.48260610,0.03044461,0.00000000,0.19724859,0.10576016,0.00306501,0.24256810
-5.65182591,0.47873324,0.02893639,0.00000000,0.19665060,0.10749788,0.00329421,0.24352502
-5.64582291,0.47484181,0.02734482,0.00000000,0.19620140,0.10943186,0.00353371,0.24461190
-5.63981991,0.47111175,0.02569396,0.00000000,0.19596294,0.11158110,0.00378178,0.24588513
-5.63381691,0.46769765,0.02400745,0.00000000,0.19598469,0.11395619,0.00403637,0.24738652
-5.62781391,0.46472260,0.02230791,0.00000000,0.19630127,0.11655809,0.00429519,0.24914084
-5.62181091,0.46227334,0.02061644,0.00000000,0.19693068,0.11937721,0.00455569,0.25115397
-5.61580790,0.46039692,0.01895222,0.00000000,0.19787317,0.12239286,0.00481510,0.25341188
-5.60980490,0.45909900,0.01733219,0.00000000,0.19911077,0.12557311,0.00507043,0.25588036
-5.60380190,0.45834370,0.01577085,0.00000000,0.20060749,0.12887503,0.00531854,0.25850556
-5.59779890,0.45805529,0.01428012,0.00000000,0.20231021,0.13224542,0.00555618,0.26121533
-5.59179590,0.45812125,0.01286933,0.00000000,0.20415028,0.13562188,0.00578006,0.26392134
-5.58579290,0.45839692,0.01154528,0.00000000,0.20604563,0.13893435,0.00598689,0.26652179
-5.57978989,0.45871142,0.01031239,0.00000000,0.20790354,0.14210694,0.00617345,0.26890482
-5.57378689,0.45887456,0.00917288,0.00000000,0.20962378,0.14506015,0.00633671,0.27095233
-5.56778389,0.45868459,0.00812704,0.00000000,0.21110218,0.14771327,0.00647385,0.27254420
-5.56178089,0.45793651,0.00717348,0.00000000,0.21223437,0.14998704,0.00658235,0.27356270
-5.55577789,0.45643053,0.00630939,0.00000000,0.21291970,0.15180632,0.00666008,0.27389695
-5.54977489,0.45398050,0.00553089,0.00000000,0.21306510,0.15310283,0.00670536,0.27344734
