energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.68814850,0.00518525,0.00769005,0.01228653,0.92465818,0.68211929,0.42163975
-5.99399700,1.81528308,0.00585391,0.00844620,0.01270740,0.98672868,0.72908576,0.46735382
-5.98799400,1.94813451,0.00657467,0.00922689,0.01310717,1.05098014,0.77771768,0.51622028
-5.98199100,2.08586286,0.00734476,0.01002817,0.01348107,1.11696273,0.82768880,0.56799856
-5.97598799,2.22739558,0.00816001,0.01084673,0.01382407,1.18411773,0.87859993,0.62235278
-5.96998499,2.37143569,0.00901488,0.01168043,0.01413101,1.25178337,0.92998493,0.67885099
-5.96398199,2.51648029,0.00990243,0.01252888,0.01439686,1.31920551,0.98132042,0.73696809
-5.95797899,2.66084955,0.01081437,0.01339417,0.01461688,1.38555342,1.03203925,0.79609264
-5.95197599,2.80272582,0.01174123,0.01428167,0.01478689,1.44994008,1.08154758,0.85553783
-5.94597299,2.94020198,0.01267245,0.01520091,0.01490349,1.51144666,1.12924501,0.91455631
-5.93996998,3.07133771,0.01359669,0.01616668,0.01496430,1.56915025,1.17454736,0.97235882
-5.93396698,3.19422174,0.01450201,0.01720011,0.01496816,1.62215391,1.21691121,1.02813587
-5.92796398,3.30703799,0.01537628,0.01832990,0.01491536,1.66961789,1.25585958,1.08108200
-5.92196098,3.40813290,0.01620746,0.01959366,0.01480774,1.71079071,1.29100755,1.13042154
-5.91595798,3.49608134,0.01698396,0.02103926,0.01464883,1.74503889,1.32208708,1.17543501
-5.90995498,3.56974810,0.01769505,0.02272625,0.01444393,1.77187384,1.34896978,1.21548488
-5.90395198,3.62834235,0.01833119,0.02472729,0.01420011,1.79097493,1.37168687,1.25003969
-5.89794897,3.67146236,0.01888433,0.02712946,0.01392619,1.80220734,1.39044511,1.27869515
-5.89194597,3.69912824,0.01934821,0.03003558,0.01363266,1.80563403,1.40563811,1.30119144
-5.88594297,3.71180080,0.01971859,0.03356518,0.01333158,1.80152094,1.41785214,1.31742546
-5.87993997,3.71038528,0.01999334,0.03785538,0.01303640,1.79033516,1.42786590,1.32745756
-5.87393697,3.69621925,0.02017258,0.04306125,0.01276181,1.77273586,1.43664391,1.33151213
-5.86793397,3.67104454,0.02025857,0.04935576,0.01252348,1.74955814,1.44532332,1.32997181
-5.86193097,3.63696398,0.02025569,0.05692917,0.01233782,1.72179045,1.45519414,1.32336560
-5.85592796,3.59638417,0.02017014,0.06598766,0.01222175,1.69054619,1.46767324,1.31235104
-5.84992496,3.55194631,0.02000978,0.07675123,0.01219240,1.65703064,1.48427247,1.29769139
-5.84392196,3.50644743,0.01978369,0.08945068,0.01226681,1.62250444,1.50656175,1.28022855
-5.83791896,3.46275513,0.01950188,0.10432359,0.01246165,1.58824512,1.53612789,1.26085319
-5.83191596,3.42371893,0.01917478,0.12160942,0.01279287,1.55550808,1.57453028,1.24047307
-5.82591296,3.39208176,0.01881289,0.14154349,0.01327543,1.52548872,1.62325478,1.21998137
-5.81990995,3.37039496,0.01842635,0.16435011,0.01392295,1.49928708,1.68366688,1.20022608
-5.81390695,3.36093996,0.01802454,0.19023480,0.01474741,1.47787651,1.75696597,1.18198222
-5.80790395,3.36565998,0.01761573,0.21937588,0.01575886,1.46207758,1.84414172,1.16592771
-5.80190095,3.38610378,0.01720686,0.25191550,0.01696510,1.45253808,1.94593447,1.15262428
-5.79589795,3.42338394,0.01680334,0.28795060,0.01837139,1.44971993,2.06280062,1.14250392
-5.78989495,3.47815058,0.01640888,0.32752384,0.01998027,1.45389327,2.19488456,1.13586149
-5.78389195,3.55058145,0.01602557,0.37061514,0.02179128,1.46513775,2.34199805,1.13285347
-5.77788894,3.64038795,0.01565385,0.41713407,0.02380084,1.48335060,2.50360803,1.13350276
-5.77188594,3.74683648,0.01529274,0.46691351,0.02600209,1.50826094,2.67883349,1.13770897
-5.76588294,3.86878338,0.01493997,0.51970503,0.02838486,1.53944921,2.86645156,1.14526339
-5.75987994,4.00472146,0.01459231,0.57517632,0.03093566,1.57637050,3.06491311,1.15586764
-5.75387694,4.15283555,0.01424583,0.63291102,0.03363774,1.61838055,3.27236736,1.16915473
-5.74787394,4.31106410,0.01389625,0.69241116,0.03647121,1.66476273,3.48669505,1.18471145
-5.74187094,4.47716400,0.01353924,0.75310238,0.03941328,1.71475470,3.70554910,1.20210054
-5.73586793,4.64877553,0.01317071,0.81434198,0.04243847,1.76757334,3.92640187,1.22088168
-5.72986493,4.82348484,0.01278711,0.87542965,0.04551900,1.82243675,4.14659747,1.24063010
-5.72386193,4.99888147,0.01238561,0.93562078,0.04862511,1.87858234,4.36340766,1.26095202
-5.71785893,5.17260918,0.01196431,0.99414194,0.05172552,1.93528061,4.57408977,1.28149623
-5.71185593,5.34240868,0.01152231,1.05020810,0.05478791,1.99184407,4.77594491,1.30196169
-5.70585293,5.50615176,0.01105976,1.10304102,0.05777941,2.04763164,4.96637504,1.32210090
-5.69984992,5.66186668,0.01057785,1.15188826,0.06066712,2.10204887,5.14293701,1.34171949
-5.69384692,5.80775539,0.01007872,1.19604204,0.06341864,2.15454475,5.30339258,1.36067238
-5.68784392,5.94220369,0.00956534,1.23485733,0.06600267,2.20460609,5.44575291,1.37885730
-5.68184092,6.06378569,0.00904138,1.26776850,0.06838948,2.25175055,5.56831654,1.39620651
-5.67583792,6.17126407,0.00851099,1.29430392,0.07055145,2.29551962,5.66970019,1.41267748
-5.66983492,6.26358792,0.00797860,1.31409784,0.07246361,2.33547251,5.74886168,1.42824354
-5.66383192,6.33988960,0.00744877,1.32689936,0.07410406,2.37118208,5.80511462,1.44288521
-5.65782891,6.39948183,0.00692598,1.33257797,0.07545442,2.40223344,5.83813484,1.45658289
-5.65182591,6.44185589,0.00641444,1.33112559,0.07650017,2.42822574,5.84795852,1.46931132
-5.64582291,6.46668147,0.00591801,1.32265511,0.07723096,2.44877725,5.83497236,1.48103611
-5.63981991,6.47380789,0.00544001,1.30739548,0.07764086,2.46353348,5.79989607,1.49171238
-5.63381691,6.46326643,0.00498323,1.28568364,0.07772842,2.47217781,5.74375794,1.50128530
-5.62781391,6.43527276,0.00454983,1.25795370,0.07749680,2.47444383,5.66786398,1.50969221
