energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,10.00169673,0.01092841,0.74889841,0.30930992,3.69335859,5.64735637,0.06896764,3.36538178
-5.99399700,10.28815564,0.01120186,0.75746744,0.32753318,3.76565286,5.84748534,0.06969036,3.44134920
-5.98799400,10.55807931,0.01153815,0.76647172,0.34510015,3.82941001,6.04296909,0.07041675,3.50563638
-5.98199100,10.80770701,0.01192853,0.77550818,0.36172459,3.88290153,6.23149386,0.07113883,3.55748850
-5.97598799,11.03381208,0.01236369,0.78418471,0.37712878,3.92469894,6.41092691,0.07185347,3.59647094
-5.96998499,11.23379175,0.01283410,0.79212886,0.39105048,3.95371242,6.57937643,0.07256281,3.62248508
-5.96398199,11.40573933,0.01333031,0.79899564,0.40324976,3.96921753,6.73524676,0.07327436,3.63577338
-5.95797899,11.54849718,0.01384336,0.80447440,0.41351574,3.97086938,6.87728751,0.07400106,3.63691362
-5.95197599,11.66168923,0.01436507,0.80829456,0.42167273,3.95870418,7.00463510,0.07476094,3.62680254
-5.94597299,11.74573212,0.01488843,0.81023042,0.42758575,3.93312839,7.11684515,0.07557673,3.60662965
-5.93996998,11.80182466,0.01540781,0.81010487,0.43116497,3.89489625,7.21391435,0.07647514,3.57784213
-5.93396698,11.83191541,0.01591924,0.80779202,0.43236906,3.84507672,7.29629020,0.07748608,3.54210205
-5.92796398,11.83864883,0.01642051,0.80321882,0.43120706,3.78501124,7.36486754,0.07864162,3.50123728
-5.92196098,11.82529067,0.01691126,0.79636556,0.42773877,3.71626393,7.42097081,0.07997486,3.45718765
-5.91595798,11.79563389,0.01739293,0.78726525,0.42207356,3.64056606,7.46632140,0.08151875,3.41194798
-5.90995498,11.75388688,0.01786867,0.77600189,0.41436752,3.55975680,7.50298986,0.08330474,3.36750964
-5.90395198,11.70454632,0.01834310,0.76270755,0.40481914,3.47572219,7.53333366,0.08536148,3.32580222
