energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.08433834,0.01386460,0.43847851,0.29316650,0.00000000,0.51822414,0.47175354
-5.99399700,1.04951120,0.01325279,0.43015819,0.27804822,0.00000000,0.50171621,0.46328819
-5.98799400,1.01282803,0.01263511,0.42064631,0.26283837,0.00000000,0.48447591,0.45338788
-5.98199100,0.97448840,0.01201241,0.40994370,0.24767633,0.00000000,0.46659930,0.44204635
-5.97598799,0.93473066,0.01138578,0.39808135,0.23269685,0.00000000,0.44819558,0.42929318
-5.96998499,0.89383183,0.01075667,0.38512205,0.21802838,0.00000000,0.42938796,0.41519526
-5.96398199,0.85210596,0.01012684,0.37116085,0.20379139,0.00000000,0.41031378,0.39985683
-5.95797899,0.80990052,0.00949836,0.35632413,0.19009686,0.00000000,0.39112351,0.38341817
-5.95197599,0.76759128,0.00887363,0.34076745,0.17704481,0.00000000,0.37197896,0.36605296
-5.94597299,0.72557565,0.00825532,0.32467239,0.16472312,0.00000000,0.35305056,0.34796447
-5.93996998,0.68426505,0.00764628,0.30824229,0.15320644,0.00000000,0.33451393,0.32938077
-5.93396698,0.64407648,0.00704949,0.29169740,0.14255543,0.00000000,0.31654606,0.31054922
-5.92796398,0.60542395,0.00646799,0.27526960,0.13281627,0.00000000,0.29932119,0.29173057
-5.92196098,0.56871020,0.00590475,0.25919696,0.12402047,0.00000000,0.28300680,0.27319283
-5.91595798,0.53431916,0.00536260,0.24371847,0.11618511,0.00000000,0.26776000,0.25520540
-5.90995498,0.50260953,0.00484417,0.22906916,0.10931344,0.00000000,0.25372451,0.23803351
-5.90395198,0.47390993,0.00435175,0.21547582,0.10339591,0.00000000,0.24102856,0.22193328
-5.89794897,0.44851563,0.00388729,0.20315347,0.09841157,0.00000000,0.22978373,0.20714754
-5.89194597,0.42668711,0.00345233,0.19230265,0.09432995,0.00000000,0.22008506,0.19390240
-5.88594297,0.40865032,0.00304796,0.18310756,0.09111314,0.00000000,0.21201221,0.18240469
-5.87993997,0.39459841,0.00267480,0.17573491,0.08871829,0.00000000,0.20563181,0.17284011
-5.87393697,0.38469474,0.00233305,0.17033346,0.08710026,0.00000000,0.20100074,0.16537201
-5.86793397,0.37907669,0.00202245,0.16703402,0.08621439,0.00000000,0.19817020,0.16014061
-5.86193097,0.37785982,0.00174235,0.16594964,0.08601933,0.00000000,0.19719036,0.15726250
-5.85592796,0.38114198,0.00149175,0.16717597,0.08647970,0.00000000,0.19811515,0.15683023
-5.84992496,0.38900677,0.00126934,0.17079136,0.08756864,0.00000000,0.20100713,0.15891177
-5.84392196,0.40152613,0.00107357,0.17685667,0.08926998,0.00000000,0.20594184,0.16354974
-5.83791896,0.41876151,0.00090271,0.18541465,0.09158002,0.00000000,0.21301152,0.17076031
-5.83191596,0.44076359,0.00075493,0.19648871,0.09450882,0.00000000,0.22232794,0.18053168
-5.82591296,0.46757035,0.00062829,0.21008124,0.09808094,0.00000000,0.23402397,0.19282227
-5.81990995,0.49920355,0.00052089,0.22617140,0.10233547,0.00000000,0.24825391,0.20755869
-5.81390695,0.53566391,0.00043083,0.24471256,0.10732558,0.00000000,0.26519236,0.22463357
-5.80790395,0.57692514,0.00035632,0.26562972,0.11311729,0.00000000,0.28503160,0.24390363
-5.80190095,0.62292741,0.00029564,0.28881686,0.11978769,0.00000000,0.30797765,0.26518819
-5.79589795,0.67357060,0.00024723,0.31413481,0.12742263,0.00000000,0.33424486,0.28826827
-5.78989495,0.72870800,0.00020966,0.34140973,0.13611378,0.00000000,0.36404946,0.31288679
-5.78389195,0.78814086,0.00018166,0.37043243,0.14595545,0.00000000,0.39760202,0.33874992
-5.77788894,0.85161435,0.00016212,0.40095899,0.15704092,0.00000000,0.43509913,0.36552988
-5.77188594,0.91881524,0.00015008,0.43271250,0.16945866,0.00000000,0.47671461,0.39286916
-5.76588294,0.98937167,0.00014471,0.46538635,0.18328839,0.00000000,0.52259036,0.42038641
-5.75987994,1.06285506,0.00014531,0.49864882,0.19859708,0.00000000,0.57282720,0.44768368
-5.75387694,1.13878414,0.00015131,0.53214898,0.21543513,0.00000000,0.62747590,0.47435499
-5.74787394,1.21663102,0.00016221,0.56552374,0.23383266,0.00000000,0.68652865,0.49999590
-5.74187094,1.29582885,0.00017761,0.59840572,0.25379613,0.00000000,0.74991117,0.52421367
