energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.79243099,0.00952443,0.05678615,0.01259047,0.00000000,0.54629724,0.05369333,0.44804974,0.00000000
-5.99399700,0.76844499,0.00898682,0.05822335,0.01193291,0.00000000,0.55024912,0.05329632,0.43108447,0.00000000
-5.98799400,0.74656552,0.00855250,0.05967008,0.01132424,0.00000000,0.55381170,0.05310788,0.41523179,0.00000000
-5.98199100,0.72687215,0.00822457,0.06112815,0.01076412,0.00000000,0.55701637,0.05313630,0.40053840,0.00000000
-5.97598799,0.70939803,0.00800444,0.06259990,0.01025089,0.00000000,0.55990981,0.05338583,0.38702574,0.00000000
-5.96998499,0.69413266,0.00789171,0.06408766,0.00978175,0.00000000,0.56255017,0.05385647,0.37469219,0.00000000
-5.96398199,0.68102478,0.00788408,0.06559319,0.00935307,0.00000000,0.56500194,0.05454371,0.36351539,0.00000000
-5.95797899,0.66998519,0.00797734,0.06711696,0.00896059,0.00000000,0.56732978,0.05543838,0.35345441,0.00000000
-5.95197599,0.66088935,0.00816538,0.06865737,0.00859974,0.00000000,0.56959169,0.05652655,0.34445192,0.00000000
-5.94597299,0.65357989,0.00844024,0.07021002,0.00826577,0.00000000,0.57183201,0.05778946,0.33643605,0.00000000
-5.93996998,0.64786908,0.00879218,0.07176703,0.00795405,0.00000000,0.57407468,0.05920356,0.32932220,0.00000000
-5.93396698,0.64354151,0.00920992,0.07331645,0.00766017,0.00000000,0.57631733,0.06074078,0.32301463,0.00000000
-5.92796398,0.64035712,0.00968074,0.07484197,0.00738010,0.00000000,0.57852667,0.06236883,0.31740817,0.00000000
-5.92196098,0.63805491,0.01019083,0.07632279,0.00711032,0.00000000,0.58063565,0.06405177,0.31238988,0.00000000
-5.91595798,0.63635740,0.01072551,0.07773376,0.00684781,0.00000000,0.58254259,0.06575076,0.30784098,0.00000000
-5.90995498,0.63497612,0.01126958,0.07904591,0.00659020,0.00000000,0.58411275,0.06742500,0.30363906,0.00000000
-5.90395198,0.63361805,0.01180771,0.08022721,0.00633567,0.00000000,0.58518203,0.06903288,0.29966052,0.00000000
-5.89794897,0.63199318,0.01232478,0.08124364,0.00608302,0.00000000,0.58556311,0.07053321,0.29578353,0.00000000
-5.89194597,0.62982271,0.01280633,0.08206044,0.00583160,0.00000000,0.58505345,0.07188668,0.29189107,0.00000000
-5.88594297,0.62684801,0.01323890,0.08264369,0.00558127,0.00000000,0.58344493,0.07305729,0.28787445,0.00000000
-5.87993997,0.62283969,0.01361045,0.08296179,0.00533239,0.00000000,0.58053463,0.07401381,0.28363676,0.00000000
-5.87393697,0.61760656,0.01391068,0.08298719,0.00508572,0.00000000,0.57613608,0.07473118,0.27909636,0.00000000
-5.86793397,0.61100398,0.01413136,0.08269786,0.00484240,0.00000000,0.57009048,0.07519176,0.27419015,0.00000000
-5.86193097,0.60294100,0.01426660,0.08207875,0.00460386,0.00000000,0.56227707,0.07538636,0.26887640,0.00000000
-5.85592796,0.59338611,0.01431302,0.08112299,0.00437181,0.00000000,0.55262238,0.07531500,0.26313704,0.00000000
-5.84992496,0.58237099,0.01426985,0.07983276,0.00414819,0.00000000,0.54110742,0.07498740,0.25697912,0.00000000
-5.84392196,0.56999209,0.01413902,0.07821990,0.00393509,0.00000000,0.52777284,0.07442300,0.25043547,0.00000000
-5.83791896,0.55640984,0.01392512,0.07630606,0.00373474,0.00000000,0.51272147,0.07365075,0.24356438,0.00000000
-5.83191596,0.54184540,0.01363522,0.07412250,0.00354949,0.00000000,0.49611826,0.07270840,0.23644822,0.00000000
-5.82591296,0.52657507,0.01327878,0.07170957,0.00338173,0.00000000,0.47818760,0.07164154,0.22919118,0.00000000
-5.81990995,0.51092249,0.01286729,0.06911571,0.00323389,0.00000000,0.45920816,0.07050225,0.22191605,0.00000000
-5.81390695,0.49524895,0.01241406,0.06639625,0.00310840,0.00000000,0.43950549,0.06934749,0.21476023,0.00000000
-5.80790395,0.47994221,0.01193379,0.06361189,0.00300764,0.00000000,0.41944286,0.06823734,0.20787111,0.00000000
-5.80190095,0.46540427,0.01144218,0.06082705,0.00293391,0.00000000,0.39941059,0.06723305,0.20140105,0.00000000
-5.79589795,0.45203850,0.01095556,0.05810800,0.00288940,0.00000000,0.37981450,0.06639503,0.19550211,0.00000000
-5.78989495,0.44023669,0.01049042,0.05552104,0.00287612,0.00000000,0.36106382,0.06578094,0.19032072,0.00000000
