energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.35398337,0.61438464,1.69774825,0.02388163,1.05867361,0.07268063,1.89248959,2.15886922,1.24043170
-5.99399700,6.36105766,0.61939787,1.70602102,0.02377596,1.05669648,0.07390490,1.89149642,2.16434782,1.23963980
-5.98799400,6.36733356,0.62380544,1.71340536,0.02368526,1.05547600,0.07520971,1.88917317,2.16884125,1.23975888
-5.98199100,6.37283656,0.62758281,1.72009268,0.02361278,1.05492751,0.07659188,1.88555623,2.17225611,1.24071402
-5.97598799,6.37769355,0.63073018,1.72631514,0.02356059,1.05496751,0.07804680,1.88073355,2.17455518,1.24242608
-5.96998499,6.38211594,0.63327083,1.73233521,0.02352959,1.05551347,0.07956845,1.87483867,2.17575441,1.24481087
-5.96398199,6.38637743,0.63524852,1.73843343,0.02351959,1.05648292,0.08114946,1.86804267,2.17591722,1.24777786
-5.95797899,6.39078787,0.63672399,1.74489509,0.02352941,1.05779231,0.08278114,1.86054444,2.17514631,1.25122888
-5.95197599,6.39566487,0.63777088,1.75199642,0.02355696,1.05935546,0.08445352,1.85255987,2.17357361,1.25505675
-5.94597299,6.40130504,0.63847120,1.75999119,0.02359948,1.06108215,0.08615544,1.84431033,2.17134897,1.25914408
-5.93996998,6.40795643,0.63891070,1.76909843,0.02365367,1.06287672,0.08787463,1.83601138,2.16862827,1.26336243
-5.93396698,6.41579419,0.63917425,1.77949190,0.02371590,1.06463701,0.08959776,1.82786202,2.16556165,1.26757194
-5.92796398,6.42490077,0.63934179,1.79129210,0.02378244,1.06625374,0.09131056,1.82003529,2.16228250,1.27162144
-5.92196098,6.43525220,0.63948472,1.80456124,0.02384965,1.06761042,0.09299795,1.81267058,2.15889790,1.27534931
-5.91595798,6.44671130,0.63966331,1.81930150,0.02391415,1.06858379,0.09464414,1.80586809,2.15548099,1.27858489
-5.90995498,6.45902853,0.63992502,1.83545691,0.02397301,1.06904498,0.09623286,1.79968588,2.15206571,1.28115069
-5.90395198,6.47185064,0.64030398,1.85291860,0.02402390,1.06886130,0.09774747,1.79413938,2.14864418,1.28286522
-5.89794897,6.48473679,0.64082158,1.87153343,0.02406519,1.06789859,0.09917127,1.78920372,2.14516684,1.28354646
-5.89194597,6.49718156,0.64148817,1.89111543,0.02409605,1.06602418,0.10048769,1.78481840,2.14154527,1.28301593
-5.88594297,6.50864351,0.64230567,1.91145947,0.02411652,1.06311025,0.10168062,1.78089421,2.13765761,1.28110317
-5.87993997,6.51857804,0.64327094,1.93235648,0.02412749,1.05903753,0.10273471,1.77732192,2.13335606,1.27765058
-5.87393697,6.52647240,0.64437970,1.95360934,0.02413067,1.05369925,0.10363570,1.77398217,2.12847616,1.27251836
-5.86793397,6.53188129,0.64563052,1.97504843,0.02412857,1.04700507,0.10437078,1.77075596,2.12284721,1.26558946
