energy_ev,total_up,B_p_up,B_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,5.64386897,1.04408015,0.00000000,2.87107882,4.12733581,0.42597868,0.00000000
-5.99399700,5.41882288,1.00092023,0.00000000,2.75372240,3.96168645,0.41535186,0.00000000
-5.98799400,5.18751534,0.95602786,0.00000000,2.63459989,3.79077780,0.40467576,0.00000000
-5.98199100,4.95351394,0.91003861,0.00000000,2.51571608,3.61710108,0.39431608,0.00000000
-5.97598799,4.72044621,0.86359731,0.00000000,2.39908783,3.44319838,0.38464737,0.00000000
-5.96998499,4.49190412,0.81734204,0.00000000,2.28668655,3.27159776,0.37604147,0.00000000
-5.96398199,4.27134893,0.77188821,0.00000000,2.18038114,3.10474827,0.36885593,0.00000000
-5.95797899,4.06202000,0.72781355,0.00000000,2.08188370,2.94495755,0.36342266,0.00000000
-5.95197599,3.86685107,0.68564437,0.00000000,1.99270018,2.79433448,0.36003748,0.00000000
-5.94597299,3.68839735,0.64584367,0.00000000,1.91408802,2.65473882,0.35895074,0.00000000
-5.93996998,3.52877575,0.60880144,0.00000000,1.84702229,2.52773979,0.36035955,0.00000000
-5.93396698,3.38962044,0.57482738,0.00000000,1.79217147,2.41458486,0.36440175,0.00000000
-5.92796398,3.27205488,0.54414644,0.00000000,1.74988369,2.31617965,0.37115189,0.00000000
-5.92196098,3.17668091,0.51689686,0.00000000,1.72018357,2.23307924,0.38061937,0.00000000
-5.91595798,3.10358452,0.49313110,0.00000000,1.70277953,2.16549081,0.39274860,0.00000000
-5.90995498,3.05235748,0.47281912,0.00000000,1.69708088,2.11328685,0.40742130,0.00000000
-5.90395198,3.02213333,0.45585406,0.00000000,1.70222382,2.07602807,0.42446071,0.00000000
-5.89794897,3.01163540,0.44205979,0.00000000,1.71710494,2.05299438,0.44363743,0.00000000
-5.89194597,3.01923473,0.43120013,0.00000000,1.74042077,2.04322244,0.46467677,0.00000000
-5.88594297,3.04301492,0.42298918,0.00000000,1.77071179,2.04554785,0.48726707,0.00000000
-5.87993997,3.08084125,0.41710245,0.00000000,1.80640905,2.05865005,0.51106893,0.00000000
-5.87393697,3.13043118,0.41318830,0.00000000,1.84588170,2.08109815,0.53572465,0.00000000
-5.86793397,3.18942370,0.41087935,0.00000000,1.88748396,2.11139585,0.56086784,0.00000000
-5.86193097,3.25544514,0.40980345,0.00000000,1.92959969,2.14802395,0.58613263,0.00000000
-5.85592796,3.32616943,0.40959391,0.00000000,1.97068358,2.18947920,0.61116230,0.00000000
-5.84992496,3.39937146,0.40989872,0.00000000,2.00929760,2.23430852,0.63561713,0.00000000
-5.84392196,3.47297228,0.41038871,0.00000000,2.04414200,2.28113798,0.65918108,0.00000000
-5.83791896,3.54507577,0.41076426,0.00000000,2.07408023,2.32869629,0.68156742,0.00000000
-5.83191596,3.61399658,0.41076073,0.00000000,2.09815752,2.37583288,0.70252302,0.00000000
-5.82591296,3.67827974,0.41015256,0.00000000,2.11561296,2.42153077,0.72183155,0.00000000
-5.81990995,3.73671263,0.40875598,0.00000000,2.12588540,2.46491502,0.73931535,0.00000000
-5.81390695,3.78833019,0.40643053,0.00000000,2.12861345,2.50525717,0.75483630,0.00000000
-5.80790395,3.83241451,0.40307946,0.00000000,2.12363027,2.54197671,0.76829579,0.00000000
-5.80190095,3.86848989,0.39864914,0.00000000,2.11095359,2.57464010,0.77963380,0.00000000
-5.79589795,3.89631449,0.39312762,0.00000000,2.09077207,2.60295824,0.78882741,0.00000000
-5.78989495,3.91586948,0.38654249,0.00000000,2.06342850,2.62678277,0.79588883,0.00000000
-5.78389195,3.92734648,0.37895812,0.00000000,2.02940082,2.64610167,0.80086304,0.00000000
