energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,6.32383067,4.05565781,0.00000000,0.06893481,0.75601515,7.06311237,3.13577822
-5.99399700,6.40013978,4.08212047,0.00000000,0.07074393,0.77706616,7.18763346,3.14156203
-5.98799400,6.47067950,4.10904654,0.00000000,0.07229739,0.79518890,7.30706998,3.14896321
-5.98199100,6.53640727,4.13774301,0.00000000,0.07357278,0.81014998,7.42192744,3.15934527
-5.97598799,6.59801848,4.16920956,0.00000000,0.07455020,0.82176414,7.53237564,3.17379766
-5.96998499,6.65589875,4.20408240,0.00000000,0.07521284,0.82990164,7.63820468,3.19308259
-5.96398199,6.71009224,4.24259379,0.00000000,0.07554742,0.83449444,7.73879976,3.21759540
-5.95797899,6.76028741,4.28454912,0.00000000,0.07554474,0.83554090,7.83313662,3.24734039
-5.95197599,6.80582138,4.32932291,0.00000000,0.07520002,0.83310876,7.91979814,3.28192337
-5.94597299,6.84570261,4.37587402,0.00000000,0.07451322,0.82733632,7.99701202,3.32056140
-5.93996998,6.87865130,4.42277961,0.00000000,0.07348930,0.81843164,8.06270812,3.36210939
-5.93396698,6.90315574,4.46828665,0.00000000,0.07213831,0.80666991,8.11459339,3.40510257
-5.92796398,6.91754239,4.51037867,0.00000000,0.07047531,0.79238901,8.15024130,3.44781314
-5.92196098,6.92005654,4.54685511,0.00000000,0.06852030,0.77598347,8.16719200,3.48831874
-5.91595798,6.90895012,4.57541982,0.00000000,0.06629785,0.75789697,8.16305902,3.52457980
-5.90995498,6.88257284,4.59377483,0.00000000,0.06383672,0.73861382,8.13563762,3.55452260
-5.90395198,6.83946239,4.59971547,0.00000000,0.06116929,0.71864949,8.08301015,3.57612442
-5.89794897,6.77842985,4.59122258,0.00000000,0.05833090,0.69854061,8.00364359,3.58749724
-5.89194597,6.69863611,4.56654788,0.00000000,0.05535914,0.67883475,7.89647476,3.58696634
-5.88594297,6.59965607,4.52428887,0.00000000,0.05229298,0.66008016,7.76097942,3.57314066
-5.87993997,6.48152730,4.46345001,0.00000000,0.04917201,0.64281571,7.59722181,3.54497185
-5.87393697,6.34478102,4.38348781,0.00000000,0.04603552,0.62756133,7.40588256,3.50179972
-5.86793397,6.19045382,4.28433793,0.00000000,0.04292169,0.61480910,7.18826347,3.44338235
-5.86193097,6.02007954,4.16642354,0.00000000,0.03986683,0.60501501,6.94626898,3.36990988
-5.85592796,5.83566159,4.03064493,0.00000000,0.03690467,0.59859171,6.68236513,3.28200158
-5.84992496,5.63962688,3.87835117,0.00000000,0.03406575,0.59590221,6.39951804,3.18068692
-5.84392196,5.43476352,3.71129559,0.00000000,0.03137693,0.59725461,6.10111448,3.06737157
-5.83791896,5.22414493,3.53157737,0.00000000,0.02886107,0.60289802,5.79086838,2.94379044
-5.83191596,5.01104378,3.34157226,0.00000000,0.02653680,0.61301952,5.47271721,2.81194978
-5.82591296,4.79883938,3.14385567,0.00000000,0.02441842,0.62774235,5.15071286,2.67406136
-5.81990995,4.59092233,2.94112166,0.00000000,0.02251601,0.64712523,4.82891156,2.53247148
-5.81390695,4.39060038,2.73610133,0.00000000,0.02083558,0.67116270,4.51126720,2.38958780
-5.80790395,4.20100894,2.53148403,0.00000000,0.01937936,0.69978660,4.20153224,2.24780704
-5.80190095,4.02502938,2.32984420,0.00000000,0.01814622,0.73286841,3.90316947,2.10944611
-5.79589795,3.86521792,2.13357664,0.00000000,0.01713209,0.77022242,3.61927766,1.97667911
-5.78989495,3.72374686,1.94484194,0.00000000,0.01633047,0.81160967,3.35253281,1.85148207
-5.78389195,3.60235978,1.76552357,0.00000000,0.01573292,0.85674227,3.10514625,1.73558701
-5.77788894,3.50234114,1.59719734,0.00000000,0.01532965,0.90528834,2.87883986,1.63044620
-5.77188594,3.42450047,1.44111333,0.00000000,0.01510993,0.95687706,2.67483789,1.53720712
-5.76588294,3.36917079,1.29818979,0.00000000,0.01506262,1.01110399,2.49387433,1.45669828
-5.75987994,3.33622007,1.16901826,0.00000000,0.01517650,1.06753649,2.33621400,1.38942541
-5.75387694,3.32507487,1.05387851,0.00000000,0.01544067,1.12571928,2.20168562,1.33557737
-5.74787394,3.33475440,0.95276175,0.00000000,0.01584476,1.18518004,2.08972423,1.29504101
-5.74187094,3.36391363,0.86540047,0.00000000,0.01637916,1.24543525,1.99942092,1.26742357
-5.73586793,3.41089361,0.79130308,0.00000000,0.01703509,1.30599623,1.92957740,1.25208157
-5.72986493,3.47377760,0.72979163,0.00000000,0.01780463,1.36637554,1.87876326,1.24815486
-5.72386193,3.55045108,0.68004093,0.00000000,0.01868075,1.42609378,1.84537401,1.25460441
-5.71785893,3.63866426,0.64111766,0.00000000,0.01965714,1.48468678,1.82768808,1.27025247
-5.71185593,3.73609538,0.61201801,0.00000000,0.02072817,1.54171320,1.82392135,1.29382400
-5.70585293,3.84041315,0.59170287,0.00000000,0.02188863,1.59676244,1.83227803,1.32398784
-5.69984992,3.94933685,0.57912970,0.00000000,0.02313359,1.64946254,1.85099676,1.35939668
-5.69384692,4.06069235,0.57328021,0.00000000,0.02445817,1.69948796,1.87839122,1.39872458
-5.68784392,4.17246238,0.57318360,0.00000000,0.02585734,1.74656657,1.91288458,1.44070097
-5.68184092,4.28282967,0.57793492,0.00000000,0.02732564,1.79048572,1.95303718,1.48414043
-5.67583792,4.39021119,0.58670844,0.00000000,0.02885705,1.83109659,1.99756721,1.52796725
-5.66983492,4.49328247,0.59876615,0.00000000,0.03044473,1.86831656,2.04536396,1.57123428
-5.66383192,4.59099076,0.61346136,0.00000000,0.03208086,1.90212903,2.09549365,1.61313561
-5.65782891,4.68255664,0.63023802,0.00000000,0.03375650,1.93258039,2.14719782,1.65301295
-5.65182591,4.76746375,0.64862589,0.00000000,0.03546144,1.95977398,2.19988457,1.69035565
-5.64582291,4.84543711,0.66823233,0.00000000,0.03718410,1.98386107,2.25311308,1.72479476
-5.63981991,4.91641118,0.68873128,0.00000000,0.03891153,2.00502898,2.30657226,1.75609171
-5.63381691,4.98048912,0.70985022,0.00000000,0.04062934,2.02348694,2.36005442,1.78412240
-5.62781391,5.03789565,0.73135589,0.00000000,0.04232181,2.03945021,2.41342537,1.80885782
-5.62181091,5.08892602,0.75303970,0.00000000,0.04397197,2.05312346,2.46659240,1.83034237
-5.61580790,5.13389440,0.77470355,0.00000000,0.04556181,2.06468437,2.51947188,1.84867134
-5.60980490,5.17308465,0.79614715,0.00000000,0.04707251,2.07426845,2.57195842,1.86396884
-5.60380190,5.20670702,0.81715729,0.00000000,0.04848479,2.08195634,2.62389731,1.87636766
-5.59779890,5.23486348,0.83749997,0.00000000,0.04977936,2.08776452,2.67506213,1.88599221
-5.59179590,5.25752440,0.85691574,0.00000000,0.05093732,2.09164028,2.72513910,1.89294559
-5.58579290,5.27451846,0.87511862,0.00000000,0.05194081,2.09346159,2.77371945,1.89730167
-5.57978989,5.28553680,0.89179873,0.00000000,0.05277354,2.09304234,2.82030060,1.89910240
-5.57378689,5.29015171,0.90662846,0.00000000,0.05342145,2.09014271,2.86429658,1.89836065
-5.56778389,5.28784893,0.91927192,0.00000000,0.05387336,2.08448456,2.90505746,1.89506813
-5.56178089,5.27807200,0.92939711,0.00000000,0.05412161,2.07577097,2.94189700,1.88920772
-5.55577789,5.26027592,0.93669013,0.00000000,0.05416257,2.06370904,2.97412721,1.88076940
-5.54977489,5.23398691,0.94087055,0.00000000,0.05399724,2.04803463,3.00109799,1.86976836
-5.54377189,5.19886447,0.94170706,0.00000000,0.05363156,2.02853757,3.02223956,1.85626403
-5.53776888,5.15476155,0.93903243,0.00000000,0.05307669,2.00508585,3.03710535,1.84037840
-5.53176588,5.10177891,0.93275682,0.00000000,0.05234910,1.97764720,3.04541244,1.82231237
-5.52576288,5.04030970,0.92287863,0.00000000,0.05147046,1.94630674,3.04707728,1.80235861
-5.51975988,4.97107099,0.90949207,0.00000000,0.05046738,1.91127936,3.04224392,1.78090980
-5.51375688,4.89511962,0.89279107,0.00000000,0.04937089,1.87291600,3.03130302,1.75846149
-5.50775388,4.81385069,0.87306893,0.00000000,0.04821578,1.83170315,3.01489979,1.73560890
-5.50175088,4.72897776,0.85071385,0.00000000,0.04703973,1.78825546,2.99393003,1.71303757
-5.49574787,4.64249531,0.82620022,0.00000000,0.04588231,1.74330145,2.96952368,1.69150794
-5.48974487,4.55662446,0.80007607,0.00000000,0.04478385,1.69766314,2.94301638,1.67183453
-5.48374187,4.47374428,0.77294718,0.00000000,0.04378419,1.65223019,2.91590976,1.65486039
-5.47773887,4.39631165,0.74545849,0.00000000,0.04292144,1.60792995,2.88982212,1.64142809
-5.47173587,4.32677316,0.71827358,0.00000000,0.04223072,1.56569467,2.86643141,1.63234846
-5.46573287,4.26747308,0.69205318,0.00000000,0.04174291,1.52642750,2.84741299,1.62836849
-5.45972986,4.22056156,0.66743344,0.00000000,0.04148358,1.49096862,2.83437485,1.63013994
-5.45372686,4.18790712,0.64500506,0.00000000,0.04147200,1.46006338,2.82879307,1.63818996
-5.44772386,4.17101742,0.62529397,0.00000000,0.04172036,1.43433347,2.83195045,1.65289524
-5.44172086,4.17097179,0.60874439,0.00000000,0.04223319,1.41425270,2.84488091,1.67446078
-5.43571786,4.18836860,0.59570494,0.00000000,0.04300706,1.40012821,2.86832224,1.70290428
-5.42971486,4.22328970,0.58641833,0.00000000,0.04403048,1.39208797,2.90267934,1.73804703
-5.42371186,4.27528380,0.58101494,0.00000000,0.04528417,1.39007503,2.94799965,1.77951176
-5.41770885,4.34336951,0.57951070,0.00000000,0.04674151,1.39384877,3.00396214,1.82672771
-5.41170585,4.42605841,0.58180907,0.00000000,0.04836930,1.40299306,3.06988070,1.87894305
-5.40570285,4.52139749,0.58770737,0.00000000,0.05012879,1.41693092,3.14472204,1.93524430
-5.39969985,4.62702964,0.59690695,0.00000000,0.05197687,1.43494534,3.22713802,1.99458222
-5.39369685,4.74027041,0.60902702,0.00000000,0.05386746,1.45620518,3.31551145,2.05580360
-5.38769385,4.85819831,0.62362153,0.00000000,0.05575305,1.47979545,3.40801409,2.11768774
-5.38169085,4.97775571,0.64019860,0.00000000,0.05758628,1.50475063,3.50267506,2.17898668
-5.37568784,5.09585668,0.65824168,0.00000000,0.05932158,1.53009005,3.59745718,2.23846757
-5.36968484,5.20949793,0.67723166,0.00000000,0.06091674,1.55485381,3.69033868,2.29495591
-5.36368184,5.31586872,0.69666923,0.00000000,0.06233438,1.57813796,3.77939709,2.34737788
-5.35767884,5.41245541,0.71609633,0.00000000,0.06354331,1.59912775,3.86289202,2.39480012
-5.35167584,5.49713646,0.73511606,0.00000000,0.06451958,1.61712744,3.93934335,2.43646532
-5.34567284,5.56826385,0.75341003,0.00000000,0.06524740,1.63158561,4.00760139,2.47182204
-5.33966983,5.62472729,0.77075241,0.00000000,0.06571964,1.64211493,4.06690553,2.50054724
-5.33366683,5.66599796,0.78701995,0.00000000,0.06593808,1.64850543,4.11692858,2.52256034
-5.32766383,5.69214969,0.80219750,0.00000000,0.06591327,1.65073065,4.15780398,2.53802791
-5.32166083,5.70385569,0.81637851,0.00000000,0.06566414,1.64894639,4.19013409,2.54735844
-5.31565783,5.70236063,0.82976046,0.00000000,0.06521713,1.64348184,4.21497832,2.55118691
-5.30965483,5.68942851,0.84263518,0.00000000,0.06460520,1.63482338,4.23382091,2.55034982
-5.30365183,5.66726810,0.85537443,0.00000000,0.06386641,1.62359168,4.24851896,2.54585113
-5.29764882,5.63843866,0.86841118,0.00000000,0.06304244,1.61051279,4.26123238,2.53882064
-5.29164582,5.60573999,0.88221754,0.00000000,0.06217687,1.59638466,4.27433861,2.53046641
-5.28564282,5.57209137,0.89728010,0.00000000,0.06131345,1.58204016,4.29033558,2.52202334
-5.27963982,5.54040498,0.91407404,0.00000000,0.06049432,1.56830851,4.31173715,2.51470022
-5.27363682,5.51345952,0.93303719,0.00000000,0.05975834,1.55597661,4.34096632,2.50962770
-5.26763382,5.49378013,0.95454546,0.00000000,0.05913959,1.54575224,4.38025103,2.50780987
-5.26163082,5.48353046,0.97889091,0.00000000,0.05866602,1.53823067,4.43152827,2.51008168
-5.25562781,5.48442215,1.00626377,0.00000000,0.05835848,1.53386636,4.49636133,2.51707447
-5.24962481,5.49764646,1.03673948,0.00000000,0.05822996,1.53295115,4.57587493,2.52919147
-5.24362181,5.52383138,1.07027166,0.00000000,0.05828526,1.53559998,4.67071182,2.54659444
-5.23761881,5.56302669,1.10669149,0.00000000,0.05852104,1.54174487,4.78101361,2.56920239
-5.23161581,5.61471757,1.14571378,0.00000000,0.05892616,1.55113760,4.90642726,2.59670238
-5.22561281,5.67786638,1.18694955,0.00000000,0.05948247,1.56336087,5.04613700,2.62857202
-5.21960980,5.75098020,1.22992462,0.00000000,0.06016585,1.57784755,5.19892046,2.66411234
-5.21360680,5.83220072,1.27410313,0.00000000,0.06094756,1.59390716,5.36322575,2.70248954
-5.20760380,5.91941166,1.31891497,0.00000000,0.06179577,1.61075815,5.53726551,2.74278325
-5.20160080,6.01035789,1.36378534,0.00000000,0.06267721,1.62756467,5.71912223,2.78403865
-5.19559780,6.10276989,1.40816482,0.00000000,0.06355895,1.64347584,5.90685885,2.82531979
-5.18959480,6.19448662,1.45155818,0.00000000,0.06441005,1.65766576,6.09862760,2.86576095
-5.18359180,6.28357011,1.49354996,0.00000000,0.06520317,1.66937234,6.29277056,2.90461333
-5.17758879,6.36840538,1.53382527,0.00000000,0.06591596,1.67793293,6.48790511,2.94128435
