energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.82448626,0.02261136,0.16429700,2.22519077,2.10244311,0.01076542,1.34853962,0.57040086,0.22517802
-5.99399700,3.91842327,0.02340271,0.16730328,2.23528413,2.16405116,0.01080204,1.37479561,0.57601251,0.23594251
-5.98799400,4.01258423,0.02435002,0.17047964,2.24542917,2.22524374,0.01081260,1.40065842,0.58294960,0.24722043
-5.98199100,4.10656830,0.02544948,0.17383625,2.25582043,2.28575443,0.01079613,1.42597803,0.59126654,0.25895157
-5.97598799,4.19997085,0.02669410,0.17737729,2.26664316,2.34532828,0.01075230,1.45061072,0.60099590,0.27106676
-5.96998499,4.29240130,0.02807395,0.18110172,2.27808778,2.40372741,0.01068150,1.47442802,0.61215230,0.28348947
-5.96398199,4.38349945,0.02957644,0.18500442,2.29036445,2.46073526,0.01058489,1.49732485,0.62473675,0.29613773
-5.95797899,4.47294914,0.03118673,0.18907753,2.30371631,2.51615901,0.01046445,1.51922632,0.63874081,0.30892610
-5.95197599,4.56048868,0.03288804,0.19331204,2.31843005,2.56983040,0.01032296,1.54009275,0.65415040,0.32176769
-5.94597299,4.64591737,0.03466207,0.19769941,2.33484282,2.62160486,0.01016396,1.55992249,0.67094882,0.33457616
-5.93996998,4.72909799,0.03648942,0.20223327,2.35334424,2.67135952,0.00999169,1.57875234,0.68911881,0.34726757
-5.93396698,4.80995539,0.03834995,0.20691100,2.37437328,2.71899025,0.00981099,1.59665563,0.70864336,0.35976207
-5.92796398,4.88847136,0.04022309,0.21173517,2.39840938,2.76440838,0.00962712,1.61373786,0.72950535,0.37198528
-5.92196098,4.96467658,0.04208823,0.21671471,2.42595826,2.80753748,0.00944568,1.63013026,0.75168578,0.38386943
-5.91595798,5.03864016,0.04392492,0.22186584,2.45753256,2.84831084,0.00927236,1.64598155,0.77516096,0.39535410
-5.90995498,5.11045767,0.04571312,0.22721253,2.49362847,2.88666985,0.00911285,1.66144839,0.79989858,0.40638658
-5.90395198,5.18023857,0.04743337,0.23278670,2.53469925,2.92256380,0.00897258,1.67668494,0.82585304,0.41692194
-5.89794897,5.24809376,0.04906693,0.23862792,2.58112707,2.95595101,0.00885663,1.69183209,0.85296037,0.42692266
-5.89194597,5.31412388,0.05059592,0.24478267,2.63319477,2.98680154,0.00876954,1.70700707,0.88113298,0.43635800
-5.88594297,5.37840921,0.05200334,0.25130336,2.69105910,3.01510101,0.00871516,1.72229360,0.91025468,0.44520304
-5.87993997,5.44100124,0.05327321,0.25824676,2.75472704,3.04085535,0.00869658,1.73773352,0.94017639,0.45343763
-5.87393697,5.50191634,0.05439066,0.26567235,2.82403667,3.06409592,0.00871603,1.75331991,0.97071272,0.46104507
-5.86793397,5.56113144,0.05534197,0.27364020,2.89864402,3.08488442,0.00877479,1.76899232,1.00163995,0.46801083
-5.86193097,5.61858172,0.05611473,0.28220883,2.97801666,3.10331682,0.00887323,1.78463413,1.03269555,0.47432134
