energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.78078677,-0.78091585,0.00874132,-0.00873475,0.20578052,-0.20580288,0.21447735,-0.21450011,0.27050051,-0.27049305,0.01369332,-0.01369816,0.13769708,-0.13774059
-5.99399700,0.75746822,-0.75757783,0.00968267,-0.00967585,0.20089663,-0.20091482,0.20958292,-0.20960269,0.26974067,-0.26972515,0.01295577,-0.01295990,0.13108655,-0.13112576
-5.98799400,0.73706946,-0.73715836,0.01065694,-0.01064992,0.19665428,-0.19666795,0.20515553,-0.20517188,0.27014817,-0.27012462,0.01232254,-0.01232591,0.12511255,-0.12514722
-5.98199100,0.71977467,-0.71984221,0.01165482,-0.01164769,0.19310630,-0.19311524,0.20126306,-0.20127571,0.27171612,-0.27168478,0.01179829,-0.01180089,0.11981274,-0.11984272
-5.97598799,0.70567921,-0.70572530,0.01266614,-0.01265897,0.19028372,-0.19028785,0.19795116,-0.19795996,0.27440793,-0.27436923,0.01138623,-0.01138803,0.11520707,-0.11523235
-5.96998499,0.69479771,-0.69482273,0.01368010,-0.01367297,0.18819724,-0.18819659,0.19524405,-0.19524899,0.27816168,-0.27811617,0.01108834,-0.01108933,0.11129972,-0.11132038
-5.96398199,0.68707497,-0.68707970,0.01468558,-0.01467857,0.18683952,-0.18683425,0.19314613,-0.19314732,0.28289531,-0.28284366,0.01090573,-0.01090590,0.10808155,-0.10809773
-5.95797899,0.68239919,-0.68238469,0.01567148,-0.01566467,0.18618815,-0.18617847,0.19164451,-0.19164214,0.28851263,-0.28845557,0.01083891,-0.01083827,0.10553287,-0.10554477
-5.95197599,0.68061649,-0.68058403,0.01662706,-0.01662053,0.18620895,-0.18619515,0.19071201,-0.19070635,0.29490959,-0.29484787,0.01088810,-0.01088663,0.10362652,-0.10363439
-5.94597299,0.68154604,-0.68149696,0.01754233,-0.01753614,0.18685951,-0.18684189,0.19031064,-0.19030201,0.30198048,-0.30191482,0.01105346,-0.01105117,0.10233091,-0.10233499
-5.93996998,0.68499465,-0.68493030,0.01840831,-0.01840253,0.18809268,-0.18807157,0.19039515,-0.19038390,0.30962372,-0.30955479,0.01133528,-0.01133215,0.10161303,-0.10161357
-5.93396698,0.69077015,-0.69069180,0.01921741,-0.01921208,0.18985978,-0.18983548,0.19091660,-0.19090307,0.31774693,-0.31767530,0.01173408,-0.01173011,0.10144120,-0.10143844
-5.92796398,0.69869272,-0.69860150,0.01996357,-0.01995874,0.19211329,-0.19208610,0.19182548,-0.19181001,0.32627078,-0.32619690,0.01225067,-0.01224584,0.10178746,-0.10178158
-5.92196098,0.70860345,-0.70850030,0.02064253,-0.02063821,0.19480899,-0.19477915,0.19307450,-0.19305740,0.33513158,-0.33505580,0.01288605,-0.01288034,0.10262945,-0.10262060
-5.91595798,0.72036974,-0.72025539,0.02125183,-0.02124804,0.19790715,-0.19787488,0.19462064,-0.19460218,0.34428233,-0.34420487,0.01364126,-0.01363468,0.10395177,-0.10394006
-5.90995498,0.73388727,-0.73376228,0.02179085,-0.02178758,0.20137303,-0.20133850,0.19642650,-0.19640689,0.35369214,-0.35361313,0.01451716,-0.01450969,0.10574671,-0.10573219
-5.90395198,0.74907845,-0.74894322,0.02226073,-0.02225798,0.20517641,-0.20513977,0.19846084,-0.19844027,0.36334410,-0.36326357,0.01551408,-0.01550571,0.10801438,-0.10799706
-5.89794897,0.76588766,-0.76574247,0.02266419,-0.02266193,0.20929032,-0.20925170,0.20069840,-0.20067702,0.37323170,-0.37314963,0.01663141,-0.01662216,0.11076216,-0.11074201
-5.89194597,0.78427352,-0.78411864,0.02300527,-0.02300347,0.21368915,-0.21364870,0.20311901,-0.20309694,0.38335402,-0.38327041,0.01786721,-0.01785710,0.11400369,-0.11398066
-5.88594297,0.80419905,-0.80403479,0.02328908,-0.02328770,0.21834612,-0.21830401,0.20570611,-0.20568346,0.39371013,-0.39362499,0.01921772,-0.01920678,0.11775735,-0.11773137
-5.87993997,0.82562025,-0.82544709,0.02352140,-0.02352041,0.22323059,-0.22318703,0.20844490,-0.20842179,0.40429286,-0.40420630,0.02067693,-0.02066520,0.12204432,-0.12201532
-5.87393697,0.84847430,-0.84829294,0.02370836,-0.02370772,0.22830512,-0.22826041,0.21132027,-0.21129686,0.41508270,-0.41499497,0.02223617,-0.02222374,0.12688646,-0.12685439
-5.86793397,0.87266799,-0.87247943,0.02385609,-0.02385576,0.23352291,-0.23347741,0.21431477,-0.21429122,0.42604203,-0.42595354,0.02388379,-0.02387076,0.13230408,-0.13226893
-5.86193097,0.89806761,-0.89787325,0.02397036,-0.02397030,0.23882554,-0.23877974,0.21740672,-0.21738327,0.43711026,-0.43702161,0.02560494,-0.02559144,0.13831366,-0.13827546
-5.85592796,0.92449100,-0.92429265,0.02405630,-0.02405650,0.24414150,-0.24409599,0.22056880,-0.22054573,0.44820025,-0.44811228,0.02738147,-0.02736764,0.14492586,-0.14488471
-5.84992496,0.95170261,-0.95150251,0.02411821,-0.02411864,0.24938546,-0.24934093,0.22376714,-0.22374480,0.45919641,-0.45911017,0.02919198,-0.02917801,0.15214370,-0.15209974
-5.84392196,0.97941197,-0.97921280,0.02415936,-0.02416002,0.25445864,-0.25441591,0.22696120,-0.22693998,0.46995455,-0.46987132,0.03101207,-0.03099815,0.15996117,-0.15991465
-5.83791896,1.00727608,-1.00708088,0.02418195,-0.02418283,0.25925024,-0.25921020,0.23010427,-0.23008462,0.48030386,-0.48022509,0.03281469,-0.03280103,0.16836235,-0.16831355
-5.83191596,1.03490562,-1.03471776,0.02418708,-0.02418819,0.26363983,-0.26360344,0.23314487,-0.23312725,0.49005072,-0.48997804,0.03457077,-0.03455760,0.17732094,-0.17727024
-5.82591296,1.06187500,-1.06169803,0.02417487,-0.02417620,0.26750090,-0.26746915,0.23602878,-0.23601369,0.49898451,-0.49891962,0.03624988,-0.03623743,0.18680045,-0.18674827
-5.81990995,1.08773560,-1.08757318,0.02414455,-0.02414613,0.27070513,-0.27067901,0.23870184,-0.23868974,0.50688484,-0.50682950,0.03782112,-0.03780964,0.19675483,-0.19670165
-5.81390695,1.11203188,-1.11188760,0.02409472,-0.02409657,0.27312737,-0.27310783,0.24111310,-0.24110442,0.51353022,-0.51348613,0.03925409,-0.03924381,0.20712964,-0.20707595
-5.80790395,1.13431923,-1.13419647,0.02402354,-0.02402567,0.27465105,-0.27463897,0.24321848,-0.24321357,0.51870732,-0.51867608,0.04051990,-0.04051102,0.21786364,-0.21780995
