energy_ev,total_up,Cd_p_up,Cd_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,0.50036735,0.32058531,0.09403938,0.06470249,0.00000000,0.02782211,0.17799799
-5.99399700,0.53628606,0.34954076,0.09981170,0.07067964,0.00000000,0.02881733,0.19050288
-5.98799400,0.57380630,0.38030899,0.10572668,0.07716934,0.00000000,0.02976438,0.20338431
-5.98199100,0.61275343,0.41288575,0.11173259,0.08418766,0.00000000,0.03063273,0.21655973
-5.97598799,0.65299019,0.44726708,0.11778807,0.09175453,0.00000000,0.03139672,0.22995631
-5.96998499,0.69441409,0.48344371,0.12386233,0.09989236,0.00000000,0.03203604,0.24351045
-5.96398199,0.73695244,0.52139418,0.12993493,0.10862431,0.00000000,0.03253612,0.25716653
-5.95797899,0.78055503,0.56107677,0.13599506,0.11797209,0.00000000,0.03288839,0.27087495
-5.95197599,0.82518455,0.60242059,0.14204026,0.12795356,0.00000000,0.03309024,0.28458956
-5.94597299,0.87080518,0.64531637,0.14807476,0.13857999,0.00000000,0.03314492,0.29826464
-5.93996998,0.91736984,0.68960737,0.15410733,0.14985323,0.00000000,0.03306116,0.31185144
-5.93396698,0.96480675,0.73508118,0.16014883,0.16176281,0.00000000,0.03285260,0.32529474
-5.92796398,1.01300602,0.78146287,0.16620959,0.17428322,0.00000000,0.03253711,0.33852954
-5.92196098,1.06180720,0.82841029,0.17229665,0.18737144,0.00000000,0.03213588,0.35147814
-5.91595798,1.11098851,0.87551203,0.17841114,0.20096487,0.00000000,0.03167251,0.36404795
-5.90995498,1.16025878,0.92228856,0.18454587,0.21497992,0.00000000,0.03117189,0.37613024
-5.90395198,1.20925258,0.96819683,0.19068329,0.22931128,0.00000000,0.03065918,0.38759996
-5.89794897,1.25752934,1.01263861,0.19679404,0.24383200,0.00000000,0.03015873,0.39831685
-5.89194597,1.30457680,1.05497237,0.20283609,0.25839454,0.00000000,0.02969315,0.40812786
-5.88594297,1.34981886,1.09452859,0.20875461,0.27283272,0.00000000,0.02928242,0.41687080
-5.87993997,1.39262793,1.13062792,0.21448265,0.28696467,0.00000000,0.02894320,0.42437925
-5.87393697,1.43234135,1.16260151,0.21994255,0.30059663,0.00000000,0.02868837,0.43048835
-5.86793397,1.46828127,1.18981277,0.22504819,0.31352756,0.00000000,0.02852673,0.43504137
-5.86193097,1.49977737,1.21167951,0.22970780,0.32555445,0.00000000,0.02846295,0.43789660
-5.85592796,1.52619127,1.22769536,0.23382740,0.33647805,0.00000000,0.02849780,0.43893435
-5.84992496,1.54694167,1.23744969,0.23731460,0.34610890,0.00000000,0.02862859,0.43806347
-5.84392196,1.56152904,1.24064478,0.24008270,0.35427344,0.00000000,0.02884977,0.43522735
-5.83791896,1.56955875,1.23710951,0.24205476,0.36081983,0.00000000,0.02915379,0.43040867
-5.83191596,1.57076137,1.22680891,0.24316761,0.36562345,0.00000000,0.02953202,0.42363299
