energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.42903583,0.71323328,1.44475773,0.04222389,0.04567946,0.04888980,0.29049139,0.34675923,0.20693986
-5.99399700,2.47616515,0.71326385,1.48022111,0.04220905,0.04714918,0.04713026,0.30004380,0.35834452,0.20654021
-5.98799400,2.53127385,0.71516999,1.52029581,0.04233905,0.04883877,0.04541019,0.31062641,0.37154155,0.20675482
-5.98199100,2.59467714,0.71915036,1.56516931,0.04262384,0.05075281,0.04374834,0.32225631,0.38641980,0.20759857
-5.97598799,2.66648926,0.72535668,1.61492274,0.04306949,0.05288773,0.04216055,0.33492641,0.40299941,0.20906931
-5.96998499,2.74659501,0.73388352,1.66951120,0.04367805,0.05523138,0.04065943,0.34860199,0.42124673,0.21114670
-5.96398199,2.83462790,0.74475997,1.72874737,0.04444744,0.05776283,0.03925416,0.36321798,0.44107149,0.21379163
-5.95797899,2.92995589,0.75794349,1.79228931,0.04537156,0.06045260,0.03795047,0.37867704,0.46232565,0.21694636
-5.95197599,3.03167591,0.77331614,1.85963319,0.04644033,0.06326313,0.03675068,0.39484866,0.48480429,0.22053530
-5.94597299,3.13861751,0.79068337,1.93011160,0.04763990,0.06614959,0.03565392,0.41156936,0.50824833,0.22446654
-5.93996998,3.24935632,0.80977551,2.00289806,0.04895291,0.06906110,0.03465640,0.42864404,0.53234917,0.22863391
-5.93396698,3.36223727,0.83025187,2.07701770,0.05035870,0.07194207,0.03375181,0.44584860,0.55675520,0.23291959
-5.92796398,3.47540723,0.85170733,2.15136453,0.05183369,0.07473386,0.03293178,0.46293377,0.58107999,0.23719719
-5.92196098,3.58685669,0.87368137,2.22472466,0.05335174,0.07737661,0.03218631,0.47963020,0.60491181,0.24133523
-5.91595798,3.69446927,0.89566916,2.29580545,0.05488451,0.07981111,0.03150436,0.49565458,0.62782447,0.24520075
-5.90995498,3.79607802,0.91713447,2.36326951,0.05640195,0.08198075,0.03087433,0.51071684,0.64938886,0.24866318
-5.90395198,3.88952676,0.93752398,2.42577283,0.05787280,0.08383341,0.03028464,0.52452806,0.66918507,0.25159815
-5.89794897,3.97273464,0.95628252,2.48200577,0.05926513,0.08532321,0.02972422,0.53680900,0.68681447,0.25389126
-5.89194597,4.04376191,0.97286887,2.53073551,0.06054698,0.08641213,0.02918303,0.54729889,0.70191152,0.25544155
-5.88594297,4.10087447,0.98677149,2.57084864,0.06168700,0.08707127,0.02865255,0.55576421,0.71415480,0.25616476
-5.87993997,4.14260511,0.99752377,2.60139206,0.06265518,0.08728195,0.02812619,0.56200702,0.72327686,0.25599607
-5.87393697,4.16780891,1.00471817,2.62161080,0.06342362,0.08703632,0.02759967,0.56587275,0.72907263,0.25489240
-5.86793397,4.17571067,1.00801892,2.63098104,0.06396723,0.08633774,0.02707138,0.56725679,0.73140594,0.25283406
-5.86193097,4.16594238,1.00717261,2.62923702,0.06426455,0.08520066,0.02654260,0.56610987,0.73021407,0.24982579
-5.85592796,4.13856898,1.00201652,2.61639049,0.06429840,0.08365025,0.02601773,0.56244171,0.72550995,0.24589712
-5.84992496,4.09410096,0.99248419,2.59274167,0.06405655,0.08172160,0.02550436,0.55632296,0.71738214,0.24110194
-5.84392196,4.03349313,0.97860807,2.55888109,0.06353224,0.07945863,0.02501332,0.54788506,0.70599237,0.23551746
-5.83791896,3.95812881,0.96051909,2.51568177,0.06272457,0.07691272,0.02455856,0.53731811,0.69157088,0.22924238
-5.83191596,3.86978993,0.93844326,2.46428180,0.06163875,0.07414119,0.02415702,0.52486672,0.67440961,0.22239448
-5.82591296,3.77061333,0.91269517,2.40605765,0.06028614,0.07120552,0.02382830,0.51082381,0.65485352,0.21510755
-5.81990995,3.66303469,0.88366880,2.34258874,0.05868410,0.06816957,0.02359429,0.49552278,0.63329030,0.20752788
-5.81390695,3.54972158,0.85182590,2.27561449,0.05685565,0.06509773,0.02347865,0.47932803,0.61013896,0.19981032
-5.80790395,3.43349779,0.81768226,2.20698501,0.05482894,0.06205310,0.02350622,0.46262437,0.58583747,0.19211400
-5.80190095,3.31726124,0.78179248,2.13860707,0.05263648,0.05909577,0.02370232,0.44580550,0.56083012,0.18459794
-5.79589795,3.20389827,0.74473369,2.07238711,0.05031432,0.05628126,0.02409196,0.42926213,0.53555482,0.17741658
-5.78989495,3.09619706,0.70708892,2.01017306,0.04790100,0.05365907,0.02469898,0.41337001,0.51043103,0.17071540
-5.78389195,2.99676313,0.66943054,1.95369722,0.04543642,0.05127153,0.02554514,0.39847840,0.48584839,0.16462674
-5.77788894,2.90793967,0.63230451,1.90452179,0.04296077,0.04915283,0.02664920,0.38489941,0.46215677,0.15926599
-5.77188594,2.83173562,0.59621591,1.86398925,0.04051331,0.04732834,0.02802598,0.37289841,0.43965779,0.15472824
-5.76588294,2.76976380,0.56161624,1.83317921,0.03813128,0.04581419,0.02968543,0.36268614,0.41859826,0.15108540
-5.75987994,2.72319139,0.52889295,1.81287322,0.03584885,0.04461713,0.03163183,0.35441258,0.39916557,0.14838410
-5.75387694,2.69270445,0.49836143,1.80352911,0.03369623,0.04373462,0.03386298,0.34816280,0.38148527,0.14664424
-5.74787394,2.67848794,0.47025977,1.80526551,0.03169890,0.04315524,0.03636964,0.34395515,0.36562077,0.14585828
-5.74187094,2.68022195,0.44474631,1.81785765,0.02987700,0.04285930,0.03913506,0.34174163,0.35157519,0.14599141
-5.73586793,2.69709450,0.42190007,1.84074433,0.02824494,0.04281968,0.04213476,0.34141049,0.33929515,0.14698248
-5.72986493,2.72783064,0.40172385,1.87304637,0.02681122,0.04300284,0.04533650,0.34279105,0.32867635,0.14874572
-5.72386193,2.77073694,0.38414984,1.91359575,0.02557841,0.04337004,0.04870052,0.34566050,0.31957069,0.15117330
-5.71785893,2.82376008,0.36904746,1.96097477,0.02454340,0.04387864,0.05218009,0.34975244,0.31179459,0.15413845
-5.71185593,2.88455755,0.35623306,2.01356386,0.02369772,0.04448352,0.05572228,0.35476688,0.30513815,0.15749926
-5.70585293,2.95057816,0.34548097,2.06959655,0.02302814,0.04513854,0.05926898,0.36038133,0.29937484,0.16110302
-5.69984992,3.01914948,0.33653559,2.12721953,0.02251737,0.04579798,0.06275830,0.36626260,0.29427131,0.16479077
-5.69384692,3.08756922,0.32912386,2.18455584,0.02214481,0.04641803,0.06612600,0.37207882,0.28959694,0.16840221
-5.68784392,3.15319734,0.32296788,2.23976882,0.02188749,0.04695805,0.06930722,0.37751139,0.28513285,0.17178061
-5.68184092,3.21354540,0.31779691,2.29112439,0.02172095,0.04738189,0.07223833,0.38226627,0.28068003,0.17477762
-5.67583792,3.26636005,0.31335863,2.33704947,0.02162022,0.04765892,0.07485875,0.38608423,0.27606634,0.17725779
-5.66983492,3.30969749,0.30942913,2.37618415,0.02156074,0.04776496,0.07711284,0.38874986,0.27115224,0.17910271
-5.66383192,3.34198625,0.30582127,2.40742581,0.02151919,0.04768295,0.07895162,0.39009877,0.26583504,0.18021455
-5.65782891,3.36207588,0.30239139,2.42996330,0.02147432,0.04740342,0.08033444,0.39002290,0.26005166,0.18051893
-5.65182591,3.36927002,0.29904389,2.44330014,0.02140762,0.04692476,0.08123027,0.38847375,0.25377991,0.17996702
-5.64582291,3.36334256,0.29573395,2.44726563,0.02130389,0.04625318,0.08161883,0.38546343,0.24703827,0.17853670
-5.63981991,3.34453652,0.29246800,2.44201388,0.02115166,0.04540252,0.08149125,0.38106342,0.23988437,0.17623293
-5.63381691,3.31354605,0.28930228,2.42801055,0.02094341,0.04439380,0.08085049,0.37540133,0.23241223,0.17308713
-5.62781391,3.27148231,0.28633947,2.40600832,0.02067577,0.04325459,0.07971122,0.36865564,0.22474847,0.16915579
-5.62181091,3.21982491,0.28372355,2.37701205,0.02034938,0.04201821,0.07809940,0.36104874,0.21704770,0.16451819
