energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.61637208,-1.61636677,0.00440962,-0.00440957,0.18749801,-0.18749743,0.41540616,-0.41540456,0.28895304,-0.28895211,0.34063722,-0.34063600,0.14308351,-0.14308315,0.76266611,-0.76266349,0.00000000,-0.00000000
-5.99399700,1.49720712,-1.49720199,0.00364815,-0.00364811,0.17371176,-0.17371121,0.38021467,-0.38021315,0.26616375,-0.26616285,0.31423352,-0.31423232,0.13492296,-0.13492261,0.70604820,-0.70604565,0.00000000,-0.00000000
-5.98799400,1.38061618,-1.38061124,0.00301515,-0.00301512,0.16040571,-0.16040519,0.34674037,-0.34673894,0.24411689,-0.24411604,0.28842251,-0.28842136,0.12652863,-0.12652828,0.65044853,-0.65044607,0.00000000,-0.00000000
-5.98199100,1.26719625,-1.26719154,0.00249797,-0.00249795,0.14758413,-0.14758364,0.31498506,-0.31498372,0.22290954,-0.22290873,0.26337453,-0.26337343,0.11799322,-0.11799287,0.59623159,-0.59622923,0.00000000,-0.00000000
-5.97598799,1.15757748,-1.15757301,0.00208551,-0.00208549,0.13526611,-0.13526565,0.28496837,-0.28496711,0.20264086,-0.20264010,0.23925469,-0.23925364,0.10941451,-0.10941417,0.54376200,-0.54375975,0.00000000,-0.00000000
-5.96998499,1.05240062,-1.05239642,0.00176852,-0.00176850,0.12348295,-0.12348252,0.25672224,-0.25672107,0.18340963,-0.18340892,0.21621832,-0.21621734,0.10089263,-0.10089230,0.49339370,-0.49339158,0.00000000,-0.00000000
-5.96398199,0.95229677,-0.95229284,0.00153987,-0.00153986,0.11227541,-0.11227502,0.23028557,-0.23028449,0.16531209,-0.16531143,0.19440737,-0.19440645,0.09252737,-0.09252705,0.44546076,-0.44545878,0.00000000,-0.00000000
-5.95797899,0.85787060,-0.85786697,0.00139482,-0.00139481,0.10169110,-0.10169074,0.20569960,-0.20569861,0.14844039,-0.14843979,0.17394777,-0.17394693,0.08441589,-0.08441559,0.40027028,-0.40026844,0.00000000,-0.00000000
-5.95197599,0.76968798,-0.76968467,0.00133116,-0.00133116,0.09178206,-0.09178174,0.18300416,-0.18300326,0.13288179,-0.13288126,0.15494803,-0.15494726,0.07665096,-0.07665067,0.35809762,-0.35809594,0.00000000,-0.00000000
-5.94597299,0.68826847,-0.68826550,0.00134950,-0.00134950,0.08260288,-0.08260259,0.16223509,-0.16223428,0.11871865,-0.11871819,0.13749894,-0.13749824,0.06931952,-0.06931926,0.31918427,-0.31918276,0.00000000,-0.00000000
-5.93996998,0.61408299,-0.61408037,0.00145337,-0.00145339,0.07420923,-0.07420898,0.14342278,-0.14342206,0.10602919,-0.10602880,0.12167445,-0.12167383,0.06250197,-0.06250174,0.28373813,-0.28373679,0.00000000,-0.00000000
-5.93396698,0.54755640,-0.54755415,0.00164948,-0.00164949,0.06665705,-0.06665683,0.12659202,-0.12659139,0.09488911,-0.09488880,0.10753350,-0.10753297,0.05627187,-0.05627166,0.25193620,-0.25193503,0.00000000,-0.00000000
-5.92796398,0.48907466,-0.48907280,0.00194780,-0.00194783,0.06000225,-0.06000208,0.11176284,-0.11176230,0.08537386,-0.08537363,0.09512276,-0.09512232,0.05069620,-0.05069602,0.22392929,-0.22392830,0.00000000,-0.00000000
-5.92196098,0.43899581,-0.43899435,0.00236181,-0.00236184,0.05430103,-0.05430090,0.09895249,-0.09895204,0.07756143,-0.07756130,0.08447999,-0.08447963,0.04583608,-0.04583593,0.19984844,-0.19984764,0.00000000,-0.00000000
-5.91595798,0.39766387,-0.39766284,0.00290855,-0.00290859,0.04961056,-0.04961049,0.08817815,-0.08817779,0.07153557,-0.07153553,0.07563789,-0.07563761,0.04174784,-0.04174772,0.17981258,-0.17981197,0.00000000,-0.00000000
-5.90995498,0.36542459,-0.36542400,0.00360875,-0.00360880,0.04599010,-0.04599008,0.07946028,-0.07946001,0.06738906,-0.06738913,0.06862814,-0.06862796,0.03848434,-0.03848425,0.16393685,-0.16393645,0.00000000,-0.00000000
-5.90395198,0.34264189,-0.34264178,0.00448683,-0.00448690,0.04350226,-0.04350230,0.07282638,-0.07282620,0.06522699,-0.06522718,0.06348551,-0.06348542,0.03609649,-0.03609644,0.15234118,-0.15234098,0.00000000,-0.00000000
-5.89794897,0.32971386,-0.32971426,0.00557090,-0.00557098,0.04221435,-0.04221445,0.06831484,-0.06831476,0.06516962,-0.06516994,0.06025161,-0.06025162,0.03463477,-0.03463476,0.14515844,-0.14515846,0.00000000,-0.00000000
-5.89194597,0.32708703,-0.32708797,0.00689255,-0.00689265,0.04219961,-0.04219979,0.06597882,-0.06597883,0.06735465,-0.06735512,0.05897832,-0.05897843,0.03415065,-0.03415068,0.14254186,-0.14254211,0.00000000,-0.00000000
-5.88594297,0.33526787,-0.33526939,0.00848664,-0.00848676,0.04353824,-0.04353850,0.06588974,-0.06588986,0.07193873,-0.07193935,0.05973054,-0.05973076,0.03469786,-0.03469792,0.14467103,-0.14467153,0.00000000,-0.00000000
-5.87993997,0.35483047,-0.35483262,0.01039085,-0.01039099,0.04631790,-0.04631825,0.06814036,-0.06814058,0.07909775,-0.07909855,0.06258810,-0.06258844,0.03633331,-0.03633342,0.15175627,-0.15175702,0.00000000,-0.00000000
-5.87393697,0.38641963,-0.38642245,0.01264508,-0.01264525,0.05063381,-0.05063425,0.07284720,-0.07284754,0.08902599,-0.08902699,0.06764684,-0.06764730,0.03911768,-0.03911784,0.16404085,-0.16404188,0.00000000,-0.00000000
