energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-5.61580790,2.32265431,0.32579051,0.00000000,0.93124069,1.25851219,0.71888056,0.00000000
-5.60980490,2.32457091,0.32672202,0.00000000,0.93890770,1.25906503,0.71929427,0.00000000
-5.60380190,2.32513668,0.32773369,0.00000000,0.94810288,1.25882816,0.71909910,0.00000000
-5.59779890,2.32464033,0.32886545,0.00000000,0.95878250,1.25799898,0.71834070,0.00000000
-5.59179590,2.32334404,0.33014471,0.00000000,0.97084988,1.25675902,0.71706864,0.00000000
-5.58579290,2.32146730,0.33158499,0.00000000,0.98415245,1.25526481,0.71533166,0.00000000
-5.57978989,2.31917185,0.33318503,0.00000000,0.99848054,1.25363936,0.71317301,0.00000000
-5.57378689,2.31654876,0.33492826,0.00000000,1.01356799,1.25196469,0.71062604,0.00000000
-5.56778389,2.31360850,0.33678273,0.00000000,1.02909487,1.25027595,0.70771041,0.00000000
-5.56178089,2.31027486,0.33870159,0.00000000,1.04469257,1.24855759,0.70442923,0.00000000
-5.55577789,2.30638306,0.34062412,0.00000000,1.05995113,1.24674174,0.70076718,0.00000000
-5.54977489,2.30168276,0.34247726,0.00000000,1.07442898,1.24470918,0.69669002,0.00000000
-5.54377189,2.29584575,0.34417772,0.00000000,1.08766460,1.24229293,0.69214535,0.00000000
-5.53776888,2.28847844,0.34563457,0.00000000,1.09919003,1.23928446,0.68706471,0.00000000
-5.53176588,2.27913844,0.34675229,0.00000000,1.10854564,1.23544223,0.68136693,0.00000000
-5.52576288,2.26735484,0.34743410,0.00000000,1.11529562,1.23050243,0.67496251,0.00000000
-5.51975988,2.25265102,0.34758566,0.00000000,1.11904357,1.22419128,0.66775889,0.00000000
-5.51375688,2.23456909,0.34711876,0.00000000,1.11944754,1.21623851,0.65966617,0.00000000
-5.50775388,2.21269477,0.34595511,0.00000000,1.11623383,1.20639131,0.65060312,0.00000000
-5.50175088,2.18668132,0.34402986,0.00000000,1.10920892,1.19442816,0.64050299,0.00000000
-5.49574787,2.15627164,0.34129495,0.00000000,1.09826899,1.18017186,0.62931896,0.00000000
