energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,0.39192410,0.01039721,0.00000000,0.15890464,0.06597260,0.00068324,0.11287328
-5.99399700,0.36914450,0.00913786,0.00000000,0.15171621,0.06142880,0.00076517,0.10870680
-5.98799400,0.34904381,0.00797488,0.00000000,0.14544059,0.05724667,0.00085120,0.10546104
-5.98199100,0.33168933,0.00691202,0.00000000,0.14010546,0.05345394,0.00094057,0.10312133
-5.97598799,0.31706643,0.00595064,0.00000000,0.13570523,0.05006493,0.00103239,0.10164941
-5.96998499,0.30508718,0.00509007,0.00000000,0.13220364,0.04708149,0.00112565,0.10098706
-5.96398199,0.29560128,0.00432793,0.00000000,0.12953722,0.04449430,0.00121929,0.10106042
-5.95797899,0.28840896,0.00366051,0.00000000,0.12761982,0.04228444,0.00131221,0.10178491
-5.95197599,0.28327519,0.00308312,0.00000000,0.12634762,0.04042536,0.00140330,0.10307056
-5.94597299,0.27994485,0.00259047,0.00000000,0.12560480,0.03888489,0.00149156,0.10482766
-5.93996998,0.27815816,0.00217697,0.00000000,0.12526938,0.03762742,0.00157609,0.10697246
-5.93396698,0.27766599,0.00183704,0.00000000,0.12521908,0.03661604,0.00165620,0.10943279
-5.92796398,0.27824442,0.00156539,0.00000000,0.12533708,0.03581464,0.00173145,0.11215350
-5.92196098,0.27970820,0.00135720,0.00000000,0.12551731,0.03518987,0.00180176,0.11510133
-5.91595798,0.28192255,0.00120833,0.00000000,0.12566926,0.03471293,0.00186742,0.11826930
-5.90995498,0.28481307,0.00111543,0.00000000,0.12572203,0.03436101,0.00192919,0.12168025
-5.90395198,0.28837321,0.00107603,0.00000000,0.12562751,0.03411862,0.00198832,0.12538943
-5.89794897,0.29266930,0.00108861,0.00000000,0.12536260,0.03397842,0.00204663,0.12948605
-5.89194597,0.29784265,0.00115262,0.00000000,0.12493049,0.03394184,0.00210652,0.13409362
-5.88594297,0.30410887,0.00126841,0.00000000,0.12436080,0.03401934,0.00217100,0.13936895
-5.87993997,0.31175415,0.00143721,0.00000000,0.12370873,0.03423024,0.00224367,0.14549987
-5.87393697,0.32112860,0.00166106,0.00000000,0.12305326,0.03460234,0.00232872,0.15270155
-5.86793397,0.33263680,0.00194262,0.00000000,0.12249430,0.03517118,0.00243092,0.16121141
-5.86193097,0.34672572,0.00228511,0.00000000,0.12214922,0.03597892,0.00255550,0.17128280
-5.85592796,0.36387024,0.00269209,0.00000000,0.12214851,0.03707311,0.00270817,0.18317744
-5.84992496,0.38455666,0.00316727,0.00000000,0.12263103,0.03850513,0.00289494,0.19715684
-5.84392196,0.40926470,0.00371431,0.00000000,0.12373883,0.04032845,0.00312206,0.21347292
-5.83791896,0.43844831,0.00433661,0.00000000,0.12561172,0.04259678,0.00339587,0.23235794
-5.83191596,0.47251597,0.00503704,0.00000000,0.12838192,0.04536207,0.00372265,0.25401426
-5.82591296,0.51181104,0.00581773,0.00000000,0.13216866,0.04867246,0.00410845,0.27860402
-5.81990995,0.55659274,0.00667982,0.00000000,0.13707325,0.05257028,0.00455888,0.30623923
-5.81390695,0.60701849,0.00762325,0.00000000,0.14317441,0.05708996,0.00507895,0.33697260
-5.80790395,0.66312811,0.00864655,0.00000000,0.15052432,0.06225616,0.00567284,0.37078948
-5.80190095,0.72483063,0.00974665,0.00000000,0.15914527,0.06808196,0.00634367,0.40760119
-5.79589795,0.79189424,0.01091875,0.00000000,0.16902713,0.07456728,0.00709331,0.44724025
-5.78989495,0.86393982,0.01215624,0.00000000,0.18012569,0.08169753,0.00792217,0.48945757
-5.78389195,0.94043858,0.01345060,0.00000000,0.19236197,0.08944260,0.00882900,0.53392209
-5.77788894,1.02071400,0.01479143,0.00000000,0.20562248,0.09775615,0.00981075,0.58022279
-5.77188594,1.10394835,0.01616656,0.00000000,0.21976042,0.10657530,0.01086240,0.62787335
-5.76588294,1.18919381,0.01756211,0.00000000,0.23459797,0.11582084,0.01197690,0.67631934
-5.75987994,1.27538805,0.01896270,0.00000000,0.24992943,0.12539783,0.01314512,0.72494792
-5.75387694,1.36137396,0.02035171,0.00000000,0.26552525,0.13519666,0.01435588,0.77309974
-5.74787394,1.44592325,0.02171160,0.00000000,0.28113694,0.14509477,0.01559602,0.82008299
-5.74187094,1.52776318,0.02302418,0.00000000,0.29650254,0.15495865,0.01685060,0.86518885
-5.73586793,1.60560577,0.02427110,0.00000000,0.31135272,0.16464649,0.01810308,0.90770832
-5.72986493,1.67817868,0.02543416,0.00000000,0.32541721,0.17401110,0.01933565,0.94694956
-5.72386193,1.74425680,0.02649581,0.00000000,0.33843151,0.18290333,0.02052961,0.98225541
-5.71785893,1.80269355,0.02743953,0.00000000,0.35014352,0.19117561,0.02166579,1.01302045
-5.71185593,1.85245098,0.02825026,0.00000000,0.36032009,0.19868579,0.02272501,1.03870704
-5.70585293,1.89262752,0.02891480,0.00000000,0.36875310,0.20530094,0.02368861,1.05885975
-5.69984992,1.92248266,0.02942212,0.00000000,0.37526498,0.21090113,0.02453900,1.07311785
-5.69384692,1.94145747,0.02976367,0.00000000,0.37971356,0.21538298,0.02526013,1.08122521
-5.68784392,1.94919043,0.02993363,0.00000000,0.38199579,0.21866288,0.02583803,1.08303744
-5.68184092,1.94552791,0.02992906,0.00000000,0.38205064,0.22067972,0.02626126,1.07852599
-5.67583792,1.93052897,0.02974998,0.00000000,0.37986061,0.22139706,0.02652128,1.06777902
-5.66983492,1.90446423,0.02939939,0.00000000,0.37545217,0.22080458,0.02661277,1.05099908
-5.66383192,1.86780894,0.02888320,0.00000000,0.36889483,0.21891882,0.02653384,1.02849770
-5.65782891,1.82123039,0.02821008,0.00000000,0.36029913,0.21578308,0.02628614,1.00068704
-5.65182591,1.76557012,0.02739124,0.00000000,0.34981333,0.21146651,0.02587484,0.96806892
-5.64582291,1.70182167,0.02644018,0.00000000,0.33761915,0.20606242,0.02530854,0.93122168
