energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.74044555,0.01483330,0.09305343,0.44010275,0.26742878,0.97883322,0.00000000,0.21090789,0.09162033
-5.99399700,1.67225035,0.01445370,0.09163502,0.42056326,0.25672062,0.93643319,0.00000000,0.20708940,0.09005735
-5.98799400,1.59996543,0.01401646,0.08989389,0.40010644,0.24524748,0.89194335,0.00000000,0.20274975,0.08826820
-5.98199100,1.52435065,0.01352345,0.08787551,0.37894747,0.23311385,0.84578666,0.00000000,0.19799810,0.08627776
-5.97598799,1.44621681,0.01297815,0.08562858,0.35730925,0.22043708,0.79841276,0.00000000,0.19294545,0.08411537
-5.96998499,1.36640477,0.01238544,0.08320331,0.33541702,0.20734443,0.75028706,0.00000000,0.18770090,0.08181363
-5.96398199,1.28576383,0.01175152,0.08064987,0.31349318,0.19396987,0.70187950,0.00000000,0.18236826,0.07940721
-5.95797899,1.20513033,0.01108361,0.07801676,0.29175218,0.18045056,0.65365331,0.00000000,0.17704289,0.07693149
-5.95197599,1.12530751,0.01038971,0.07534945,0.27039605,0.16692342,0.60605431,0.00000000,0.17180919,0.07442128
-5.94597299,1.04704734,0.00967833,0.07268925,0.24961045,0.15352168,0.55950122,0.00000000,0.16673869,0.07190972
-5.93996998,0.97103525,0.00895821,0.07007241,0.22956151,0.14037183,0.51437737,0.00000000,0.16188887,0.06942725
-5.93396698,0.89787833,0.00823799,0.06752959,0.21039364,0.12759075,0.47102413,0.00000000,0.15730290,0.06700096
-5.92796398,0.82809733,0.00752598,0.06508569,0.19222821,0.11528352,0.42973632,0.00000000,0.15301016,0.06465409
-5.92196098,0.76212293,0.00682994,0.06275997,0.17516328,0.10354156,0.39075972,0.00000000,0.14902765,0.06240602
-5.91595798,0.70029602,0.00615686,0.06056664,0.15927426,0.09244150,0.35429067,0.00000000,0.14536222,0.06027245
-5.90995498,0.64287204,0.00551283,0.05851563,0.14461549,0.08204457,0.32047782,0.00000000,0.14201344,0.05826598
-5.90395198,0.59002892,0.00490291,0.05661372,0.13122262,0.07239652,0.28942563,0.00000000,0.13897707,0.05639693
-5.89794897,0.54187810,0.00433113,0.05486584,0.11911567,0.06352820,0.26119971,0.00000000,0.13624896,0.05467446
-5.89194597,0.49847794,0.00380041,0.05327653,0.10830260,0.05545644,0.23583332,0.00000000,0.13382910,0.05310775
-5.88594297,0.45984879,0.00331265,0.05185142,0.09878319,0.04818544,0.21333494,0.00000000,0.13172574,0.05170738
