energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.41718233,0.00731513,0.00000000,0.16691699,0.14572832,0.00036789,0.11980437
-5.99399700,0.41732867,0.00640658,0.00000000,0.16881964,0.14490978,0.00031645,0.11805676
-5.98799400,0.41653265,0.00557477,0.00000000,0.17013587,0.14384036,0.00027114,0.11612824
-5.98199100,0.41461296,0.00481957,0.00000000,0.17079094,0.14246114,0.00023141,0.11399043
-5.97598799,0.41141043,0.00413976,0.00000000,0.17072148,0.14071989,0.00019677,0.11161795
-5.96998499,0.40679385,0.00353318,0.00000000,0.16987794,0.13857285,0.00016678,0.10898973
-5.96398199,0.40066518,0.00299688,0.00000000,0.16822667,0.13598641,0.00014105,0.10609023
-5.95797899,0.39296382,0.00252729,0.00000000,0.16575140,0.13293854,0.00011927,0.10291053
-5.95197599,0.38366968,0.00212045,0.00000000,0.16245430,0.12941975,0.00010116,0.09944906
-5.94597299,0.37280493,0.00177217,0.00000000,0.15835634,0.12543377,0.00008651,0.09571209
-5.93996998,0.36043422,0.00147829,0.00000000,0.15349696,0.12099768,0.00007518,0.09171388
-5.93396698,0.34666346,0.00123481,0.00000000,0.14793316,0.11614155,0.00006712,0.08747641
-5.92796398,0.33163715,0.00103814,0.00000000,0.14173796,0.11090765,0.00006235,0.08302884
-5.92196098,0.31553457,0.00088526,0.00000000,0.13499838,0.10534923,0.00006101,0.07840670
-5.91595798,0.29856479,0.00077388,0.00000000,0.12781297,0.09952894,0.00006337,0.07365069
-5.90995498,0.28096112,0.00070263,0.00000000,0.12028905,0.09351700,0.00006985,0.06880545
-5.90395198,0.26297503,0.00067118,0.00000000,0.11253990,0.08738917,0.00008101,0.06391810
-5.89794897,0.24487001,0.00068040,0.00000000,0.10468181,0.08122473,0.00009763,0.05903675
-5.89194597,0.22691557,0.00073253,0.00000000,0.09683129,0.07510443,0.00012068,0.05420909
-5.88594297,0.20938178,0.00083125,0.00000000,0.08910260,0.06910859,0.00015138,0.04948099
-5.87993997,0.19253444,0.00098188,0.00000000,0.08160550,0.06331542,0.00019121,0.04489531
-5.87393697,0.17663110,0.00119142,0.00000000,0.07444345,0.05779957,0.00024192,0.04049085
-5.86793397,0.16191801,0.00146871,0.00000000,0.06771224,0.05263105,0.00030557,0.03630158
-5.86193097,0.14862804,0.00182448,0.00000000,0.06149912,0.04787434,0.00038452,0.03235606
-5.85592796,0.13697941,0.00227140,0.00000000,0.05588224,0.04358797,0.00048146,0.02867717
-5.84992496,0.12717525,0.00282408,0.00000000,0.05093063,0.03982418,0.00059936,0.02528198
-5.84392196,0.11940366,0.00349905,0.00000000,0.04670439,0.03662904,0.00074151,0.02218198
-5.83791896,0.11383819,0.00431462,0.00000000,0.04325518,0.03404249,0.00091146,0.01938334
-5.83191596,0.11063840,0.00529076,0.00000000,0.04062679,0.03209870,0.00111294,0.01688746
-5.82591296,0.10995031,0.00644876,0.00000000,0.03885585,0.03082636,0.00134988,0.01469152
-5.81990995,0.11190644,0.00781095,0.00000000,0.03797243,0.03024894,0.00162622,0.01278918
-5.81390695,0.11662541,0.00940020,0.00000000,0.03800056,0.03038487,0.00194590,0.01117127
-5.80790395,0.12421072,0.01123939,0.00000000,0.03895854,0.03124764,0.00231268,0.00982650
-5.80190095,0.13474884,0.01335078,0.00000000,0.04085907,0.03284566,0.00273001,0.00874208
-5.79589795,0.14830649,0.01575523,0.00000000,0.04370908,0.03518201,0.00320089,0.00790439
-5.78989495,0.16492715,0.01847143,0.00000000,0.04750936,0.03825397,0.00372771,0.00729944
-5.78389195,0.18462706,0.02151504,0.00000000,0.05225395,0.04205245,0.00431203,0.00691333
