energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.27495032,2.27037060,0.70232407,0.01869517,0.71171784,0.03679707,0.65400302
-5.99399700,2.26688870,2.24893133,0.70476626,0.01845715,0.70920955,0.03699199,0.65267899
-5.98799400,2.25287981,2.21739570,0.70822469,0.01810073,0.70651471,0.03703528,0.64851209
-5.98199100,2.23396725,2.17691203,0.71301257,0.01763370,0.70395225,0.03694102,0.64181893
-5.97598799,2.21141689,2.12887374,0.71950496,0.01706616,0.70191040,0.03672656,0.63297641
-5.96998499,2.18666208,2.07486813,0.72812055,0.01641004,0.70082932,0.03641163,0.62240574
-5.96398199,2.16124305,2.01661932,0.73930155,0.01567877,0.70118168,0.03601739,0.61055498
-5.95797899,2.13674319,1.95592797,0.75349228,0.01488673,0.70345206,0.03556542,0.59788102
-5.95197599,2.11472531,1.89461055,0.77111772,0.01404882,0.70811600,0.03507670,0.58483178
-5.94597299,2.09667061,1.83444066,0.79256273,0.01318000,0.71561978,0.03457069,0.57182956
-5.93996998,2.08392321,1.77709504,0.81815307,0.01229481,0.72636172,0.03406446,0.55925623
-5.93396698,2.07764257,1.72410628,0.84813906,0.01140699,0.74067571,0.03357200,0.54744104
-5.92796398,2.07876584,1.67682396,0.88268246,0.01052917,0.75881778,0.03310373,0.53665145
-5.92196098,2.08798147,1.63638565,0.92184727,0.00967257,0.78095614,0.03266614,0.52708748
-5.91595798,2.10571492,1.60369819,0.96559470,0.00884682,0.80716499,0.03226172,0.51887966
-5.90995498,2.13212670,1.57942971,1.01378260,0.00805986,0.83742231,0.03188910,0.51209055
-5.90395198,2.16712216,1.56401174,1.06616908,0.00731784,0.87161147,0.03154331,0.50671967
-5.89794897,2.21037214,1.55765089,1.12242020,0.00662522,0.90952657,0.03121631,0.50271136
-5.89194597,2.26134284,1.56034848,1.18212117,0.00598481,0.95088096,0.03089764,0.49996510
-5.88594297,2.31933292,1.57192689,1.24479047,0.00539792,0.99531846,0.03057516,0.49834758
-5.87993997,2.38351566,1.59206060,1.30989607,0.00486455,1.04242670,0.03023586,0.49770575
-5.87393697,2.45298371,1.62031008,1.37687289,0.00438357,1.09175169,0.02986671,0.49788016
-5.86793397,2.52679385,1.65615659,1.44514065,0.00395296,1.14281306,0.02945542,0.49871776
-5.86193097,2.60400958,1.69903601,1.51412106,0.00356998,1.19511903,0.02899120,0.50008344
-5.85592796,2.68373924,1.74836997,1.58325368,0.00323148,1.24818053,0.02846538,0.50186972
-5.84992496,2.76516785,1.80359296,1.65200952,0.00293399,1.30152378,0.02787188,0.50400411
-5.84392196,2.84758134,1.86417408,1.71990191,0.00267398,1.35470079,0.02720753,0.50645371
-5.83791896,2.93038210,1.92963279,1.78649404,0.00244793,1.40729746,0.02647223,0.50922692
-5.83191596,3.01309554,1.99954818,1.85140308,0.00225255,1.45893895,0.02566897,0.51237229
-5.82591296,3.09536784,2.07356166,1.91430069,0.00208481,1.50929232,0.02480362,0.51597448
-5.81990995,3.17695529,2.15137357,1.97491027,0.00194201,1.55806651,0.02388467,0.52014787
-5.81390695,3.25770660,2.23273419,2.03300125,0.00182185,1.60500996,0.02292278,0.52502808
-5.80790395,3.33753954,2.31743031,2.08838096,0.00172247,1.64990620,0.02193030,0.53076197
-5.80190095,3.41641383,2.40526852,2.14088501,0.00164242,1.69256804,0.02092069,0.53749680
-5.79589795,3.49430219,2.49605666,2.19036683,0.00158068,1.73283094,0.01990797,0.54536915
-5.78989495,3.57116188,2.58958495,2.23668742,0.00153663,1.77054619,0.01890616,0.55449425
-5.78389195,3.64690867,2.68560846,2.27970622,0.00151008,1.80557468,0.01792874,0.56495634
-5.77788894,3.72139526,2.78383220,2.31927388,0.00150120,1.83778189,0.01698820,0.57680073
-5.77188594,3.79439577,2.88390039,2.35522782,0.00151051,1.86703453,0.01609568,0.59002775
-5.76588294,3.86559767,2.98539080,2.38739095,0.00153889,1.89319954,0.01526072,0.60458923
-5.75987994,3.93460183,3.08781513,2.41557408,0.00158751,1.91614546,0.01449103,0.62038755
-5.75387694,4.00093113,3.19062563,2.43958201,0.00165785,1.93574638,0.01379248,0.63727729
-5.74787394,4.06404727,3.29322819,2.45922312,0.00175164,1.95188843,0.01316913,0.65506956
-5.74187094,4.12337505,3.39500130,2.47432200,0.00187088,1.96447839,0.01262331,0.67353855
-5.73586793,4.17833273,3.49532008,2.48473447,0.00201772,1.97345388,0.01215585,0.69243023
-5.72986493,4.22836680,3.59358424,2.49036393,0.00219450,1.97879466,0.01176627,0.71147245
-5.72386193,4.27298901,3.68924830,2.49117811,0.00240362,1.98053395,0.01145314,0.73038616
-5.71785893,4.31181331,3.78185228,2.48722487,0.00264752,1.97876917,0.01121429,0.74889697
-5.71185593,4.34459037,3.87105097,2.47864599,0.00292857,1.97367100,0.01104713,0.76674659
