energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.00900450,1.65057445,0.72664501,0.00000000,0.96258658,0.72417797,0.60748664,0.00000000
0.01500750,1.65806989,0.73121030,0.00000000,0.97076720,0.72493252,0.61248486,0.00000000
0.02101051,1.65828125,0.73208769,0.00000000,0.97377981,0.72275733,0.61434871,0.00000000
0.02701351,1.65171878,0.72943025,0.00000000,0.97178991,0.71793779,0.61315879,0.00000000
0.03301651,1.63907436,0.72348038,0.00000000,0.96510376,0.71082344,0.60908434,0.00000000
0.03901951,1.62119724,0.71456177,0.00000000,0.95416174,0.70181433,0.60237814,0.00000000
0.04502251,1.59906462,0.70306877,0.00000000,0.93952751,0.69134573,0.59336877,0.00000000
0.05102551,1.57374812,0.68945366,0.00000000,0.92187321,0.67987182,0.58245060,0.00000000
0.05702851,1.54637755,0.67421205,0.00000000,0.90196122,0.66784899,0.57007177,0.00000000
0.06303152,1.51810321,0.65786739,0.00000000,0.88062301,0.65571946,0.55672059,0.00000000
0.06903452,1.49005826,0.64095477,0.00000000,0.85873586,0.64389588,0.54291076,0.00000000
0.07503752,1.46332252,0.62400497,0.00000000,0.83719828,0.63274753,0.52916602,0.00000000
0.08104052,1.43888913,0.60752910,0.00000000,0.81690471,0.62258870,0.51600465,0.00000000
0.08704352,1.41763520,0.59200449,0.00000000,0.79872063,0.61366954,0.50392442,0.00000000
0.09304652,1.40029732,0.57786229,0.00000000,0.78345851,0.60616990,0.49338841,0.00000000
0.09904952,1.38745285,0.56547694,0.00000000,0.77185544,0.60019612,0.48481217,0.00000000
0.10505253,1.37950731,0.55515800,0.00000000,0.76455307,0.59578092,0.47855249,0.00000000
0.11105553,1.37668800,0.54714425,0.00000000,0.76208021,0.59288619,0.47489823,0.00000000
0.11705853,1.37904390,0.54160019,0.00000000,0.76483852,0.59140847,0.47406315,0.00000000
0.12306153,1.38645130,0.53861484,0.00000000,0.77309165,0.59118674,0.47618113,0.00000000
