energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
4.54727364,1.24050683,1.26678661,0.50565637,0.00545623,0.20054080,0.61113547,0.05195669
4.55327664,1.22731392,1.22441951,0.48954363,0.00608650,0.19233105,0.63259025,0.05121823
4.55927964,1.21437272,1.18337364,0.47421420,0.00687037,0.18433921,0.65252783,0.05035701
4.56528264,1.20184035,1.14370189,0.45975216,0.00782233,0.17656726,0.67081160,0.04939511
4.57128564,1.19002036,1.10560981,0.44629796,0.00895775,0.16903866,0.68738075,0.04836041
4.57728864,1.17935622,1.06944941,0.43404456,0.01029259,0.16179703,0.70225483,0.04728574
4.58329165,1.17041904,1.03570710,0.42323113,0.01184292,0.15490392,0.71553511,0.04620798
4.58929465,1.16388983,1.00498638,0.41413472,0.01362450,0.14843587,0.72740260,0.04516695
4.59529765,1.16053704,0.97798599,0.40706026,0.01565216,0.14248087,0.73811253,0.04420427
4.60130065,1.16118995,0.95547452,0.40232923,0.01793927,0.13713455,0.74798556,0.04336216
4.60730365,1.16670897,0.93826206,0.40026740,0.02049698,0.13249602,0.75739588,0.04268218
4.61330665,1.17795360,0.92717013,0.40119209,0.02333362,0.12866381,0.76675671,0.04220409
4.61930965,1.19574915,0.92300032,0.40539927,0.02645390,0.12573181,0.77650371,0.04196467
4.62531266,1.22085315,0.92650285,0.41315092,0.02985826,0.12378552,0.78707705,0.04199667
4.63131566,1.25392259,0.93834566,0.42466290,0.03354215,0.12289856,0.79890283,0.04232783
4.63731866,1.29548291,0.95908488,0.44009386,0.03749546,0.12312965,0.81237472,0.04298002
4.64332166,1.34589986,0.98913759,0.45953528,0.04170195,0.12452003,0.82783656,0.04396853
4.64932466,1.40535519,1.02875758,0.48300318,0.04613889,0.12709148,0.84556684,0.04530149
4.65532766,1.47382717,1.07801500,0.51043163,0.05077681,0.13084486,0.86576553,0.04697940
4.66133067,1.55107672,1.13678077,0.54166849,0.05557947,0.13575927,0.88854407,0.04899496
4.66733367,1.63664000,1.20471641,0.57647351,0.06050401,0.14179184,0.91391888,0.05133290
4.67333667,1.72982809,1.28127010,0.61451917,0.06550137,0.14887822,0.94180863,0.05397017
4.67933967,1.82973416,1.36567960,0.65539433,0.07051692,0.15693363,0.97203550,0.05687623
4.68534267,1.93524835,1.45698244,0.69861092,0.07549140,0.16585464,1.00433023,0.06001360
4.69134567,2.04508042,1.55403367,0.74361350,0.08036200,0.17552157,1.03834091,0.06333857
4.69734867,2.15778972,1.65553111,0.78979183,0.08506379,0.18580150,1.07364487,0.06680222
4.70335168,2.27182194,1.76004786,0.83649609,0.08953120,0.19655182,1.10976334,0.07035155
4.70935468,2.38555156,1.86607121,0.88305445,0.09369973,0.20762427,1.14617814,0.07393082
4.71535768,2.49732891,1.97204722,0.92879248,0.09750775,0.21886938,1.18234955,0.07748311
4.72136068,2.60552996,2.07642920,0.97305377,0.10089822,0.23014106,1.21773480,0.08095191
4.72736368,2.70860729,2.17772873,1.01522099,0.10382049,0.24130141,1.25180609,0.08428282
4.73336668,2.80514009,2.27456691,1.05473668,0.10623191,0.25222529,1.28406764,0.08742531
4.73936968,2.89388102,2.36572389,1.09112261,0.10809922,0.26280470,1.31407079,0.09033433
4.74537269,2.97379800,2.45018421,1.12399706,0.10939972,0.27295260,1.34142671,0.09297189
4.75137569,3.04410879,2.52717589,1.15308896,0.11012216,0.28260606,1.36581611,0.09530840
4.75737869,3.10430673,2.59620097,1.17824826,0.11026717,0.29172852,1.38699564,0.09732376
4.76338169,3.15417617,2.65705595,1.19945170,0.10984733,0.30031104,1.40480083,0.09900813
4.76938469,3.19379662,2.70984046,1.21680378,0.10888695,0.30837237,1.41914541,0.10036236
4.77538769,3.22353531,2.75495364,1.23053239,0.10742122,0.31595786,1.43001742,0.10139796
4.78139070,3.24402811,2.79307766,1.24097955,0.10549526,0.32313709,1.43747220,0.10213669
4.78739370,3.25614977,2.82514909,1.24858711,0.10316259,0.33000041,1.44162291,0.10260977
4.79339670,3.26097454,2.85231891,1.25387842,0.10048356,0.33665444,1.44262915,0.10285662
4.79939970,3.25972925,2.87590305,1.25743639,0.09752339,0.34321665,1.44068441,0.10292337
4.80540270,3.25374090,2.89732568,1.25987931,0.09435026,0.34980948,1.43600305,0.10286095
4.81140570,3.24438143,2.91805790,1.26183529,0.09103326,0.35655396,1.42880764,0.10272317
4.81740870,3.23301239,2.93955486,1.26391680,0.08764047,0.36356347,1.41931745,0.10256453
4.82341171,3.22093219,2.96319444,1.26669644,0.08423714,0.37093769,1.40773861,0.10243811
4.82941471,3.20932867,2.99022067,1.27068523,0.08088413,0.37875725,1.39425662,0.10239357
4.83541771,3.19923908,3.02169458,1.27631444,0.07763653,0.38707921,1.37903146,0.10247531
4.84142071,3.19151946,3.05845514,1.28392191,0.07454272,0.39593382,1.36219560,0.10272089
4.84742371,3.18682471,3.10109206,1.29374340,0.07164360,0.40532244,1.34385492,0.10315982
4.85342671,3.18559995,3.14993178,1.30590945,0.06897234,0.41521715,1.32409228,0.10381272
4.85942971,3.18808322,3.20503721,1.32044766,0.06655429,0.42556169,1.30297337,0.10469094
4.86543272,3.19431898,3.26622079,1.33729022,0.06440730,0.43627394,1.28055452,0.10579652
4.87143572,3.20418099,3.33307006,1.35628611,0.06254224,0.44724981,1.25689150,0.10712264
4.87743872,3.21740303,3.40498384,1.37721712,0.06096378,0.45836814,1.23204891,0.10865439
4.88344172,3.23361507,3.48121687,1.39981668,0.05967120,0.46949666,1.20610922,0.11036984
4.88944472,3.25238273,3.56092997,1.42379044,0.05865944,0.48049842,1.17918083,0.11224136
4.89544772,3.27324727,3.64324284,1.44883715,0.05792006,0.49123852,1.15140448,0.11423708
4.90145073,3.29576374,3.72728622,1.47466881,0.05744217,0.50159071,1.12295741,0.11632245
4.90745373,3.31953503,3.81225045,1.50102885,0.05721337,0.51144352,1.09405506,0.11846177
4.91345673,3.34423976,3.89742747,1.52770718,0.05722049,0.52070560,1.06494990,0.12061956
4.91945973,3.36965259,3.98224402,1.55455157,0.05745017,0.52930999,1.03592748,0.12276192
4.92546273,3.39565578,4.06628421,1.58147438,0.05788939,0.53721704,1.00729982,0.12485751
4.93146573,3.42224176,4.14930014,1.60845466,0.05852569,0.54441590,0.97939641,0.12687838
4.93746873,3.44950655,4.23121030,1.63553531,0.05934733,0.55092446,0.95255348,0.12880053
4.94347174,3.47763489,4.31208590,1.66281568,0.06034330,0.55678770,0.92710179,0.13060412
4.94947474,3.50687802,4.39212618,1.69043999,0.06150311,0.56207468,0.90335394,0.13227346
4.95547774,3.53752575,4.47162416,1.71858230,0.06281664,0.56687414,0.88159165,0.13379682
4.96148074,3.56987459,4.55092523,1.74742892,0.06427376,0.57128911,0.86205382,0.13516590
4.96748374,3.60419385,4.63038076,1.77715931,0.06586401,0.57543072,0.84492588,0.13637531
4.97348674,3.64069194,4.71029982,1.80792638,0.06757628,0.57941159,0.83033119,0.13742187
4.97948974,3.67948475,4.79090163,1.83983753,0.06939841,0.58333910,0.81832465,0.13830383
4.98549275,3.72056802,4.87227174,1.87293729,0.07131693,0.58730900,0.80888908,0.13902022
4.99149575,3.76379528,4.95432431,1.90719255,0.07331683,0.59139951,0.80193443,0.13957014
4.99749875,3.80886270,5.03677294,1.94248128,0.07538134,0.59566643,0.79729985,0.13995221
5.00350175,3.85530164,5.11911151,1.97858524,0.07749192,0.60013937,0.79475857,0.14016415
5.00950475,3.90247949,5.20060651,2.01518727,0.07962820,0.60481933,0.79402533,0.14020249
5.01550775,3.94960879,5.28030129,2.05187316,0.08176814,0.60967773,0.79476596,0.14006247
5.02151076,3.99576431,5.35703228,2.08813838,0.08388820,0.61465702,0.79660878,0.13973804
5.02751376,4.03990728,5.42945643,2.12339906,0.08596364,0.61967267,0.79915728,0.13922211
5.03351676,4.08091575,5.49608894,2.15700719,0.08796888,0.62461661,0.80200350,0.13850685
5.03951976,4.11761970,5.55534927,2.18826902,0.08987796,0.62936169,0.80474155,0.13758415
5.04552276,4.14883925,5.60561362,2.21646624,0.09166502,0.63376721,0.80698081,0.13644613
5.05152576,4.17342443,5.64527142,2.24087881,0.09330486,0.63768497,0.80835818,0.13508573
5.05752876,4.19029460,5.67278325,2.26080854,0.09477350,0.64096566,0.80854894,0.13349727
5.06353177,4.19847584,5.68673770,2.27560257,0.09604875,0.64346522,0.80727584,0.13167707
5.06953477,4.19713485,5.68590473,2.28467553,0.09711073,0.64505083,0.80431608,0.12962390
5.07553777,4.18560775,5.66928306,2.28752973,0.09794238,0.64560628,0.79950599,0.12733949
5.08154077,4.16342277,5.63613990,2.28377234,0.09852987,0.64503647,0.79274324,0.12482884
5.08754377,4.13031589,5.58604111,2.27312903,0.09886292,0.64327074,0.78398660,0.12210044
5.09354677,4.08623892,5.51887092,2.25545351,0.09893504,0.64026507,0.77325339,0.11916641
5.09954977,4.03135991,5.43484040,2.23073260,0.09874358,0.63600293,0.76061473,0.11604243
5.10555278,3.96605589,5.33448462,2.19908673,0.09828970,0.63049489,0.74618904,0.11274761
5.11155578,3.89089871,5.21864877,2.16076595,0.09757821,0.62377704,0.73013395,0.10930419
5.11755878,3.80663455,5.08846422,2.11614164,0.09661727,0.61590838,0.71263723,0.10573716
5.12356178,3.71415834,4.94531556,2.06569446,0.09541798,0.60696736,0.69390712,0.10207379
5.12956478,3.61448429,4.79080028,2.00999898,0.09399391,0.59704780,0.67416263,0.09834308
5.13556778,3.50871390,4.62668292,1.94970587,0.09236055,0.58625448,0.65362410,0.09457513
5.14157079,3.39800298,4.45484563,1.88552231,0.09053476,0.57469863,0.63250465,0.09080056
5.14757379,3.28352901,4.27723708,1.81819156,0.08853423,0.56249362,0.61100282,0.08704985
5.15357679,3.16646016,4.09582185,1.74847238,0.08637698,0.54975096,0.58929660,0.08335277
5.15957979,3.04792724,3.91253198,1.67711935,0.08408094,0.53657699,0.56753926,0.07973779
5.16558279,2.92899938,3.72922249,1.60486460,0.08166365,0.52307024,0.54585684,0.07623158
5.17158579,2.81066426,3.54763208,1.53240167,0.07914203,0.50931961,0.52434754,0.07285858
5.17758879,2.69381321,3.36935011,1.46037202,0.07653234,0.49540338,0.50308271,0.06964066
5.18359180,2.57923156,3.19579078,1.38935448,0.07385023,0.48138913,0.48210931,0.06659678
5.18959480,2.46759381,3.02817456,1.31985795,0.07111093,0.46733435,0.46145374,0.06374290
5.19559780,2.35946368,2.86751723,1.25231725,0.06832950,0.45328770,0.44112638,0.06109179
