energy_ev,total_up,In_p_up,In_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.76965224,0.34822987,0.00280710,0.61972188,0.61312541,0.90638102,0.00000000
-5.99399700,1.73269869,0.34500252,0.00298706,0.60986801,0.59623634,0.87314910,0.00000000
-5.98799400,1.70165525,0.34277700,0.00320231,0.60319244,0.58097147,0.84187257,0.00000000
-5.98199100,1.67753211,0.34172774,0.00345255,0.59993964,0.56772129,0.81325054,0.00000000
-5.97598799,1.66106670,0.34197003,0.00373670,0.60026200,0.55678630,0.78785322,0.00000000
-5.96998499,1.65268981,0.34355459,0.00405289,0.60420637,0.54836555,0.76610421,0.00000000
-5.96398199,1.65250417,0.34646472,0.00439831,0.61170482,0.54254946,0.74826879,0.00000000
-5.95797899,1.66027632,0.35061642,0.00476929,0.62257015,0.53931710,0.73444854,0.00000000
-5.95197599,1.67544219,0.35586118,0.00516124,0.63649618,0.53853805,0.72458228,0.00000000
-5.94597299,1.69712589,0.36199160,0.00556869,0.65306321,0.53997855,0.71845318,0.00000000
-5.93996998,1.72417105,0.36874936,0.00598541,0.67174814,0.54331187,0.71570166,0.00000000
-5.93396698,1.75518328,0.37583541,0.00640449,0.69193917,0.54813205,0.71584322,0.00000000
-5.92796398,1.78858191,0.38292173,0.00681851,0.71295432,0.55397071,0.71829064,0.00000000
-5.92196098,1.82265892,0.38966428,0.00721968,0.73406319,0.56031595,0.72237936,0.00000000
-5.91595798,1.85564245,0.39571656,0.00760008,0.75451108,0.56663265,0.72739499,0.00000000
-5.90995498,1.88576242,0.40074311,0.00795188,0.77354443,0.57238323,0.73260196,0.00000000
-5.90395198,1.91131544,0.40443252,0.00826756,0.79043663,0.57704806,0.73727194,0.00000000
-5.89794897,1.93072647,0.40650924,0.00854014,0.80451317,0.58014464,0.74071115,0.00000000
-5.89194597,1.94260474,0.40674388,0.00876339,0.81517510,0.58124494,0.74228538,0.00000000
-5.88594297,1.94579186,0.40496145,0.00893208,0.82191989,0.57998999,0.74144197,0.00000000
-5.87993997,1.93940032,0.40104740,0.00904211,0.82435883,0.57610153,0.73772789,0.00000000
-5.87393697,1.92284109,0.39495114,0.00909064,0.82223045,0.56939008,0.73080347,0.00000000
-5.86793397,1.89583959,0.38668707,0.00907622,0.81540936,0.55975946,0.72045145,0.00000000
-5.86193097,1.85843987,0.37633319,0.00899883,0.80391040,0.54720756,0.70658112,0.00000000
-5.85592796,1.81099713,0.36402741,0.00885983,0.78788794,0.53182364,0.68922786,0.00000000
-5.84992496,1.75415965,0.34996186,0.00866197,0.76763064,0.51378236,0.66854807,0.00000000
-5.84392196,1.68884118,0.33437562,0.00840926,0.74355191,0.49333505,0.64481020,0.00000000
