energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.71411817,0.35740460,0.00897098,0.59596124,1.94156756,1.67389686,0.03506770,1.04089424
-5.99399700,3.68365146,0.34554883,0.00883744,0.60562421,1.88104371,1.68784119,0.03399732,1.00652691
-5.98799400,3.65657111,0.33423003,0.00867238,0.61609136,1.82555076,1.70344039,0.03287162,0.97276118
-5.98199100,3.63356580,0.32356893,0.00847639,0.62737809,1.77613524,1.72077111,0.03170336,0.93998317
-5.97598799,3.61521241,0.31366733,0.00825054,0.63947894,1.73373463,1.73985002,0.03050682,0.90855389
-5.96998499,3.60197133,0.30460837,0.00799635,0.65236757,1.69916870,1.76063392,0.02929758,0.87880637
-5.96398199,3.59418419,0.29645709,0.00771583,0.66599716,1.67313315,1.78302163,0.02809227,0.85104300
-5.95797899,3.59207361,0.28926142,0.00741145,0.68030138,1.65619503,1.80685751,0.02690822,0.82553308
-5.95197599,3.59574494,0.28305322,0.00708614,0.69519568,1.64878957,1.83193640,0.02576310,0.80251066
-5.94597299,3.60518946,0.27784950,0.00674324,0.71057902,1.65121819,1.85800967,0.02467448,0.78217245
-5.93996998,3.62028867,0.27365362,0.00638641,0.72633578,1.66364729,1.88479211,0.02365938,0.76467588
-5.93396698,3.64081947,0.27045631,0.00601956,0.74233779,1.68610759,1.91196931,0.02273384,0.75013741
-5.92796398,3.66645961,0.26823671,0.00564680,0.75844645,1.71849391,1.93920503,0.02191246,0.73863094
-5.92196098,3.69679339,0.26696309,0.00527229,0.77451471,1.76056523,1.96614831,0.02120797,0.73018652
-5.91595798,3.73131701,0.26659347,0.00490015,0.79038891,1.81194519,1.99243999,0.02063088,0.72478934
-5.90995498,3.76944380,0.26707604,0.00453439,0.80591038,1.87212296,2.01771831,0.02018914,0.72237905
-5.90395198,3.81050899,0.26834941,0.00417879,0.82091682,1.94045482,2.04162349,0.01988784,0.72284955
-5.89794897,3.85377429,0.27034276,0.00383680,0.83524338,2.01616671,2.06380129,0.01972909,0.72604921
-5.89194597,3.89843243,0.27297596,0.00351150,0.84872361,2.09835796,2.08390542,0.01971184,0.73178180
-5.88594297,3.94361207,0.27615964,0.00320554,0.86119021,2.18600666,2.10159916,0.01983191,0.73980794
-5.87993997,3.98838341,0.27979545,0.00292106,0.87247574,2.27797702,2.11655633,0.02008196,0.74984743
-5.87393697,4.03176501,0.28377644,0.00265972,0.88241348,2.37302899,2.12846191,0.02045172,0.76158230
-5.86793397,4.07273236,0.28798762,0.00242263,0.89083842,2.46983048,2.13701273,0.02092815,0.77466080
-5.86193097,4.11022857,0.29230699,0.00221044,0.89758854,2.56697233,2.14191847,0.02149575,0.78870231
-5.85592796,4.14317753,0.29660674,0.00202329,0.90250656,2.66298621,2.14290345,0.02213696,0.80330314
-5.84992496,4.17049978,0.30075504,0.00186087,0.90544200,2.75636523,2.13970924,0.02283255,0.81804328
-5.84392196,4.19113105,0.30461804,0.00172249,0.90625383,2.84558732,2.13209848,0.02356218,0.83249400
-5.83791896,4.20404330,0.30806239,0.00160710,0.90481349,2.92914079,2.11985977,0.02430488,0.84622611
-5.83191596,4.20826782,0.31095806,0.00151337,0.90100827,3.00555178,2.10281369,0.02503964,0.85881891
-5.82591296,4.20291978,0.31318138,0.00143976,0.89474488,3.07341276,2.08081962,0.02574600,0.86986942
-5.81990995,4.18722340,0.31461826,0.00138455,0.88595321,3.13141155,2.05378316,0.02640463,0.87900172
-5.81390695,4.16053668,0.31516749,0.00134593,0.87458990,3.17835971,2.02166368,0.02699790,0.88587620
-5.80790395,4.12237473,0.31474385,0.00132204,0.86064158,3.21321964,1.98448152,0.02751035,0.89019822
-5.80190095,4.07243044,0.31328106,0.00131105,0.84412765,3.23512931,1.94232440,0.02792920,0.89172607
-5.79589795,4.01059157,0.31073426,0.00131118,0.82510238,3.24342369,1.89535248,0.02824472,0.89027768
-5.78989495,3.93695309,0.30708199,0.00132073,0.80365605,3.23765215,1.84380170,0.02845047,0.88573603
-5.78389195,3.85182414,0.30232750,0.00133816,0.77991519,3.21759101,1.78798492,0.02854355,0.87805283
-5.77788894,3.75572888,0.29649931,0.00136210,0.75404169,3.18325078,1.72829071,0.02852461,0.86725030
-5.77188594,3.64940101,0.28965102,0.00139135,0.72623083,3.13487766,1.66517957,0.02839778,0.85342102
-5.76588294,3.53377194,0.28186017,0.00142491,0.69670828,3.07294924,1.59917768,0.02817054,0.83672567
-5.75987994,3.40995275,0.27322638,0.00146202,0.66572606,2.99816439,1.53086813,0.02785336,0.81738886
-5.75387694,3.27921077,0.26386877,0.00150212,0.63355771,2.91142779,1.46088019,0.02745934,0.79569296
-5.74787394,3.14294133,0.25392260,0.00154486,0.60049280,2.81382951,1.38987670,0.02700368,0.77197041
-5.74187094,3.00263601,0.24353549,0.00159011,0.56683092,2.70662045,1.31854038,0.02650312,0.74659452
-5.73586793,2.85984836,0.23286325,0.00163795,0.53287558,2.59118446,1.24755930,0.02597534,0.71996934
-5.72986493,2.71615867,0.22206548,0.00168864,0.49892803,2.46900813,1.17761244,0.02543830,0.69251887
-5.72386193,2.57313896,0.21130122,0.00174260,0.46528137,2.34164932,1.10935559,0.02490963,0.66467597
-5.71785893,2.43231956,0.20072466,0.00180042,0.43221518,2.21070549,1.04340849,0.02440599,0.63687156
