energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.67197019,0.20725370,0.00000000,0.60953286,0.00000000,0.38472672,0.18418684
-5.99399700,1.63160533,0.22471995,0.00000000,0.57242188,0.00000000,0.39078869,0.17703567
-5.98799400,1.59907470,0.24341962,0.00000000,0.53812240,0.00000000,0.39988071,0.17057430
-5.98199100,1.57508382,0.26319547,0.00000000,0.50720699,0.00000000,0.41212560,0.16485486
-5.97598799,1.56015962,0.28385462,0.00000000,0.48019833,0.00000000,0.42759597,0.15990985
-5.96998499,1.55464654,0.30517096,0.00000000,0.45756406,0.00000000,0.44631059,0.15575185
-5.96398199,1.55871176,0.32688911,0.00000000,0.43971453,0.00000000,0.46823270,0.15237423
-5.95797899,1.57235870,0.34872986,0.00000000,0.42700304,0.00000000,0.49327057,0.14975291
-5.95197599,1.59544763,0.37039689,0.00000000,0.41972820,0.00000000,0.52128005,0.14784880
-5.94597299,1.62772150,0.39158462,0.00000000,0.41813766,0.00000000,0.55206909,0.14661106
-5.93996998,1.66883518,0.41198687,0.00000000,0.42243268,0.00000000,0.58540381,0.14598059
-5.93396698,1.71838596,0.43130593,0.00000000,0.43277280,0.00000000,0.62101598,0.14589391
-5.92796398,1.77594315,0.44926176,0.00000000,0.44927999,0.00000000,0.65861132,0.14628681
-5.92196098,1.84107492,0.46560085,0.00000000,0.47204178,0.00000000,0.69787829,0.14709793
-5.91595798,1.91337057,0.48010428,0.00000000,0.50111276,0.00000000,0.73849697,0.14827176
-5.90995498,1.99245677,0.49259482,0.00000000,0.53651429,0.00000000,0.78014743,0.14976116
-5.90395198,2.07800683,0.50294245,0.00000000,0.57823213,0.00000000,0.82251729,0.15152908
-5.89794897,2.16974252,0.51106831,0.00000000,0.62621211,0.00000000,0.86530810,0.15354962
-5.89194597,2.26742826,0.51694667,0.00000000,0.68035393,0.00000000,0.90824011,0.15580824
-5.88594297,2.37085835,0.52060498,0.00000000,0.74050347,0.00000000,0.95105540,0.15830122
-5.87993997,2.47983795,0.52212191,0.00000000,0.80644406,0.00000000,0.99351914,0.16103455
-5.87393697,2.59415936,0.52162346,0.00000000,0.87788734,0.00000000,1.03541898,0.16402210
-5.86793397,2.71357500,0.51927740,0.00000000,0.95446444,0.00000000,1.07656282,0.16728351
-5.86193097,2.83776931,0.51528625,0.00000000,1.03571807,0.00000000,1.11677504,0.17084170
-5.85592796,2.96633116,0.50987904,0.00000000,1.12109644,0.00000000,1.15589164,0.17472032
-5.84992496,3.09872909,0.50330242,0.00000000,1.20994951,0.00000000,1.19375466,0.17894122
-5.84392196,3.23429103,0.49581137,0.00000000,1.30152845,0.00000000,1.23020643,0.18352203
-5.83791896,3.37219020,0.48765997,0.00000000,1.39498847,0.00000000,1.26508402,0.18847415
-5.83191596,3.51143842,0.47909263,0.00000000,1.48939566,0.00000000,1.29821458,0.19380100
-5.82591296,3.65088778,0.47033612,0.00000000,1.58373781,0.00000000,1.32941191,0.19949684
-5.81990995,3.78924095,0.46159283,0.00000000,1.67693920,0.00000000,1.35847471,0.20554598
-5.81390695,3.92507021,0.45303532,0.00000000,1.76787919,0.00000000,1.38518672,0.21192252
-5.80790395,4.05684453,0.44480249,0.00000000,1.85541397,0.00000000,1.40931909,0.21859054
-5.80190095,4.18296377,0.43699744,0.00000000,1.93840100,0.00000000,1.43063472,0.22550474
-5.79589795,4.30179853,0.42968692,0.00000000,2.01572522,0.00000000,1.44889474,0.23261140
-5.78989495,4.41173400,0.42290253,0.00000000,2.08632620,0.00000000,1.46386657,0.23984962
-5.78389195,4.51121595,0.41664324,0.00000000,2.14922504,0.00000000,1.47533329,0.24715274
-5.77788894,4.59879669,0.41087923,0.00000000,2.20355021,0.00000000,1.48310382,0.25444989
-5.77188594,4.67317909,0.40555676,0.00000000,2.24856117,0.00000000,1.48702316,0.26166759
-5.76588294,4.73325673,0.40060369,0.00000000,2.28366882,0.00000000,1.48698217,0.26873122
-5.75987994,4.77814845,0.39593543,0.00000000,2.30845207,0.00000000,1.48292622,0.27556649
-5.75387694,4.80722594,0.39146095,0.00000000,2.32266979,0.00000000,1.47486214,0.28210071
-5.74787394,4.82013333,0.38708858,0.00000000,2.32626774,0.00000000,1.46286295,0.28826394
-5.74187094,4.81679804,0.38273140,0.00000000,2.31938014,0.00000000,1.44707007,0.29398993
