energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,10.15367052,0.06156239,2.00570526,0.03283742,0.00000000,5.30146502,4.27298735,0.10021490,3.60784690
-5.99399700,10.17537189,0.06275799,2.03026617,0.03272495,0.00000000,5.39940549,4.28620588,0.10062634,3.59113941
-5.98799400,10.18672396,0.06382393,2.04743818,0.03265272,0.00000000,5.49552776,4.28624923,0.10134898,3.57794410
-5.98199100,10.18734411,0.06476089,2.05681904,0.03262504,0.00000000,5.58853405,4.27293490,0.10239030,3.56851564
-5.97598799,10.17699292,0.06557114,2.05815807,0.03264463,0.00000000,5.67715673,4.24631333,0.10375325,3.56299943
-5.96998499,10.15557806,0.06625824,2.05136343,0.03271260,0.00000000,5.76017261,4.20667297,0.10543571,3.56142552
-5.96398199,10.12315091,0.06682655,2.03650397,0.03282831,0.00000000,5.83641492,4.15453693,0.10743010,3.56370502
-5.95797899,10.07989608,0.06728083,2.01380571,0.03298935,0.00000000,5.90478354,4.09065109,0.10972310,3.56962875
-5.95197599,10.02611444,0.06762575,1.98364318,0.03319155,0.00000000,5.96425388,4.01596416,0.11229543,3.57886852
-5.94597299,9.96220057,0.06786546,1.94652608,0.03342908,0.00000000,6.01388476,3.93160038,0.11512181,3.59098090
-5.93996998,9.88861627,0.06800319,1.90308200,0.03369453,0.00000000,6.05282588,3.83882603,0.11817105,3.60541336
-5.93396698,9.80586138,0.06804093,1.85403589,0.03397911,0.00000000,6.08032492,3.73901142,0.12140628,3.62151295
-5.92796398,9.71444402,0.06797915,1.80018737,0.03427281,0.00000000,6.09573467,3.63358991,0.12478527,3.63853715
-5.92196098,9.61485202,0.06781675,1.74238684,0.03456470,0.00000000,6.09852019,3.52401599,0.12826095,3.65566703
-5.91595798,9.50752751,0.06755097,1.68151130,0.03484316,0.00000000,6.08826600,3.41172427,0.13178202,3.67202243
-5.90995498,9.39284636,0.06717757,1.61844103,0.03509617,0.00000000,6.06468320,3.29809119,0.13529371,3.68667916
-5.90395198,9.27110417,0.06669100,1.55403778,0.03531167,0.00000000,6.02761644,3.18440117,0.13873863,3.69868797
-5.89794897,9.14250978,0.06608479,1.48912545,0.03547780,0.00000000,5.97705028,3.07181847,0.14205779,3.70709520
-5.89194597,9.00718732,0.06535197,1.42447357,0.03558330,0.00000000,5.91311494,2.96136589,0.14519166,3.71096484
-5.88594297,8.86518677,0.06448558,1.36078423,0.03561775,0.00000000,5.83609078,2.85391085,0.14808143,3.70940165
-5.87993997,8.71650306,0.06347921,1.29868241,0.03557190,0.00000000,5.74641140,2.75015912,0.15067024,3.70157503
-5.87393697,8.56110259,0.06232761,1.23871000,0.03543796,0.00000000,5.64466481,2.65065587,0.15290454,3.68674311
-5.86793397,8.39895592,0.06102716,1.18132302,0.03520979,0.00000000,5.53159232,2.55579369,0.15473543,3.66427640
-5.86193097,8.23007483,0.05957647,1.12689206,0.03488316,0.00000000,5.40808477,2.46582626,0.15612001,3.63368041
-5.85592796,8.05455139,0.05797672,1.07570515,0.03445589,0.00000000,5.27517576,2.38088676,0.15702267,3.59461638
-5.84992496,7.87259665,0.05623201,1.02797288,0.03392801,0.00000000,5.13403157,2.30100946,0.15741627,3.54691932
-5.84392196,7.68457640,0.05434952,0.98383481,0.03330180,0.00000000,4.98593748,2.22615291,0.15728313,3.49061248
-5.83791896,7.49104137,0.05233962,0.94336693,0.03258185,0.00000000,4.83228062,2.15622333,0.15661582,3.42591743
-5.83191596,7.29274964,0.05021573,0.90658934,0.03177500,0.00000000,4.67452916,2.09109667,0.15541773,3.35325910
-5.82591296,7.09067940,0.04799409,0.87347378,0.03089028,0.00000000,4.51420826,2.03063817,0.15370328,3.27326500
