energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.83405107,-1.83470718,0.75316014,-0.75348703,0.54747405,-0.54773361,0.26131609,-0.26132425,0.06470465,-0.06470584,0.01071284,-0.01070982,0.60345360,-0.60379970,0.42610169,-0.42612244,0.00000000,-0.00000000
-5.99399700,1.77088153,-1.77150663,0.73506999,-0.73537221,0.51861173,-0.51886206,0.25871532,-0.25872341,0.06302840,-0.06302874,0.01090689,-0.01090354,0.57564783,-0.57597600,0.41952325,-0.41954348,0.00000000,-0.00000000
-5.98799400,1.71387611,-1.71446047,0.72056891,-0.72084256,0.49159175,-0.49182875,0.25676228,-0.25676975,0.06161154,-0.06161095,0.01108174,-0.01107811,0.55006904,-0.55037497,0.41427395,-0.41429270,0.00000000,-0.00000000
-5.98199100,1.66349963,-1.66403503,0.70954106,-0.70978301,0.46679152,-0.46701166,0.25544737,-0.25545373,0.06046957,-0.06046800,0.01123532,-0.01123146,0.52699552,-0.52727563,0.41028825,-0.41030462,0.00000000,-0.00000000
-5.97598799,1.62009040,-1.62057024,0.70182306,-0.70203098,0.44452495,-0.44472531,0.25476365,-0.25476848,0.05962478,-0.05962217,0.01136551,-0.01136148,0.50663507,-0.50688658,0.40750951,-0.40752275,0.00000000,-0.00000000
-5.96998499,1.58385531,-1.58427469,0.69720518,-0.69737762,0.42503845,-0.42521677,0.25470708,-0.25471000,0.05910539,-0.05910172,0.01147006,-0.01146591,0.48912117,-0.48934212,0.40589153,-0.40590097,0.00000000,-0.00000000
-5.96398199,1.55487055,-1.55522632,0.69543455,-0.69557090,0.40850938,-0.40866406,0.25527706,-0.25527776,0.05894464,-0.05893990,0.01154661,-0.01154240,0.47451187,-0.47470114,0.40540002,-0.40540512,0.00000000,-0.00000000
-5.95797899,1.53308745,-1.53337815,0.69621998,-0.69632048,0.39504663,-0.39517674,0.25647703,-0.25647527,0.05917978,-0.05917398,0.01159271,-0.01158851,0.46279123,-0.46294852,0.40601407,-0.40601441,0.00000000,-0.00000000
-5.95197599,1.51834235,-1.51856813,0.69923827,-0.69930397,0.38469308,-0.38479832,0.25831513,-0.25831074,0.05985092,-0.05984408,0.01160589,-0.01160175,0.45387311,-0.45399892,0.40772727,-0.40772254,0.00000000,-0.00000000
-5.94597299,1.51036948,-1.51053204,0.70414143,-0.70417415,0.37742957,-0.37751026,0.26080462,-0.26079747,0.06099985,-0.06099199,0.01158372,-0.01157969,0.44760685,-0.44770239,0.41054826,-0.41053826,0.00000000,-0.00000000
-5.93996998,1.50881565,-1.50891807,0.71056453,-0.71056677,0.37318006,-0.37323706,0.26396394,-0.26395397,0.06266867,-0.06265985,0.01152393,-0.01152006,0.44378446,-0.44385160,0.41450050,-0.41448514,0.00000000,-0.00000000
-5.93396698,1.51325551,-1.51330208,0.71813361,-0.71810847,0.37181745,-0.37185212,0.26781630,-0.26780349,0.06489834,-0.06488861,0.01142454,-0.01142087,0.44214904,-0.44219026,0.41962096,-0.41960025,0.00000000,-0.00000000
-5.92796398,1.52320627,-1.52320234,0.72647341,-0.72642455,0.37316990,-0.37318402,0.27238858,-0.27237296,0.06772711,-0.06771655,0.01128397,-0.01128054,0.44240390,-0.44242216,0.42595766,-0.42593169,0.00000000,-0.00000000
-5.92196098,1.53814110,-1.53809288,0.73521461,-0.73514607,0.37702716,-0.37702290,0.27770952,-0.27769115,0.07118880,-0.07117749,0.01110118,-0.01109801,0.44422206,-0.44422072,0.43356594,-0.43353490,0.00000000,-0.00000000
-5.91595798,1.55750045,-1.55741482,0.74400017,-0.74391633,0.38314685,-0.38312663,0.28380717,-0.28378617,0.07531105,-0.07529909,0.01087578,-0.01087290,0.44725586,-0.44723857,0.44250351,-0.44246765,0.00000000,-0.00000000
-5.90995498,1.58070089,-1.58058522,0.75249088,-0.75239632,0.39126033,-0.39122680,0.29070562,-0.29068213,0.08011350,-0.08010101,0.01060811,-0.01060554,0.45114631,-0.45111694,0.45282431,-0.45278398,0.00000000,-0.00000000
-5.90395198,1.60714156,-1.60700349,0.76036982,-0.76026919,0.40107819,-0.40103413,0.29842116,-0.29839538,0.08560600,-0.08559312,0.01029933,-0.01029706,0.45553210,-0.45549459,0.46457163,-0.46452723,0.00000000,-0.00000000
-5.89794897,1.63620817,-1.63605546,0.76734586,-0.76724382,0.41229531,-0.41224359,0.30695803,-0.30693019,0.09178691,-0.09177380,0.00995142,-0.00994946,0.46005797,-0.46001627,0.47777053,-0.47772256,0.00000000,-0.00000000
-5.89194597,1.66727521,-1.66711555,0.77315625,-0.77305730,0.42459551,-0.42453898,0.31630402,-0.31627438,0.09864160,-0.09862843,0.00956719,-0.00956553,0.46438240,-0.46434034,0.49242028,-0.49236930,0.00000000,-0.00000000
-5.88594297,1.69970688,-1.69954771,0.77756836,-0.77747677,0.43765584,-0.43759728,0.32642616,-0.32639503,0.10614114,-0.10612812,0.00915024,-0.00914886,0.46818453,-0.46814575,0.50848708,-0.50843370,0.00000000,-0.00000000
-5.87993997,1.73285746,-1.73270587,0.78038071,-0.78030041,0.45115063,-0.45109271,0.33726690,-0.33723464,0.11424149,-0.11422884,0.00870485,-0.00870375,0.47117018,-0.47113805,0.52589761,-0.52584253,0.00000000,-0.00000000
-5.87393697,1.76607200,-1.76593452,0.78142354,-0.78135801,0.46475552,-0.46470072,0.34874098,-0.34870798,0.12288300,-0.12287096,0.00823592,-0.00823507,0.47307712,-0.47305464,0.54453401,-0.54447797,0.00000000,-0.00000000
-5.86793397,1.79868794,-1.79857047,0.78055880,-0.78051105,0.47815135,-0.47810193,0.36073341,-0.36070010,0.13199052,-0.13197932,0.00774879,-0.00774818,0.47367929,-0.47366906,0.56423060,-0.56417439,0.00000000,-0.00000000
-5.86193097,1.83003844,-1.82994612,0.77768003,-0.77765247,0.49102825,-0.49098619,0.37309868,-0.37306552,0.14147399,-0.14146391,0.00724911,-0.00724870,0.47279018,-0.47279435,0.58477276,-0.58471720,0.00000000,-0.00000000
