energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.57592107,0.03097551,2.44673732,0.11886595,0.00417402,1.62488348,1.38300804
-5.99399700,3.50353174,0.02871450,2.41101293,0.11902366,0.00401243,1.58525155,1.37548067
-5.98799400,3.44290936,0.02660836,2.38223469,0.12023542,0.00386650,1.55108824,1.37150962
-5.98199100,3.39472500,0.02466737,2.36080359,0.12250899,0.00373748,1.52276845,1.37120711
-5.97598799,3.35931394,0.02289857,2.34689876,0.12583260,0.00362617,1.50052978,1.37455745
-5.96998499,3.33666852,0.02130579,2.34047312,0.13017434,0.00353289,1.48446700,1.38141561
-5.96398199,3.32644448,0.01988973,2.34125855,0.13548200,0.00345751,1.47453165,1.39151167
-5.95797899,3.32798092,0.01864819,2.34878065,0.14168369,0.00339949,1.47053712,1.40446100
-5.95197599,3.34033350,0.01757629,2.36238266,0.14868910,0.00335787,1.47216900,1.41978009
-5.94597299,3.36231972,0.01666675,2.38125788,0.15639140,0.00333137,1.47900072,1.43690750
-5.93996998,3.39257451,0.01591027,2.40448908,0.16466988,0.00331845,1.49051370,1.45522903
-5.93396698,3.42961385,0.01529589,2.43109337,0.17339316,0.00331735,1.50612133,1.47410617
-5.92796398,3.47190355,0.01481138,2.46007022,0.18242293,0.00332624,1.52519580,1.49290641
-5.92196098,3.51792991,0.01444371,2.49045064,0.19161811,0.00334323,1.54709645,1.51103413
-5.91595798,3.56626899,0.01417942,2.52134470,0.20083917,0.00336650,1.57119830,1.52796031
-5.90995498,3.61565080,0.01400509,2.55198522,0.20995267,0.00339437,1.59691950,1.54324983
-5.90395198,3.66501541,0.01390764,2.58176509,0.21883555,0.00342535,1.62374612,1.55658460
-5.89794897,3.71355776,0.01387476,2.61026634,0.22737920,0.00345820,1.65125313,1.56778140
-5.89194597,3.76075900,0.01389514,2.63727910,0.23549304,0.00349201,1.67912039,1.57680341
-5.88594297,3.80640234,0.01395876,2.66280951,0.24310746,0.00352614,1.70714286,1.58376453
-5.87993997,3.85057284,0.01405699,2.68707574,0.25017606,0.00356032,1.73523445,1.58892624
