energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.91182694,0.00450280,0.41053188,0.62588263,0.57573798,0.88585930,2.15359431,0.00440151,1.07778550
-5.99399700,3.83023416,0.00414773,0.39170280,0.61265309,0.56713808,0.85785895,2.11430447,0.00466781,1.05940193
-5.98799400,3.74703817,0.00381955,0.37304514,0.59904382,0.55847240,0.83018187,2.07343282,0.00495079,1.04082646
-5.98199100,3.66239929,0.00351715,0.35463432,0.58508934,0.54970262,0.80286150,2.03108610,0.00524579,1.02207452
-5.97598799,3.57644456,0.00323906,0.33653551,0.57081481,0.54078996,0.77590777,1.98736406,0.00554769,1.00314644
-5.96998499,3.48927201,0.00298357,0.31880359,0.55623684,0.53169756,0.74930919,1.94235994,0.00585089,0.98402984
-5.96398199,3.40095539,0.00274886,0.30148329,0.54136473,0.52239253,0.72303575,1.89616100,0.00614946,0.96470216
-5.95797899,3.31154935,0.00253302,0.28460975,0.52620211,0.51284749,0.69704271,1.84884913,0.00643725,0.94513320
-5.95197599,3.22109470,0.00233418,0.26820930,0.51074875,0.50304176,0.67127502,1.80050146,0.00670801,0.92528749
-5.94597299,3.12962354,0.00215056,0.25230050,0.49500261,0.49296199,0.64567212,1.75119089,0.00695557,0.90512651
-5.93996998,3.03716430,0.00198049,0.23689534,0.47896179,0.48260227,0.62017286,1.70098686,0.00717404,0.88461071
-5.93396698,2.94374645,0.00182247,0.22200056,0.46262655,0.47196395,0.59472038,1.64995601,0.00735794,0.86370133
-5.92796398,2.84940485,0.00167518,0.20761895,0.44600108,0.46105492,0.56926658,1.59816312,0.00750242,0.84236204
-5.92196098,2.75418379,0.00153750,0.19375066,0.42909505,0.44988882,0.54377606,1.54567214,0.00760341,0.82056050
-5.91595798,2.65814060,0.00140851,0.18039435,0.41192490,0.43848395,0.51822926,1.49254742,0.00765771,0.79826970
-5.90995498,2.56134886,0.00128743,0.16754820,0.39451470,0.42686216,0.49262475,1.43885519,0.00766320,0.77546942
-5.90395198,2.46390112,0.00117369,0.15521065,0.37689676,0.41504777,0.46698050,1.38466511,0.00761881,0.75214739
-5.89794897,2.36591126,0.00106682,0.14338100,0.35911174,0.40306656,0.44133413,1.33005207,0.00752461,0.72830063
-5.89194597,2.26751615,0.00096649,0.13205967,0.34120845,0.39094491,0.41574218,1.27509788,0.00738182,0.70393643
-5.88594297,2.16887675,0.00087244,0.12124825,0.32324331,0.37870909,0.39027846,1.21989305,0.00719271,0.67907341
-5.87993997,2.07017852,0.00078450,0.11094935,0.30527944,0.36638475,0.36503160,1.16453824,0.00696056,0.65374218
-5.87393697,1.97163098,0.00070252,0.10116627,0.28738551,0.35399658,0.34010195,1.10914545,0.00668954,0.62798587
-5.86793397,1.87346639,0.00062638,0.09190252,0.26963435,0.34156813,0.31559802,1.05383879,0.00638452,0.60186014
-5.86193097,1.77593758,0.00055596,0.08316123,0.25210145,0.32912174,0.29163267,0.99875461,0.00605097,0.57543299
-5.85592796,1.67931478,0.00049113,0.07494458,0.23486328,0.31667858,0.26831919,0.94404107,0.00569471,0.54878396
-5.84992496,1.58388166,0.00043176,0.06725319,0.21799562,0.30425873,0.24576755,0.88985694,0.00532179,0.52200298
-5.84392196,1.48993048,0.00037768,0.06008558,0.20157189,0.29188133,0.22408084,0.83636977,0.00493825,0.49518880
-5.83791896,1.39775677,0.00032870,0.05343771,0.18566160,0.27956468,0.20335222,0.78375338,0.00454997,0.46844694
-5.83191596,1.30765340,0.00028458,0.04730266,0.17032885,0.26732642,0.18366230,0.73218480,0.00416253,0.44188749
-5.82591296,1.21990458,0.00024509,0.04167043,0.15563108,0.25518358,0.16507723,0.68184077,0.00378106,0.41562256
-5.81990995,1.13477984,0.00020996,0.03652783,0.14161800,0.24315278,0.14764728,0.63289397,0.00341014,0.38976371
-5.81390695,1.05252839,0.00017889,0.03185859,0.12833075,0.23125025,0.13140620,0.58550919,0.00305372,0.36441942
-5.80790395,0.97337398,0.00015159,0.02764354,0.11580132,0.21949202,0.11637112,0.53983954,0.00271507,0.33969260
-5.80190095,0.89751058,0.00012776,0.02386091,0.10405225,0.20789398,0.10254297,0.49602301,0.00239675,0.31567847
-5.79589795,0.82509903,0.00010707,0.02048671,0.09309659,0.19647203,0.08990754,0.45417939,0.00210064,0.29246272
-5.78989495,0.75626472,0.00008924,0.01749519,0.08293810,0.18524220,0.07843676,0.41440788,0.00182797,0.27012001
-5.78389195,0.69109647,0.00007396,0.01485933,0.07357166,0.17422083,0.06809039,0.37678530,0.00157931,0.24871305
-5.77788894,0.62964653,0.00006095,0.01255134,0.06498392,0.16342465,0.05881793,0.34136505,0.00135472,0.22829200
-5.77188594,0.57193154,0.00004995,0.01054314,0.05715410,0.15287090,0.05056060,0.30817685,0.00115375,0.20889440
-5.76588294,0.51793461,0.00004070,0.00880687,0.05005490,0.14257740,0.04325336,0.27722721,0.00097556,0.19054544
-5.75987994,0.46760804,0.00003298,0.00731524,0.04365355,0.13256252,0.03682690,0.24850050,0.00081899,0.17325859
-5.75387694,0.42087674,0.00002657,0.00604196,0.03791285,0.12284517,0.03120947,0.22196067,0.00068262,0.15703653
-5.74787394,0.37764195,0.00002128,0.00496201,0.03279226,0.11344454,0.02632861,0.19755340,0.00056488,0.14187224
-5.74187094,0.33778530,0.00001695,0.00405191,0.02824896,0.10437995,0.02211262,0.17520857,0.00046410,0.12775021
-5.73586793,0.30117278,0.00001342,0.00328985,0.02423883,0.09567045,0.01849183,0.15484295,0.00037858,0.11464773
-5.72986493,0.26765866,0.00001057,0.00265584,0.02071740,0.08733446,0.01539961,0.13636302,0.00030661,0.10253615
-5.72386193,0.23708915,0.00000828,0.00213173,0.01764062,0.07938928,0.01277321,0.11966774,0.00024655,0.09138205
-5.71785893,0.20930574,0.00000646,0.00170126,0.01496563,0.07185062,0.01055429,0.10465119,0.00019686,0.08114839
-5.71185593,0.18414815,0.00000502,0.00134994,0.01265131,0.06473214,0.00868932,0.09120516,0.00015609,0.07179543
