energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,6.30956448,0.02103192,0.81278651,2.46779673,3.12452950,0.04790761,1.81039482,0.82483442,0.32926499
-5.99399700,6.33226287,0.02085668,0.81715773,2.47202772,3.13308227,0.04778567,1.82281588,0.83664546,0.33553500
-5.98799400,6.34717666,0.02069997,0.81960324,2.47298907,3.13660289,0.04757934,1.83461881,0.84879273,0.34210615
-5.98199100,6.35438808,0.02056569,0.82015305,2.47081774,3.13508348,0.04729057,1.84580979,0.86129863,0.34895740
-5.97598799,6.35424134,0.02045805,0.81887745,2.46573171,3.12866773,0.04692377,1.85645317,0.87420429,0.35607626
-5.96998499,6.34732790,0.02038149,0.81588391,2.45802232,3.11764301,0.04648571,1.86666869,0.88756787,0.36345969
-5.96398199,6.33446453,0.02034058,0.81131320,2.44804430,3.10242814,0.04598538,1.87662710,0.90146250,0.37111476
-5.95797899,6.31666507,0.02033994,0.80533484,2.43620401,3.08355742,0.04543377,1.88654432,0.91597408,0.37905907
-5.95197599,6.29510734,0.02038404,0.79814224,2.42294639,3.06166194,0.04484356,1.89667442,0.93119896,0.38732092
-5.94597299,6.27109665,0.02047713,0.78994752,2.40874104,3.03744883,0.04422878,1.90730180,0.94724160,0.39593924
-5.93996998,6.24602742,0.02062303,0.78097619,2.39406817,3.01167954,0.04360442,1.91873278,0.96421241,0.40496315
-5.93396698,6.22134458,0.02082499,0.77146204,2.37940485,2.98514807,0.04298595,1.93128717,0.98222571,0.41445123
-5.92796398,6.19850605,0.02108552,0.76164212,2.36521210,2.95866000,0.04238891,1.94528990,1.00139795,0.42447045
-5.92196098,6.17894784,0.02140625,0.75175203,2.35192342,2.93301310,0.04182845,1.96106321,1.02184632,0.43509480
-5.91595798,6.16405255,0.02178782,0.74202166,2.33993491,2.90898013,0.04131887,1.97891958,1.04368769,0.44640358
-5.90995498,6.15512241,0.02222974,0.73267136,2.32959756,2.88729426,0.04087327,1.99915558,1.06703785,0.45847942
-5.90395198,6.15335719,0.02273034,0.72390856,2.32121165,2.86863748,0.04050317,2.02204685,1.09201122,0.47140608
-5.89794897,6.15983726,0.02328675,0.71592497,2.31502347,2.85363197,0.04021820,2.04784414,1.11872069,0.48526603
-5.89194597,6.17551180,0.02389488,0.70889429,2.31122435,2.84283437,0.04002589,2.07677049,1.14727774,0.50013791
-5.88594297,6.20119182,0.02454946,0.70297039,2.30995164,2.83673273,0.03993149,2.10901948,1.17779251,0.51609397
-5.87993997,6.23754729,0.02524416,0.69828609,2.31129171,2.83574567,0.03993791,2.14475421,1.21037387,0.53319742
-5.87393697,6.28510782,0.02597164,0.69495222,2.31528427,2.84022338,0.04004569,2.18410703,1.24512911,0.55149997
-5.86793397,6.34426588,0.02672381,0.69305730,2.32192797,2.85044972,0.04025307,2.22717960,1.28216324,0.57103945
-5.86193097,6.41528160,0.02749193,0.69266736,2.33118649,2.86664505,0.04055610,2.27404309,1.32157765,0.59183758
-5.85592796,6.49828823,0.02826686,0.69382623,2.34299488,2.88896907,0.04094884,2.32473822,1.36346799,0.61389807
-5.84992496,6.59329728,0.02903926,0.69655598,2.35726565,2.91752329,0.04142358,2.37927488,1.40792112,0.63720492
-5.84392196,6.70020268,0.02979989,0.70085752,2.37389402,2.95235266,0.04197115,2.43763104,1.45501114,0.66172104
-5.83791896,6.81878313,0.03053977,0.70671133,2.39276225,2.99344610,0.04258115,2.49975099,1.50479442,0.68738720
-5.83191596,6.94870251,0.03125043,0.71407827,2.41374249,3.04073571,0.04324231,2.56554257,1.55730360,0.71412126
-5.82591296,7.08950789,0.03192418,0.72290036,2.43669815,3.09409485,0.04394279,2.63487354,1.61254087,0.74181772
-5.81990995,7.24062554,0.03255419,0.73310156,2.46148361,3.15333491,0.04467047,2.70756712,1.67047056,0.77034767
-5.81390695,7.40135497,0.03313474,0.74458851,2.48794248,3.21820137,0.04541328,2.78339695,1.73101140,0.79955895
-5.80790395,7.57086192,0.03366128,0.75725122,2.51590433,3.28836922,0.04615938,2.86208158,1.79402870,0.82927676
-5.80190095,7.74817074,0.03413053,0.77096375,2.54518044,3.36343850,0.04689747,2.94327911,1.85932693,0.85930453
-5.79589795,7.93215734,0.03454049,0.78558483,2.57555878,3.44293018,0.04761694,3.02658205,1.92664303,0.88942521
-5.78989495,8.12154360,0.03489045,0.80095859,2.60679872,3.52628315,0.04830800,3.11151313,1.99564092,0.91940296
-5.78389195,8.31489424,0.03518090,0.81691535,2.63862590,3.61285272,0.04896186,3.19752239,2.06590766,0.94898517
-5.77788894,8.51061723,0.03541343,0.83327249,2.67072788,3.70191107,0.04957074,3.28398592,2.13695156,0.97790508
-5.77188594,8.70696855,0.03559061,0.84983563,2.70275091,3.79265015,0.05012794,3.37020682,2.20820269,1.00588465
-5.76588294,8.90206194,0.03571577,0.86640003,2.73429834,3.88418717,0.05062784,3.45541855,2.27901596,1.03263804
-5.75987994,9.09388422,0.03579287,0.88275223,2.76493102,3.97557291,0.05106593,3.53879094,2.34867702,1.05787545
-5.75387694,9.28031645,0.03582620,0.89867222,2.79416987,4.06580279,0.05143871,3.61943896,2.41641097,1.08130740
-5.74787394,9.45916066,0.03582025,0.91393582,2.82150098,4.15383078,0.05174367,3.69643432,2.48139391,1.10264935
-5.74187094,9.62817218,0.03577942,0.92831766,2.84638292,4.23858561,0.05197925,3.76881968,2.54276708,1.12162662
-5.73586793,9.78509677,0.03570787,0.94159440,2.86825661,4.31898925,0.05214475,3.83562519,2.59965338,1.13797949
-5.72986493,9.92771193,0.03560932,0.95354854,2.88655712,4.39397699,0.05224026,3.89588719,2.65117593,1.15146838
-5.72386193,10.05387135,0.03548688,0.96397243,2.90072738,4.46251873,0.05226663,3.94866834,2.69647804,1.16187898
-5.71785893,10.16155146,0.03534303,0.97267273,2.91023335,4.52364097,0.05222535,3.99307881,2.73474417,1.16902723
-5.71185593,10.24889883,0.03517944,0.97947503,2.91458004,4.57644886,0.05211853,4.02829797,2.76522125,1.17276389
-5.70585293,10.31427720,0.03499704,0.98422872,2.91332800,4.62014768,0.05194887,4.05359576,2.78723961,1.17297878
-5.69984992,10.35631278,0.03479603,0.98681180,2.90610979,4.65406347,0.05171955,4.06835327,2.80023300,1.16960429
-5.69384692,10.37393670,0.03457594,0.98713566,2.89264565,4.67766191,0.05143425,4.07208186,2.80375691,1.16261833
-5.68784392,10.36642322,0.03433575,0.98514973,2.87275809,4.69056522,0.05109709,4.06444019,2.79750462,1.15204632
-5.68184092,10.33342266,0.03407411,0.98084558,2.84638467,4.69256657,0.05071262,4.04524857,2.78132045,1.13796249
-5.67583792,10.27498796,0.03378944,0.97426065,2.81358869,4.68364143,0.05028577,4.01450029,2.75520962,1.12049008
-5.66983492,10.19159386,0.03348020,0.96548118,2.77456717,4.66395572,0.04982185,3.97236944,2.71934442,1.09980065
-5.66383192,10.08414792,0.03314513,0.95464433,2.72965603,4.63387019,0.04932652,3.91921479,2.67406629,1.07611249
-5.65782891,9.95399265,0.03278342,0.94193919,2.67933182,4.59394082,0.04880577,3.85557983,2.61988378,1.04968802
