energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.09103376,-1.08370228,0.75372145,-1.31836474,0.42623454,-0.36704831,0.00180383,-0.00193052,0.32726904,-0.46679398,0.04377254,-0.05879138,0.00471324,-0.00218553,0.29154387,-0.18965313
-5.99399700,1.09581674,-1.08750839,0.73618456,-1.30068136,0.42333035,-0.37048348,0.00183027,-0.00183095,0.32162775,-0.46447990,0.04882531,-0.05381024,0.00555593,-0.00196466,0.30075110,-0.19496633
-5.98799400,1.10926118,-1.09650497,0.72689694,-1.28635522,0.42401950,-0.37552884,0.00185068,-0.00175621,0.31942000,-0.46336716,0.05473309,-0.04971403,0.00651186,-0.00176993,0.31131090,-0.20221779
-5.98199100,1.13183799,-1.11108533,0.72652868,-1.27616606,0.42848727,-0.38232759,0.00186553,-0.00170511,0.32089925,-0.46370816,0.06148765,-0.04647946,0.00758583,-0.00160043,0.32324211,-0.21139580
-5.97598799,1.16385698,-1.13148330,0.73561607,-1.27072885,0.43684042,-0.39096552,0.00187549,-0.00167606,0.32624305,-0.46569006,0.06906695,-0.04407525,0.00878092,-0.00145515,0.33655297,-0.22245736
-5.96998499,1.20545343,-1.15775540,0.75455192,-1.27047038,0.44910311,-0.40146421,0.00188140,-0.00166708,0.33554869,-0.46942643,0.07743383,-0.04246292,0.01009812,-0.00133302,0.35123760,-0.23532571
-5.96398199,1.25657786,-1.18976898,0.78357836,-1.27561331,0.46521463,-0.41377631,0.00188424,-0.00167596,0.34883063,-0.47495169,0.08653478,-0.04159749,0.01153605,-0.00123298,0.36727252,-0.24988842
-5.95797899,1.31698976,-1.22719704,0.82278220,-1.28616877,0.48502906,-0.42778349,0.00188510,-0.00170025,0.36601977,-0.48221898,0.09629934,-0.04142803,0.01309065,-0.00115397,0.38461327,-0.26599641
-5.95197599,1.38625548,-1.26952065,0.87209297,-1.30193799,0.50831694,-0.44329716,0.00188518,-0.00173739,0.38696447,-0.49110150,0.10663973,-0.04189822,0.01475497,-0.00109499,0.40319164,-0.28346395
-5.94597299,1.46375120,-1.31603919,0.93128362,-1.32252333,0.53476912,-0.46006206,0.00188571,-0.00178472,0.41143348,-0.50139747,0.11745131,-0.04294678,0.01651903,-0.00105511,0.42291373,-0.30206991
-5.93996998,1.54867101,-1.36588856,0.99997405,-1.34734839,0.56400264,-0.47776278,0.00188796,-0.00183962,0.43912051,-0.51283846,0.12861357,-0.04450808,0.01836984,-0.00103357,0.44365910,-0.32156046
-5.93396698,1.64004061,-1.41806705,1.07763758,-1.37568664,0.59556880,-0.49603310,0.00189319,-0.00189951,0.46965057,-0.52510105,0.13999186,-0.04651272,0.02029145,-0.00102973,0.46528136,-0.34165312
-5.92796398,1.73673650,-1.47146804,1.16361032,-1.40669761,0.62896322,-0.51446779,0.00190261,-0.00196193,0.50258793,-0.53782120,0.15143985,-0.04888836,0.02226519,-0.00104322,0.48761025,-0.36204243
-5.92196098,1.83751068,-1.52491875,1.25710361,-1.43946907,0.66363766,-0.53263652,0.00191738,-0.00202459,0.53744552,-0.55061079,0.16280266,-0.05156057,0.02427004,-0.00107390,0.51045524,-0.38240690
-5.91595798,1.94102015,-1.57722335,1.35721927,-1.47306365,0.69901349,-0.55009934,0.00193854,-0.00208545,0.57369570,-0.56307577,0.17392061,-0.05445403,0.02628307,-0.00112200,0.53361073,-0.40241728
-5.90995498,2.04586073,-1.62720901,1.46296751,-1.50656770,0.73449631,-0.56642318,0.00196705,-0.00214271,0.61078208,-0.57483492,0.18463341,-0.05749378,0.02828008,-0.00118813,0.55686252,-0.42174589
-5.90395198,2.15060385,-1.67377291,1.57328707,-1.53914036,0.76949135,-0.58119857,0.00200372,-0.00219489,0.64813206,-0.58553855,0.19478469,-0.06060677,0.03023623,-0.00127338,0.57999541,-0.44007662
-5.89794897,2.25383530,-1.71592815,1.68706708,-1.57006034,0.80341912,-0.59405595,0.00204922,-0.00224085,0.68516987,-0.59488622,0.20422674,-0.06372345,0.03212687,-0.00137936,0.60280151,-0.45711538
-5.89194597,2.35419414,-1.75284661,1.80316980,-1.59876836,0.83573077,-0.60468085,0.00210410,-0.00227981,0.72132969,-0.60264250,0.21282504,-0.06677953,0.03392827,-0.00150832,0.62508874,-0.47260041
-5.88594297,2.45041043,-1.78389666,1.92045365,-1.62490287,0.86592250,-0.61282716,0.00216874,-0.00231133,0.75606826,-0.60865028,0.22046258,-0.06971770,0.03561844,-0.00166316,0.64668910,-0.48631214
-5.87993997,2.54133972,-1.80867391,2.03779541,-1.64832728,0.89354858,-0.61832797,0.00224336,-0.00233539,0.78887683,-0.61284062,0.22704370,-0.07248938,0.03717789,-0.00184748,0.66746618,-0.49808204
